5050e881167a7b4a574786295b82caa98185824a30b75a03d2807110f08aba3d,c7b5f8926661ea52744b142eec67808238d1d345b936046960b1096a19df518c,854c6de2c88a8cc757e3e3e57e93c1737a51fcfa8bc23d8a938317512c8ec781,ee8f64ccd9c8cfaa0c8a50bcb729875491ab1eccabf732fe3e070ad0bb43ce64,3f0b12828c80cd8889718f0c72c7fd860bebc58fef1f949da6dbf6f0bd286bd4,792dad3e4fdac86d6dc9f87d1075c4c6abbfe64fe47f405dff80bea93acb8a0d,405aa28ac90950161f0632a82f9e52a05e9703fee7a7c34183ccf27c55db6d9e,002a0985668aefb556d576da8250b913e654759106dcb546258367c69dc66f72,375019c0a955016faa134dfaff4ba9fed6fafb36499ae39195b967befde17af7,0be8c55c3194d3da1a19757f207e8e6ca8ed0735926ff11e86af5de9daffe78b,9b77ffefa0fb620a5f35a2bc2eaa1d83cccf6f292dfd33387416726cd76e72bd,9da79b93cea6f44101f60eca2be8c3caf08bbff6e8452a45ba5b45e647545638,6a7864059fd424032467946c42da357dca9ec4dd9c4919851339ebd0f44c0983,0fd9a150c8f22e487a9418bc383c3c4f13a13245937d713e198946cc7cc89ec0,80c74bb2d996a5838ce05c65412825a7d9d3b877ee5f9b0206226c9dd7a47619,52d0ac3bf65296c968f5ad5906e1762c18190cdd06e49ebd15aca5a12532d246
"1","0","0","102","101","103","1","0","1","5","1","105","10016","104","0","0"
"1","0","0","202","201","203","2","0","2","2","2","205","10021","204","1","0"
"1","0","0","302","301","303","5","0","3","5","2","305","10053","304","1","0"
"1","0","0","402","401","403","4","0","4","8","2","405","10044","404","1","0"
"1","0","0","502","501","503","4","0","5","2","3","505","10042","504","2","0"
"1","0","0","602","601","603","2","0","6","5","3","605","10024","604","3","0"
"1","0","0","702","701","703","1","0","7","8","3","705","10015","704","4","0"
"1","0","0","0","801","0","101","0","8","2","4","0","11012","0","5","0"
"1","0","0","902","901","903","2","0","9","5","4","905","10023","904","6","0"
"1","0","0","0","1001","0","101","0","10","8","4","0","11011","0","7","0"
"1","0","0","1102","1101","1103","5","0","11","2","5","1105","10052","1104","8","0"
"1","0","0","1202","1201","1203","4","0","12","5","5","1205","10045","1204","9","0"
"1","0","0","1302","1301","1303","2","0","13","8","5","1305","10021","1304","10","0"
"1","0","0","1402","1401","1403","1","0","14","2","6","1405","10013","1404","11","0"
"1","0","0","1502","1501","1503","5","0","15","5","6","1505","10054","1504","12","0"
"1","0","0","0","1601","0","101","0","16","8","6","0","11015","0","13","0"
"1","0","0","0","1701","0","100","0","17","2","7","0","11002","0","14","0"
"1","0","0","1802","1801","1803","4","0","18","5","7","1805","10043","1804","15","0"
"1","0","16","1902","1901","1903","3","0","19","8","7","1905","10034","1904","16","0"
"1","0","0","2002","2001","2003","4","0","20","2","8","2005","10041","2004","17","0"
"1","0","0","0","2101","0","100","0","21","5","8","0","11003","0","18","0"
"1","0","0","2202","2201","2203","2","0","22","8","8","2205","10025","2204","19","0"
"1","0","0","2302","2301","2303","1","0","23","2","9","2305","10011","2304","20","0"
"1","0","0","2402","2401","2403","2","0","24","5","9","2405","10022","2404","21","0"
"1","0","0","2502","2501","2503","4","0","25","8","9","2505","10045","2504","22","0"
"1","0","24","2602","2601","2603","100","25","26","5","10","0","11006","0","23","0"
"1","0","0","2702","2701","2703","3","0","27","2","11","2705","10031","2704","26","0"
"1","0","0","2802","2801","2803","4","0","28","5","11","2805","10044","2804","26","0"
"1","0","0","2902","2901","2903","7","0","29","8","11","2905","10075","2904","26","0"
"1","0","0","3002","3001","3003","3","0","30","2","12","3005","10032","3004","27","0"
"1","0","0","3102","3101","3103","1","0","31","5","12","3105","10013","3104","28","0"
"1","0","0","3202","3201","3203","4","0","32","8","12","3205","10044","3204","29","0"
"1","0","0","3302","3301","3303","4","0","33","2","13","3305","10041","3304","30","0"
"1","0","0","3402","3401","3403","2","0","34","5","13","3405","10022","3404","31","0"
"1","0","0","3502","3501","3503","5","0","35","8","13","3505","10053","3504","32","0"
"1","0","0","3602","3601","3603","2","0","36","2","14","3605","10024","3604","33","0"
"1","0","0","3702","3701","3703","4","0","37","5","14","3705","10045","3704","34","0"
"1","0","0","3802","3801","3803","1","0","38","8","14","3805","10012","3804","35","0"
"1","0","0","3902","3901","3903","4","0","39","2","15","3905","10043","3904","36","0"
"1","0","0","4002","4001","4003","3","0","40","5","15","4005","10035","4004","37","0"
"1","0","0","4102","4101","4103","7","0","41","8","15","4105","10072","4104","38","0"
"1","0","0","4202","4201","4203","2","0","42","2","16","4205","10021","4204","39","0"
"1","0","0","4302","4301","4303","3","0","43","5","16","4305","10034","4304","40","0"
"1","0","0","4402","4401","4403","1","0","44","8","16","4405","10015","4404","41","0"
"1","0","0","4502","4501","4503","2","0","45","2","17","4505","10022","4504","42","0"
"1","0","0","4602","4601","4603","2","0","46","5","17","4605","10023","4604","43","0"
"1","0","0","4702","4701","4703","7","0","47","8","17","4705","10074","4704","44","0"
"1","0","0","4802","4801","4803","3","0","48","2","18","4805","10031","4804","45","0"
"1","0","0","4902","4901","4903","5","0","49","5","18","4905","10052","4904","46","0"
"1","0","0","5002","5001","5003","2","0","50","8","18","5005","10025","5004","47","0"
"1","0","0","5102","5101","5103","4","0","51","2","19","5105","10041","5104","48","0"
"1","0","0","5202","5201","5203","3","0","52","5","19","5205","10033","5204","49","0"
"1","0","0","5302","5301","5303","7","0","53","8","19","5305","10074","5304","50","0"
"1","0","52","5402","5401","5403","101","53","54","5","20","0","11016","0","51","0"
"1","0","0","5502","5501","5503","4","0","55","2","21","5505","10041","5504","54","0"
"1","0","0","5602","5601","0","100","0","56","5","21","0","11002","0","54","0"
"1","0","0","5702","5701","5703","6","0","57","8","21","5705","10065","5704","54","0"
"1","0","0","5802","5801","5803","2","0","58","2","22","5805","10022","5804","55","0"
"1","0","0","5902","5901","5903","1","0","59","5","22","5905","10013","5904","56","0"
"1","0","0","6002","6001","0","101","0","60","8","22","0","11015","0","57","0"
"1","0","0","6102","6101","6103","2","0","61","2","23","6105","10021","6104","58","0"
"1","0","0","6202","6201","6203","3","0","62","5","23","6205","10032","6204","59","0"
"1","0","0","6302","6301","6303","2","0","63","8","23","6305","10023","6304","60","0"
"1","0","0","6402","6401","6403","2","0","64","2","24","6405","10024","6404","61","0"
"1","0","0","6502","6501","6503","7","0","65","5","24","6505","10071","6504","62","0"
"1","0","0","0","6601","0","100","0","66","8","24","0","11004","0","63","0"
"1","0","0","6702","6701","6703","5","0","67","2","25","6705","10055","6704","64","0"
"1","0","0","6802","6801","6803","5","0","68","5","25","6805","10051","6804","65","0"
"1","0","0","6902","6901","6903","4","0","69","8","25","6905","10042","6904","66","0"
"1","0","0","7002","7001","7003","6","0","70","2","26","7005","10064","7004","67","0"
"1","0","0","7102","7101","7103","6","0","71","5","26","7105","10061","7104","68","0"
"1","0","0","0","7201","0","101","0","72","8","26","0","11013","0","69","0"
"1","0","0","7302","7301","7303","3","0","73","2","27","7305","10033","7304","70","0"
"1","0","0","7402","7401","7403","1","0","74","5","27","7405","10014","7404","71","0"
"1","0","0","7502","7501","7503","5","0","75","8","27","7505","10052","7504","72","0"
"1","0","0","7602","7601","7603","4","0","76","2","28","7605","10044","7604","73","0"
"1","0","0","0","7701","0","100","0","77","5","28","0","11005","0","74","0"
"1","0","0","7802","7801","0","101","0","78","8","28","0","11011","0","75","0"
"1","0","0","7902","7901","7903","3","0","79","2","29","7905","10034","7904","76","0"
"1","0","0","8002","8001","8003","7","0","80","5","29","8005","10073","8004","77","0"
"1","0","0","8102","8101","8103","3","0","81","8","29","8105","10035","8104","78","0"
"1","0","80","8202","8201","8203","6","81","82","5","30","8205","10066","8204","79","0"
"1","0","0","8302","8301","8303","6","0","83","2","31","8305","10062","8304","82","0"
"1","0","0","8402","8401","8403","1","0","84","5","31","8405","10014","8404","82","0"
"1","0","0","8502","8501","8503","2","0","85","8","31","8505","10021","8504","82","0"
"1","0","0","8602","8601","8603","5","0","86","2","32","8605","10053","8604","83","0"
"1","0","0","8702","8701","8703","1","0","87","5","32","8705","10011","8704","84","0"
"1","0","0","8802","8801","8803","7","0","88","8","32","8805","10072","8804","85","0"
"1","0","0","8902","8901","8903","4","0","89","2","33","8905","10045","8904","86","0"
"1","0","0","9002","9001","9003","4","0","90","5","33","9005","10042","9004","87","0"
"1","0","0","9102","9101","9103","5","0","91","8","33","9105","10053","9104","88","0"
"1","0","0","9202","9201","9203","6","0","92","2","34","9205","10064","9204","89","0"
"1","0","0","9302","9301","9303","3","0","93","5","34","9305","10035","9304","90","0"
"1","0","0","9402","9401","9403","5","0","94","8","34","9405","10051","9404","91","0"
"1","0","0","9502","9501","9503","3","0","95","2","35","9505","10033","9504","92","0"
"1","0","0","9602","9601","9603","4","0","96","5","35","9605","10044","9604","93","0"
