7481cf3b1dc7ca84bd669f8f5472fead4a990c7b07a2432f726060af7efd5fc4,0e5a81074a2eeaec43af6149521f06757700c7c22ef8b00547a2d3c0ff03e305,17d9171b66a91f0eba822af3375b51fee462893435588f388459a531dd2d4bd6,5cef61d265797a318805b2b4784bcf4a049e8e8fe1d2bde48cdbdb44d3d574da,4f23705b3d37303ed744ee12facb24c7ea9d91c789dfa4c5d05797f4ec58415d
"3","1","1","111011101","0"
"3","1","1","111021101","0"
"3","1","1","133011101","0"
"5","1","1","133011201","0"
"3","1","1","133020101","0"
"3","1","1","133020201","1"
"3","1","1","133030101","0"
"3","1","2","133030201","0"
"3","1","3","133030301","0"
"3","1","1","133030401","1"
"3","1","2","133030501","1"
"3","1","3","133030601","1"
"3","1","1","133040101","0"
"3","1","1","133040201","1"
"3","1","1","133040301","2"
"3","1","1","133040401","3"
"3","1","1","133051101","0"
"5","1","1","133051201","0"
"3","2","1","134010101","0"
"3","2","3","134010201","0"
"3","1","1","134021101","0"
"5","1","1","134021201","0"
"4","2","1","140010101","0"
"1","2","1","140010201","1"
"1","2","1","140010301","0"
"1","1","3","140020101","0"
