ee3f739113425d9135e317a91fd97c71af6bf999fe37f8e43acb2d7751c92485,5bbd1d309f121e5356ec6c01ed2ae7f6b7625c00891ad26f8a83d0bb82dd2561,9b58abf33fc6ff51298abaadcfcf730d4764ccec5c68003e0fb3931694633f88,c2501314763190f4ec21eac793294991ced47d2f1b657fbee155963825664584,5266a66c43f90085688be85bc3696a17c918811a94c2196581c45ebb50a0a15a,69cfeb13d5aac0368c91a32fc89f23c6c1844bb002b28840af614a7e46783dea,a2d8769fd219cf6868e5d4143f789f3419641f56ad2bacfe2a58f65340802d37,cb3edd55eb994c47d12fe56f1ff031fc811eae613553b6e0a74ab9390ea1a501,876eebbcbd996caa1462f2a3039e911f9c41d3551a86cfffdb2c727eba114e9b,890bef21bf372d06b628bf1538490a8e9adb60e0fa2c6aea6cbeb83d6116e1f8,a242a6b3cdb87803d68d23025944083abca94bc390ac4425336883980f03afd4
"1","285001001","8","91002","10","2","25021","8","2","25015","31"
"2","285001002","8","91002","10","2","25021","8","2","25015","31"
"3","285001003","8","91002","10","2","25021","8","2","25015","32"
"4","285001004","8","91002","10","2","25021","8","2","25015","32"
"5","285001005","8","91002","10","2","25021","8","2","25015","33"
"6","285001006","8","91002","10","2","25021","9","2","25015","33"
"7","285001007","8","91002","10","2","25021","9","2","25015","34"
"8","285001008","8","91002","10","2","25021","9","2","25015","35"
"9","285001009","8","91002","10","2","25021","9","2","25015","35"
"10","285001010","8","91002","30","2","25021","10","2","25015","37"
"11","285001011","8","91002","10","2","25021","10","2","25015","41"
"12","285001012","8","91002","10","2","25021","11","2","25015","43"
"13","285001013","8","91002","10","2","25021","11","2","25015","46"
"14","285001014","8","91002","10","2","25021","12","2","25015","48"
"15","285001015","8","91002","10","2","25021","12","2","25015","50"
"16","285001016","8","91002","10","2","25021","13","2","25015","53"
"17","285001017","8","91002","10","2","25021","14","2","25015","55"
"18","285001018","8","91002","10","2","25021","14","2","25015","58"
"19","285001019","8","91002","10","2","25021","15","2","25015","60"
"20","285001020","8","91002","30","2","25021","15","2","25015","62"
"21","285001021","8","91002","10","2","25021","16","2","25015","68"
"22","285001022","8","91002","10","2","25021","16","2","25015","70"
"23","285001023","8","91002","10","2","25021","16","2","25015","72"
"24","285001024","8","91002","10","2","25021","17","2","25015","75"
"25","285001025","8","91002","10","2","25021","18","2","25015","77"
"26","285001026","8","91002","10","2","25021","18","2","25015","79"
"27","285001027","8","91002","10","2","25021","19","2","25015","82"
"28","285001028","8","91002","10","2","25021","19","2","25015","84"
"29","285001029","8","91002","10","2","25021","19","2","25015","86"
"30","285001030","8","91002","30","2","25021","20","2","25015","89"
"31","285001031","8","91002","10","2","25021","20","2","25015","94"
"32","285001032","8","91002","10","2","25021","21","2","25015","96"
"33","285001033","8","91002","10","2","25021","21","2","25015","99"
"34","285001034","8","91002","10","2","25021","22","2","25015","101"
"35","285001035","8","91002","10","2","25021","22","2","25015","103"
"36","285001036","8","91002","10","2","25021","23","2","25015","106"
"37","285001037","8","91002","10","2","25021","23","2","25015","108"
"38","285001038","8","91002","10","2","25021","24","2","25015","111"
"39","285001039","8","91002","10","2","25021","25","2","25015","113"
"40","285001040","8","91002","30","2","25021","25","2","25015","115"
"41","285001041","8","91002","10","2","25021","26","2","25015","121"
"42","285001042","8","91002","10","2","25021","27","2","25015","123"
"43","285001043","8","91002","10","2","25021","28","2","25015","125"
"44","285001044","8","91002","10","2","25021","28","2","25015","128"
"45","285001045","8","91002","10","2","25021","29","2","25015","130"
"46","285001046","8","91002","10","2","25021","30","2","25015","132"
"47","285001047","8","91002","10","2","25021","30","2","25015","135"
"48","285001048","8","91002","10","2","25021","31","2","25015","137"
"49","285001049","8","91002","10","2","25021","31","2","25015","139"
"50","285001050","8","91002","30","2","25021","31","2","25015","142"
