04d458672ca120cacc4dd61aa65ff5ee1ac249c8f8606197700b81385bb09c6c,ef47081233b0167c5ab4d3d970a3fa634e0d3bd28b6942b62a5d22281396c951,33c4a87c7590f134dedbdf494ea785be7eb45318b58a417c135dbc9ddc8a69a4,79c416aca8aad1803276c098ff94fc29359b91772561ef8e87b29a6b71b36ab8,e3bb2fffd0f1a4ba518b5ebe8b4cd4a187ff7f5e547bbf6d77018e9162ce69ea,d819d9b21aa0d96ecb0b06ae376ca2e9639e515bc015ab42f1535081ae45842d
"1","11001001","1001","1","99001001","15"
"2","91002","0","10","99001001","8"
"3","11001002","1001","1","99001002","15"
"4","91002","0","10","99001002","8"
"5","11001003","1002","1","99001003","15"
"6","91002","0","20","99001003","8"
"7","11001004","1003","1","99001004","15"
"8","91002","0","30","99001004","8"
"9","11001005","1001","1","99001005","15"
"10","91002","0","10","99001005","8"
"11","11001006","1001","1","99001006","15"
"12","91002","0","10","99001006","8"
"13","11001007","1002","1","99001007","15"
"14","91002","0","20","99001007","8"
"15","11001008","1003","1","99001008","15"
"16","91002","0","30","99001008","8"
"17","11001009","1001","1","99001009","15"
"18","91002","0","10","99001009","8"
"19","11001010","1001","1","99001010","15"
"20","91002","0","10","99001010","8"
"21","11001011","1002","1","99001011","15"
"22","91002","0","20","99001011","8"
"23","11001012","1003","1","99001012","15"
"24","91002","0","30","99001012","8"
"33","11001017","1001","1","99001017","15"
"34","91002","0","30","99001017","8"
"35","11001018","1001","1","99001018","15"
"36","91002","0","30","99001018","8"
"37","11001019","1002","1","99001019","15"
"38","91002","0","30","99001019","8"
"39","11001020","1003","1","99001020","15"
"40","91002","0","30","99001020","8"
"41","11001021","1001","0","99001021","15"
"42","11001022","1002","0","99001022","15"
"43","11001023","1001","1","99001023","15"
"44","91002","0","30","99001023","8"
"45","11001024","1001","1","99001024","15"
"46","91002","0","30","99001024","8"
"47","11001025","1002","1","99001025","15"
"48","91002","0","30","99001025","8"
"49","11001026","1003","1","99001026","15"
"50","91002","0","30","99001026","8"
"51","11001027","1001","1","99001027","15"
"52","91002","0","30","99001027","8"
