9eb8b2485e703bbbd5254672c9379dada59edb50a7382eddd4f4ebbebdb36b0e,31db6bc2e4de7847b85253edd492a275b5e94a0c7c9c6686183054a47b77552f,f2bd82b471fd41c864a6e25cc0b8d8b9b1c5d0fc25520aaf88e72931bf76a9d1,e493466fdbba55e94e96dea135a149fb627b3258799ea165a8ffe3d53d6fe141,ffb859016c1bc59e7f4914cc10d93ce35ec0a113b4e4fa2879eb7a6adfb210cc,2530f92570f1d628cf40a7eebfb09a01a04ebdaa1498a82294b9d812727cc494,6fdfebbceb88df43a3fe8dacdb53c870f8d14a3334b35be6a5bd2eba6c4d866c,e79aae96c2f32e6481091e0e99ac659ae8e4620f33999d8b81332d048957af88,c2285b6c33c72b155b02fd30ccdfa0a362dc32d7c5dcf4b092553e7aa908b7b6,048d240823f0c56c4dd29fd34888aadfa8347a5a5d269d742cef7c41a7e83bcf,221a8fdabf6845712cb7b86ab273eef9e91ca6281130434b37e787a76c69786d
"0","530100","0","2","2016/09/01 15:00:00","新手衝刺登入活動","2023/08/01 04:59:59","0","0","20000","10"
"0","530100","0","2","2023/08/01 05:00:00","新手衝刺登入活動","2099/01/01 23:59:00","0","0","20001","10"
"0","0","0","3","2016/04/01 15:00:00","登入獎勵","2099/01/01 23:59:00","0","0","30000","15"
"1","500160","0","4","2019/01/30 05:00:00","半周年紀念登入活動","2019/02/14 04:59:59","0","0","40001","10"
"2","40009","0","4","2021/08/09 05:00:00","偶像大師復刻合作紀念","2021/08/26 04:59:59","0","0","40009","10"
"3","531200","0","4","2023/06/15 05:00:00","主線劇情第3部開幕紀念登入活動","2023/06/21 04:59:59","0","0","40011","6"
"3","40013","0","4","2024/08/10 05:00:00","七夕情人節快樂！","2024/08/26 04:59:59","0","0","40013","1"
"3","40015","0","4","2024/12/10 05:00:00","老玩家回歸登入獎勵","2099/01/01 23:59:00","0","0","40015","5"
"0","500160","0","4","2019/04/04 05:00:00","巴哈姆特金賞紀念登入獎勵","2019/04/19 04:59:59","0","0","49001","10"
"0","500160","0","4","2019/07/01 05:00:00","暑期繽紛登入獎","2019/07/15 04:59:00","0","0","49002","10"
"0","500160","0","4","2019/07/17 05:00:00","1周年倒數登入獎勵","2019/08/01 04:59:00","0","0","49003","10"
"0","500160","0","4","2019/12/16 05:00:00","真步真步王國開服一周年紀念","2019/12/31 04:59:00","0","0","49004","8"
"0","500160","0","4","2020/01/10 05:00:00","迎接1.5周年紀念","2020/01/21 15:59:00","0","0","49005","10"
"0","500160","0","4","2020/04/01 05:00:00","春節小禮物","2020/04/06 04:59:59","0","0","49006","5"
"0","40006","0","4","2020/04/06 05:00:00","動畫播放紀念禮物","2020/04/16 04:59:59","0","0","49007","10"
"4","80002","0","4","2020/08/03 05:00:00","2周年紀念登入獎勵（前半）","2020/08/18 04:59:59","0","0","49008","10"
"4","80002","0","4","2020/08/18 05:00:00","2周年紀念登入獎勵（後半）","2020/08/31 04:59:59","0","0","49009","10"
"0","500160","0","4","2020/11/02 05:00:00","感謝的禮物-每日登入獎勵寶石","2020/11/15 04:59:00","0","0","49010","10"
"0","500160","0","4","2020/12/24 05:00:00","歡慶聖誕","2021/01/06 04:59:00","0","0","49011","10"
"0","500160","0","4","2021/01/13 05:00:00","2.5周年預熱","2021/01/25 04:59:00","0","0","49012","10"
"2","40007","0","4","2021/04/16 05:00:00","歡慶IP合作","2021/04/28 04:59:00","0","0","49013","10"
"2","500160","0","4","2021/09/17 05:00:00","歡慶中秋","2021/10/01 04:59:00","0","0","49014","10"
"2","500160","0","4","2021/10/18 05:00:00","秋季贈禮","2021/11/01 04:59:00","0","0","49015","10"
"2","500160","0","4","2021/12/24 05:00:00","歡慶聖誕&迎接新年到來","2022/01/06 04:59:00","0","0","49016","10"
"2","500160","0","4","2022/10/17 05:00:00","秋季贈禮","2022/11/01 04:59:00","0","0","49017","10"
"2","500160","0","4","2022/12/24 05:00:00","歡慶聖誕&迎接新年到來","2023/01/06 04:59:59","0","0","49018","10"
"2","500160","0","4","2023/01/21 05:00:00","迎接春節來到","2023/02/06 04:59:59","0","0","49019","10"
"2","501470","0","4","2023/05/06 05:00:00","每日登入獎勵","2023/06/05 04:59:59","0","0","49020","10"
"2","500160","0","4","2023/12/31 05:00:00","迎接2024特別禮物","2024/01/02 04:59:59","0","0","49021","1"
"0","500160","0","6","2019/05/07 05:00:00","公主祭典紀念登入抽籤","2019/05/17 04:59:59","1","0","60000","7"
"0","500553","0","6","2020/05/05 05:00:00","謹賀新年 新年登入獎勵","2020/05/15 04:59:59","1","0","60001","7"
"0","500553","0","6","2021/05/04 05:00:00","謹賀新年 新年登入獎勵","2021/05/14 04:59:59","1","0","60002","7"
"0","500553","0","6","2022/05/03 05:00:00","謹賀新年 新年登入獎勵","2022/05/13 04:59:59","1","0","60003","7"
"0","500553","0","6","2023/05/02 05:00:00","謹賀新年 新年登入獎勵","2023/05/14 04:59:59","1","0","60004","7"
"0","500553","0","6","2024/05/01 05:00:00","謹賀新年 新年登入獎勵","2024/05/11 04:59:59","1","0","60005","7"
"0","500160","0","7","2021/04/23 05:00:00","聖誕節登入獎勵","2021/04/25 04:59:59","0","1","70004","2"
"0","500160","0","7","2021/05/04 05:00:00","元旦紀念特別登入獎勵","2021/05/07 04:59:59","0","2","70005","3"
"0","500160","0","7","2022/04/24 05:00:00","聖誕節登入獎勵","2022/04/26 04:59:59","0","1","70006","2"
"0","500160","0","7","2022/05/03 05:00:00","元旦紀念特別登入獎勵","2022/05/06 04:59:59","0","2","70007","3"
"0","500160","0","7","2023/04/24 05:00:00","聖誕節登入獎勵","2023/04/26 04:59:59","0","1","70008","2"
"0","500160","0","7","2023/05/02 05:00:00","元旦紀念特別登入獎勵","2023/05/05 04:59:59","0","2","70009","1"
"2","500160","0","4","2024/04/04 05:00:00","連假快樂特別禮物1","2024/04/06 04:59:59","0","0","70010","1"
"2","500160","0","4","2024/05/01 05:00:00","勞動節限定特別登入獎勵","2024/05/04 04:59:59","0","0","70011","1"
"2","500160","0","4","2024/04/06 05:00:00","連假快樂特別禮物2","2024/04/08 04:59:59","0","0","70012","1"
"0","500160","0","7","2025/04/03 05:00:00","聖誕節登入獎勵","2025/04/04 04:59:59","0","1","70014","1"
"0","500160","0","7","2025/04/04 05:00:00","聖誕節登入獎勵","2025/04/05 04:59:59","0","1","70015","1"
"0","0","1","8","2021/01/25 05:00:00","2.5周年倒數登入獎勵","2021/02/09 04:59:59","0","0","80003","15"
"0","0","1","10","2021/07/17 05:00:00","3周年倒數登入獎勵","2021/08/03 04:59:59","0","1","80004","17"
"0","0","1","8","2022/01/18 05:00:00","三周年半倒數登入獎勵","2022/02/02 04:59:59","0","0","80005","15"
"0","0","1","10","2022/07/16 05:00:00","4th Year Anniversary倒數登入獎勵","2022/08/02 04:59:59","0","1","80006","17"
