0586683fe189d0678127de65f89ac01760571926345546d2b3f4a585d133d4ea,aca566d5428fc549ac68db4b88c2a24a3ecee7c1a7bd8bf86a0c42c24cd24820,2c6396c4cb3f16809345d4af65844824e1be7890af6e4defda5e01c5ed7a6a80,fab51b7e530966f0fc49c53acffd1ecf32cfe83fa70da6024d5f22fcb6b53526,07d4e7a6511b1722fc09e62cc25433aa684fa058f3fec3a7b93bac66212cbe5d,a99c0ccd8153da4cf9a4bbe49ebb9eb0ffc108c377757387c51c64e9697acd98,a2e76ba997df0ef5ba12fcf9d395885b2918486c7938de3b12efe811492d374a,fb3d6fa5b15c9aa3b39feb75cc71a586c138355c994bf69f0675ea47b965fdad,f99771578f58b33814730873898a0f7131f81890dbf4b125e823361a94b6dac3,79717e207c69bbd9888cdf424f3f82a25f0bd8578c9d4374c48de82855aea63a
"-1","10001","22","","2","8","53003","15","2","3"
"14","10002","22","","1","5","53003","1","1","3"
"0","10003","23","若菜的施捨","0","2","52019","0","0","3"
"-1","10004","22","","2","8","53003","15","2","4"
"14","10005","22","","1","5","53003","1","1","4"
"0","10006","23","若菜的施捨","0","2","52019","0","0","4"
"-1","10007","22","","2","8","53003","15","2","5"
"14","10008","22","","1","5","53003","1","1","5"
"0","10009","23","若菜的施捨","0","2","52019","0","0","5"
"-1","10010","22","","2","8","53003","15","2","6"
"14","10011","22","","1","5","53003","1","1","6"
"0","10012","23","若菜的施捨","0","2","52019","0","0","6"
"-1","10013","22","","2","8","53003","15","2","7"
"14","10014","22","","1","5","53003","1","1","7"
"0","10015","23","若菜的施捨","0","2","52019","0","0","7"
"-1","10016","22","","2","8","53003","15","2","8"
"14","10017","22","","1","5","53003","1","1","8"
"0","10018","23","若菜的施捨","0","2","52019","0","0","8"
"-1","10019","22","","2","8","53003","15","2","9"
"14","10020","22","","1","5","53003","1","1","9"
"0","10021","23","若菜的施捨","0","2","52019","0","0","9"
"-1","10022","22","","2","8","53003","15","2","10"
"14","10023","22","","1","5","53003","1","1","10"
"0","10024","23","若菜的施捨","0","2","52019","0","0","10"
"-1","10025","22","","2","8","53003","15","2","11"
"14","10026","22","","1","5","53003","1","1","11"
"0","10027","23","若菜的施捨","0","2","52019","0","0","11"
"-1","10028","22","","2","8","53003","15","2","12"
"14","10029","22","","1","5","53003","1","1","12"
"0","10030","23","若菜的施捨","0","2","52019","0","0","12"
