bc8004663e21b6c12b1fae6ccec1e7f0e203a4ccba815de2dd9d88268218aaf9,9cf091d689a12418ceb038adc34dab52e6dbba56743a4ef8be4953795ddfc5e5,19002aeaefa0c35f7b6760f6012fcd899bafe6556ec09ef64e5a1c3c405705c9,cf40a13d7303ac0d6e6cf5435fd403e15983366e48e9ed3aa16db7e91f7e13f2,7c8bb8f038daa85e965ee273ac0a4973514256a606aea2dcc1c7e3f788530416,371f8f20b534664cbd7f7bad21198e3ebc605502e37750d0b75b79a15cd750ed,a963049c6fa7ca97e4bf80dd8db642ac6b24d3c6b489bbf3e893012313a11a29,802dd8bc7f6d6b06cd64c45f45272338b49aedbb6fe25d063f5d8bd1720121f1,138f6224c0aad5f705e1a1775db0b0d9be18381539523e8feaace2e2b770005f,cecd90a7043753aa213b9daa608d87a1fc85069a48bad9e5954e2f48a13b83dd
"0","5110601","0","10110","0","0","20059104","令人懷念的往日結晶","序幕","0"
"1","5110602","91002","10110","8","0","20059104","誰才是隊長！","尾狗刀的懷想　其一","30"
"1","5110603","91002","10110","8","0","20059105","想獲勝的理由","尾狗刀的懷想　其二","30"
"1","5110604","91002","10110","8","0","20059108","善於傾聽的誓約女君","克莉絲提娜的懷想　其一","30"
"1","5110605","91002","10110","8","0","20059109","隱藏的真正實力……？","大吾的懷想　其一","30"
"1","5110606","91002","10110","8","0","20059110","寫作朋友，讀作對手","拉比林斯達的懷想　其一","30"
"1","5110607","91002","10110","8","0","20059112","惡與正義的放聲大笑","真軌的懷想","30"
"1","5110608","91002","10110","8","0","20059113","所謂的公主騎士","拉基拉基的懷想　其一","30"
"1","5110609","91002","10110","8","0","20059114","遙想未來的日子","尾狗刀的懷想　其三","30"
"1","5111602","91002","10111","8","0","20060103","跳躍王的懲罰","拉基拉基的懷想　其二","30"
"1","5111603","91002","10111","8","0","20060105","兩人一起絕對能做到","克莉絲提娜的懷想　其二","30"
"1","5111604","91002","10111","8","0","20060108","踩虎尾","大吾的懷想　其二","30"
"1","5111605","91002","10111","8","0","20060109","最可疑的七冠是誰","拉比林斯達的懷想　其二","30"
"1","5111606","91002","10111","8","0","20060110","過於簡單的問題","似似花的懷想","30"
"1","5111607","91002","10111","8","0","20060113","魔物使如是說","尾狗刀的懷想　其四","30"
"1","5111608","91002","10111","8","0","20060113","惡徒們追尋的未來","尾狗刀的懷想　其五","30"
"0","5111609","9000222","10111","16","1","0","超越過去，創造回憶","終幕","1"
