765ae1c63919646fad38a24e7a99f44ef4939e3861ee22eafe0698317d2b31e0,71a2d553cffad7116fceb77ac6a88bc8d521b9f6a061bab812a328e24d76f150,ee5380a4bb4da6ebb7506864e534128c1ce5e60bfa719af7b50ea31304d99b01,7547bce296e9cb0240fee1e688270075b50518831969fe785fc54d0582aa642a,8726931c321f0b706c89f7d6e495ed9fcbed8c6f60e2713a4b3c4853c545c6ff,b9f4482a580406d75d6dcb22216cd9314b7b601ee2696691a50d8dc4a1ae3970,9298197bc7d0416766d40379313a2783cda662279039d1396284a4de87d4a81d,ec7d2a905aecf168c0d691d4b9bbde0e0723b72f4ecaad93d2d4140d461fa9f4,69cf7ba5e85e3cc79a109c89aab454f2500af67ad249b7495702aa86177772c3,c6cab9960efd8945a3efa617501f9ae5ec344107ad5572d6f56c6cf41529f867,861dedb4c33a869f91a98cf2077adff3f9a336e8f957187184b0e44963fb4a6b
"111831","101001","-100","nop_idle_joy1","101","1","0","1.5","1","115","-150"
"120731","101002","100","nop_idle_normal_joy","101","1","1","1.5","1","114","-150"
"120831","101003","-215","nop_idle_arm_crossed","101","1","0","1.5","1","111","-127"
"111931","101004","215","nop_idle_normal","101","1","1","1.5","1","110","-127"
"120931","101005","-330","nop_idle_thinking","101","1","0","1.5","1","113","-150"
"112031","101006","330","nop_idle_normal","101","1","1","1.5","1","112","-150"
"108731","102001","-100","nop_idle_joy1","102","1","0","1.5","1","115","-150"
"108831","102002","100","nop_idle_joy_normal","102","1","1","1.5","1","114","-150"
"108931","102003","-215","nop_idle_normal","102","1","0","1.5","1","111","-127"
"102011","103001","-100","nop_idle_joy1","103","1","0","1.5","1","113","-135"
"100411","103002","-215","nop_idle_normal","103","1","0","1.5","1","115","-150"
"103631","103003","100","nop_idle_wish","103","1","1","1.5","1","114","-143"
"101231","104001","-100","nop_idle_normal","104","1","0","1.5","1","115","-150"
"104011","104002","100","nop_idle_normal","104","1","1","1.5","1","114","-150"
"101511","104003","-215","nop_idle_normal","104","1","0","1.5","1","111","-127"
"103111","105001","-100","nop_idle_normal","105","1","0","1.5","1","113","-135"
"102211","105002","100","nop_idle_sad","105","1","1","1.5","1","111","-135"
"100711","105003","-215","nop_05_miyako_idle_normal","105","1","0","1.5","1","115","-150"
"100611","105004","215","nop_idle_joy1","105","1","1","1.5","1","112","-150"
"2051","105005","-25","nop_skull_idle","105","1","1","1.5","5","114","-135"
"104731","106001","-215","nop_idle_arm_crossed","106","1","0","1.5","1","115","-150"
"107131","106002","215","nop_idle_arm_crossed","106","1","1","1.5","1","114","-150"
"103731","106003","-100","nop_idle_normal","106","1","0","1.5","1","111","-135"
"100511","106004","100","nop_idle_joy1","106","1","1","1.5","1","110","-135"
"102831","107001","-100","nop_idle_normal","107","1","0","1.5","1","115","-150"
"102111","107002","100","nop_idle_normal","107","1","1","1.5","1","114","-150"
"102511","107003","-215","nop_idle_normal","107","1","0","1.5","1","111","-127"
"102311","107004","215","nop_idle_normal","107","1","1","1.5","1","110","-127"
"101011","108001","-100","nop_idle_joy_normal","108","1","0","1.5","1","115","-150"
"104331","108002","100","nop_idle_arm_crossed","108","1","1","1.5","1","114","-150"
"101711","108003","-215","nop_idle_joy1","108","1","0","1.5","1","111","-127"
"101431","108004","215","nop_idle_normal","108","1","1","1.5","1","110","-127"
"103311","109001","-100","nop_idle_joy1","109","1","0","1.5","1","115","-150"
"105211","109002","-215","nop_idle_joy_normal","109","1","0","1.5","1","111","-127"
"102611","109003","100","nop_idle_sad2","109","1","1","1.5","1","114","-150"
"103811","109004","215","nop_idle_normal","109","1","1","1.5","1","110","-127"
"103231","110001","-100","nop_idle_joy1","110","1","0","1.5","1","115","-150"
"103411","110002","215","nop_10_yukari_02","110","1","1","1.5","1","110","-127"
"11","110003","215","nop_10_yukari_02","110","1","1","1.5","5","111","-127"
"104811","110004","100","nop_idle_doya","110","1","1","1.5","1","114","-150"
"104611","110005","-215","nop_idle_joy_normal","110","1","0","1.5","1","111","-127"
"100911","111001","-100","nop_11_anna_idle_arm_crossed","111","1","0","1.5","1","115","-150"
"101311","111002","100","nop_idle_joy_normal","111","1","1","1.5","1","114","-150"
