58fa188c9734cebcdabefa6638ccdadcb02f520d69d600afb359c125c358bb4b,920c1194004a1791469e3cb791dd9286c51f4a0c3a2d3145f50aa23f6c5bec2c,e3a45f5b476183dac64b3a6a43794174a66adaac27cc247dd25044bf50fd9447,8a71d748829710bb48dd43f00d23330bbf4121ea6d770b01170e1e214a349692,4e90e0a88fa0c50b81ce21af01f37c48db47a2009ff5d88d825d4774dac351de
"91002","72001001","8","30","20001001"
"22002","72001001","2","1","20001002"
"91002","72001002","8","30","20001003"
"22002","72001002","2","1","20001004"
"91002","72001003","8","30","20001005"
"22002","72001003","2","1","20001006"
"91002","72001004","8","30","20001007"
"22002","72001004","2","1","20001008"
"91002","72001005","8","30","20001009"
"22002","72001005","2","1","20001010"
"91002","72001006","8","30","20001011"
"22002","72001006","2","1","20001012"
"91002","72001007","8","30","20001013"
"22002","72001007","2","1","20001014"
"91002","72001008","8","30","20001015"
"22002","72001008","2","1","20001016"
"91002","72001009","8","30","20001017"
"22002","72001009","2","1","20001018"
"91002","72001010","8","30","20001019"
"22002","72001010","2","1","20001020"
"91002","72001011","8","30","20001021"
"22002","72001011","2","1","20001022"
"91002","72001012","8","30","20001023"
"22002","72001012","2","1","20001024"
"91002","72001013","8","30","20001025"
"22002","72001013","2","1","20001026"
"91002","72001014","8","30","20001027"
"22002","72001014","2","1","20001028"
"91002","72001015","8","200","20001029"
"22002","72001015","2","1","20001030"
"91002","72001016","8","60","20001031"
"22002","72001016","2","2","20001032"
"91002","72001017","8","60","20001033"
"22002","72001017","2","2","20001034"
"91002","72001018","8","60","20001035"
"22002","72001018","2","2","20001036"
"91002","72001019","8","60","20001037"
"22002","72001019","2","2","20001038"
"91002","72001020","8","300","20001039"
"22002","72001020","2","2","20001040"
"31012","72001021","2","5","20001041"
"31038","72001021","2","5","20001042"
"31012","72001022","2","5","20001043"
"31038","72001022","2","5","20001044"
"31012","72001023","2","10","20001045"
"31038","72001023","2","10","20001046"
"91002","72002001","8","30","20002001"
"22002","72002001","2","1","20002002"
"91002","72002002","8","30","20002003"
"22002","72002002","2","1","20002004"
"91002","72002003","8","30","20002005"
"22002","72002003","2","1","20002006"
"91002","72002004","8","30","20002007"
"22002","72002004","2","1","20002008"
"91002","72002005","8","30","20002009"
"22002","72002005","2","1","20002010"
"91002","72002006","8","30","20002011"
"22002","72002006","2","1","20002012"
"91002","72002007","8","30","20002013"
"22002","72002007","2","1","20002014"
"91002","72002008","8","30","20002015"
"22002","72002008","2","1","20002016"
"91002","72002009","8","30","20002017"
"22002","72002009","2","1","20002018"
"91002","72002010","8","30","20002019"
"22002","72002010","2","1","20002020"
"91002","72002011","8","30","20002021"
"22002","72002011","2","1","20002022"
"91002","72002012","8","30","20002023"
"22002","72002012","2","1","20002024"
"91002","72002013","8","30","20002025"
"22002","72002013","2","1","20002026"
"91002","72002014","8","30","20002027"
"22002","72002014","2","1","20002028"
"91002","72002015","8","200","20002029"
"22002","72002015","2","1","20002030"
"91002","72002016","8","60","20002031"
"22002","72002016","2","2","20002032"
"91002","72002017","8","60","20002033"
"22002","72002017","2","2","20002034"
"91002","72002018","8","60","20002035"
"22002","72002018","2","2","20002036"
"91002","72002019","8","60","20002037"
"22002","72002019","2","2","20002038"
"91002","72002020","8","300","20002039"
"22002","72002020","2","2","20002040"
"31020","72002021","2","5","20002041"
"31004","72002021","2","5","20002042"
"31020","72002022","2","5","20002043"
"31004","72002022","2","5","20002044"
"31020","72002023","2","10","20002045"
"31004","72002023","2","10","20002046"
"91002","72003001","8","30","20003001"
"22002","72003001","2","1","20003002"
"91002","72003002","8","30","20003003"
"22002","72003002","2","1","20003004"
"91002","72003003","8","30","20003005"
"22002","72003003","2","1","20003006"
"91002","72003004","8","30","20003007"
"22002","72003004","2","1","20003008"
"91002","72003005","8","30","20003009"
"22002","72003005","2","1","20003010"
"91002","72003006","8","30","20003011"
"22002","72003006","2","1","20003012"
"91002","72003007","8","30","20003013"
"22002","72003007","2","1","20003014"
"91002","72003008","8","30","20003015"
"22002","72003008","2","1","20003016"
"91002","72003009","8","30","20003017"
"22002","72003009","2","1","20003018"
"91002","72003010","8","30","20003019"
"22002","72003010","2","1","20003020"
"91002","72003011","8","30","20003021"
"22002","72003011","2","1","20003022"
"91002","72003012","8","30","20003023"
"22002","72003012","2","1","20003024"
"91002","72003013","8","30","20003025"
"22002","72003013","2","1","20003026"
"91002","72003014","8","30","20003027"
"22002","72003014","2","1","20003028"
"91002","72003015","8","200","20003029"
"22002","72003015","2","1","20003030"
"91002","72003016","8","60","20003031"
"22002","72003016","2","2","20003032"
"91002","72003017","8","60","20003033"
"22002","72003017","2","2","20003034"
"91002","72003018","8","60","20003035"
