8fa6bfd77b3b31faa7799f56c87d1e20625915f505d36388da480cec56ce16b3,7e45994200f2bae1537e2160bc0d639e6d4e42b570f02a1f1f0db26c99bf143b,ffb04dc74eb8888161a8b76efde293f67dc5ef6c7d99f0a750b1031d4a406d67,900c56c7221486d755096aa0a509790f2fbc75d344aa7034a0b4ae0e6dac374b,2a81408f99967ac6d83794d15e1f7d82ddf1283782b368517e803fea418451b5,ac92d2dc33de015d2cd4cf8aa469e22c76072985d2d0362a7240758863ae8c94,3c4bc26a9e9290b0e4441d5bf86d4cb4f7125afa0b2aaa952b025f34e155c985,d606707c0836684aff087a91b3775a6784fcb8b9ca602e0037c075956f022e8a,15b602ca6d2ede690dd8b66525d05ce4503b212c3664604564c5ebb1a3e596af,fd538a442c25e78a7c3063e5a735d67d973d32447bfbba25246977d5aab7f26e
"0","1","5038600","","0","20023105","11","","1","1"
"0","2","0","理應繼承至次世代的新語言","0","20023105","12","高中部1年級　琪愛兒","0","1"
"0","3","0","我超級不會寫作文","0","20023107","13","高中部2年級　克蘿依","0","1"
"0","4","0","直至飛翔為止","0","20023109","14","高中部3年級　優妮","0","1"
"0","5","5038601","","0","20023111","21","","2","2"
"0","6","0","靈光一閃了呢！","0","20023111","22","紀錄人　秋乃","0","2"
"0","7","0","組合喵！","0","20023112","23","紀錄人　珠希","0","2"
"0","8","0","我寫過這種東西嗎…？","0","20023113","24","紀錄人　優花梨","0","2"
"0","9","0","不能放任繼續這樣下去了","0","20023114","25","紀錄人　美冬","0","2"
"0","10","0","特別講座結束了","0","20023115","26","總結","0","2"
"1","11","5038602","","0","20023115","31","","2","3"
"1","12","0","開發記—考察","0","20023115","32","浪漫繼承計畫","0","3"
"2","13","0","開發記—試作機完成","0","20023115","33","彌補不足計畫","0","3"
"3","14","0","開發記—最終工程","0","20023115","34","畫龍點睛計畫","0","3"
"3","15","5038603","","2022/05/25 16:00:00","20023115","35","","3","3"
