eda7fecb09e7ffd612846a043b3ea74b806f2033b2062338b2431f3f47ff5140,85d0898ca0cf50159d339e04e3f71f84cd6f4c72b17bd3a8698b1b91c39cc3d1,56741d2fd09dc612a81926a51e0a45de60e964a71f62b2c32802909c5bda2e0a,6725a36255b3b732fe2ff1611d55d9cec0750b957bba36b4d2c55548e5d8dd63,fd4f0b5970b8c77b609b9212330d9b3484279d4f639c2c76465c9f7b306150ab,8b5fdfaf76b6186a703ec3547596cd6ab842474090cd0728fddcfbf23c4b4ee9,a3cbe9d416f8bf5314aeb8989221c7a78b836570cd3e929010c2c5e6883acb9f,f76ae966daea3e750122b3097e775f771d100717bf206026d2ba70eb96a0ec53
"1","2","20000","1","21952","96001","1","1"
"2","2","10000","1","21904","96001","1","1"
"3","2","10000","1","41000","96001","1","1"
"4","2","2000","5","31803","96001","1","5"
"5","2","1500","5","31215","96001","1","5"
"6","2","1500","5","31210","96001","1","5"
"7","2","1500","5","31211","96001","1","5"
"8","2","1250","5","90005","96001","1","10"
"9","4","500","10","140001","96001","1","20"
"10","2","500","5","25001","96001","1","10"
"11","4","100","5","150003","96001","1","5"
"12","4","130","5","150004","96001","1","5"
"13","4","150","5","150005","96001","1","5"
"14","4","180","5","150006","96001","1","5"
"15","4","200","5","150007","96001","1","5"
"16","4","230","5","150008","96001","1","5"
"17","2","500","100","20004","96001","1","5"
"18","2","200","100","22003","96001","1","5"
"19","2","1000","100","20004","96001","1","0"
"20","2","400","100","22003","96001","1","0"
"21","2","20000","1","21952","96002","2","1"
"22","2","10000","1","21904","96002","2","1"
"23","2","10000","1","41000","96002","2","1"
"24","2","1500","5","31233","96002","2","5"
"25","2","1500","5","31229","96002","2","5"
"26","2","1500","5","31225","96002","2","5"
"27","2","1250","5","90005","96002","2","10"
"28","4","500","10","140001","96002","2","20"
"29","2","500","5","25001","96002","2","10"
"30","4","100","5","150003","96002","2","5"
"31","4","130","5","150004","96002","2","5"
"32","4","150","5","150005","96002","2","5"
"33","4","180","5","150006","96002","2","5"
"34","4","200","5","150007","96002","2","5"
"35","4","230","5","150008","96002","2","5"
"36","2","500","100","20004","96002","2","5"
"37","2","200","100","22003","96002","2","5"
"38","2","1000","100","20004","96002","2","0"
"39","2","400","100","22003","96002","2","0"
"40","2","20000","1","21952","96003","3","1"
"41","2","10000","1","21905","96003","3","1"
"42","2","10000","1","41000","96003","3","1"
