44c0b63099fcd28852d45071bb2982acd62b76468c9569befc06763014ff6db0,d84f16b5ef7de6e0b6aa45bf4960cf6dca39af840ad17243ed9df439988b93f6,cf75f7dfb4e46758aef77eded55e00e30b018c4dd337a1137c6aea6f97f4c789,8a2bdbe2c126c6e69557d711ecf064e988eca730e1da6847505fdccdcc61ad05,8d7b8e0b1afc227cbe5eea8ada693615fbcf87e941a994c5fa0dec1dd6d0bfdf,2fc8d1b0d06ac93c7f344850678d9561af37ce5c6f070a3fa0f2ecc7f22b489f,4cade478e0045e1beb4b057bb8e8b9cea43c71ab81e1d5941cd74da606f70c25,212f265688a018d9391daac997431da724eaca2b04f8468dbac6414dafab8900
"710000001","710000104","100","710100011","710000101","0","710000102","710000105"
"710000002","710000204","100","710100021","710000201","0","710000202","710000203"
"710000003","710000302","100","710100031","710000301","0","710000304","710000305"
"710000004","710000402","100","710100041","710000401","0","710000404","710000405"
"710000005","710000504","100","710100051","710000502","0","710000505","710000501"
"710000006","710000603","100","710100061","710000601","710000604","710000605","710000602"
"710000007","710000703","100","710100071","710000704","710000705","710000701","710000702"
"710000008","710000803","100","710100081","710000805","710000804","710000802","710000801"
"710000009","710000901","100","710100091","710000902","710000905","710000903","710000904"
"710000010","710001001","100","710100101","0","0","0","0"
"710000011","710001102","100","710100111","710001101","710001104","710001103","710001105"
"710000012","710001203","100","710100121","710001205","710001204","710001201","710001202"
"710000013","710001304","100","710100131","710001301","710001305","710001303","710001302"
"710000014","710001403","100","710100141","710001401","710001405","710001404","710001402"
"710000015","710001503","100","710100151","710001501","710001504","710001505","710001502"
"710000016","710001605","100","710100161","710001602","710001604","710001601","710001603"
"710000017","710001705","100","710100171","710001703","710001704","710001701","710001702"
"710000018","710001803","100","710100181","710001801","710001805","710001804","710001802"
"710000019","710001904","100","710100191","710001902","710001905","710001901","710001903"
"710000020","710002002","100","710100201","710002002","0","710002001","0"
"710000021","710002103","100","710100211","710002104","710002105","710002102","710002101"
"710000022","710002203","100","710100221","710002204","710002205","710002201","710002202"
"710000023","710002303","100","710100231","710002302","710002305","710002304","710002301"
"710000024","710002403","100","710100241","710002404","710002405","710002401","710002402"
"710000025","710002501","100","710100251","710002502","710002505","710002503","710002504"
"710000026","710002603","100","710100261","710002602","710002604","710002601","710002605"
"710000027","710002703","100","710100271","710002702","710002704","710002705","710002701"
"710000028","710002803","100","710100281","710002801","710002804","710002802","710002805"
"710000029","710002903","100","710100291","710002901","710002905","710002904","710002902"
"710000030","710003002","100","710100301","710003002","0","710003003","710003001"
"710000031","710003103","100","710100311","710003102","710003105","710003101","710003104"
"710000032","710003203","100","710100321","710003204","710003205","710003201","710003202"
"710000033","710003303","100","710100331","710003304","710003305","710003302","710003301"
"710000034","710003403","100","710100341","710003404","710003405","710003402","710003401"
"710000035","710003503","100","710100351","710003501","710003505","710003502","710003504"
"710000036","710003603","100","710100361","710003601","710003605","710003602","710003604"
"710000037","710003703","100","710100371","710003704","710003705","710003701","710003702"
"710000038","710003803","100","710100381","710003801","710003805","710003804","710003802"
"710000039","710003903","100","710100391","710003902","710003904","710003901","710003905"
"710000040","710004002","100","710100401","710004002","0","710004003","710004001"
"710000041","710004103","100","710100411","710004102","710004105","710004104","710004101"
"710000042","710004204","100","710100421","710004203","710004205","710004202","710004201"
"710000043","710004303","100","710100431","710004304","710004305","710004302","710004301"
"710000044","710004401","100","710100441","710004402","710004405","710004403","710004404"
"710000045","710004503","100","710100451","710004501","710004505","710004502","710004504"
"710000046","710004603","100","710100461","710004604","710004605","710004602","710004601"
"710000047","710004703","100","710100471","710004701","710004705","710004702","710004704"
"710000048","710004805","100","710100481","710004801","710004804","710004802","710004803"
"710000049","710004903","100","710100491","710004904","710004905","710004901","710004902"
"710000050","710005002","100","710100501","710005002","710005004","710005003","710005001"
"710000051","710005104","100","710100511","710005102","710005105","710005103","710005101"
"710000052","710005203","100","710100521","710005202","710005205","710005204","710005201"
"710000053","710005302","100","710100531","710005301","710005304","710005303","710005305"
"710000054","710005405","100","710100541","710005402","710005404","710005401","710005403"
