b438fdb29b5510339ade145e74b8567b68f60bc1955397367ef3feff870aca1e,8235edbb34b3bdaafdfa031cdc6596c9926ec04be39ac8476364c0ca296e1fc8,1ace2d387f93137212a89a46c292d49e1f60d9893ab49a44e62ad4acf32fd803,43c6bed07d90e83b91230bc36a2a55a39ee27180cab556e475f632eecf87551d,a9bd8d9026315f76ca3efe86caeda99f483c5463368aa3bd9eb70695c94d84bf,990c95d4fab299c7ac8e8402acccccee696164bebedd22d0aed0183b7e2a645d,d596367e64beda45881df20e0a5f67a81e512e08a574445d46a7338a3c214c4c,0481d437b3617454cceb71396491229307975e04aa68e11ae95b7890b1d6d1b7,b75ff5fc8e3fc5904d21f31e26e354983ffbd4f1293086a118f4128c81776fb7,90bd14e1b6125fa5b768880421dd53ce1bd02413ede4811da41ef2aa41121d7e,f531fe41c095d75c1273f32edd8cdbcf52be0c7cf22f8f11628b60cedbd2dcd2,97fdfca7b7c77652eabd4490c0fa85377cc2a978c3e5bd0fd9ed8fbca2c665d4,36e744a8a1ba8223625440800f61abccd6d1b620b9fe424d3bb26e4675f49ef5,620d8fc9b5e7aa3cd8d5c62158071faa069086c6060274fe648f0a5bfa9c8a71
"180","1","-1","-1","-1","180","1","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","2","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","3","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","4","0","0","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","5","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","6","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","7","0","1","0","-1","-1","19","-1"
"180","1","-1","-1","-1","180","8","0","1","0","-1","-1","19","-1"
"215","1","-1","-1","-1","215","9","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","10","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","11","0","0","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","12","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","13","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","14","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","15","0","1","0","-1","-1","23","-1"
"215","1","-1","-1","-1","215","16","0","1","0","-1","-1","23","-1"
"250","1","-1","-1","-1","250","17","0","1","0","-1","-1","26","-1"
"250","1","-1","-1","-1","250","18","0","0","0","-1","-1","26","-1"
"250","1","-1","-1","-1","250","20","0","1","0","-1","-1","26","-1"
"250","1","-1","-1","-1","250","21","0","1","0","-1","-1","26","-1"
"250","1","-1","-1","-1","250","22","0","1","0","-1","-1","26","-1"
"260","1","-1","-1","-1","260","23","0","0","0","-1","-1","28","-1"
"250","1","-1","-1","-1","250","24","0","1","0","-1","-1","26","-1"
"250","1","-1","-1","-1","250","25","0","1","0","-1","-1","26","-1"
"280","1","-1","-1","-1","280","26","0","0","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","27","0","1","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","28","0","1","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","29","0","1","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","30","0","1","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","31","0","1","0","-1","-1","29","-1"
"280","1","-1","-1","-1","280","32","0","1","0","-1","-1","29","-1"
