e1ba478ea207948e7de245a95cac6760883dff0045ff90230b5fdf66fc237dd4,5043b397a04b15ecc09b4a13d4694afb060c8b4bed60f9af89cf31967b8f4933,56ae094018281e592903a8c7182e65b9b93b51324b79436530c41af2868d37d0,c986bba1b1340198f6892b9f6ca7e0c5564b21ca60967ab1ffc622ee0e5c7984,39782cec173d846a18184e47b401e1274f239e66c9c9838084482fc9b298de21,98c823ab9215176caa31506a52daf54e391cc4a43235c25ddfd525cbdd8564d0
"1","10011001","60000001","4","101011","6"
"1","10011001","60000002","4","101071","6"
"1","10011001","60000003","4","101101","6"
"1","10011001","60000004","4","101131","7"
"1","10011001","60000005","4","101161","6"
"1","10011001","60000006","4","101191","6"
"1","10011001","60000007","4","101251","7"
"1","10011001","60000008","4","101281","7"
"1","10011001","60000009","4","101371","7"
"1","10011001","60000010","4","101401","7"
"1","10011001","60000011","4","101431","7"
"1","10011001","60000012","4","101521","7"
"1","10011001","60000013","4","101551","7"
"1","10011001","60000014","4","101581","7"
"1","10011001","60000015","4","101611","7"
"1","10011002","60000016","4","102011","2"
"1","10011002","60000017","4","102013","2"
"1","10011002","60000018","4","102014","2"
"1","10011002","60000019","4","102041","2"
"1","10011002","60000020","4","102071","2"
"1","10011002","60000021","4","102101","2"
"1","10011002","60000022","4","102131","2"
"1","10011002","60000023","4","102162","2"
"1","10011002","60000024","4","102163","2"
"1","10011002","60000025","4","102191","2"
"1","10011002","60000026","4","102192","2"
"1","10011002","60000027","4","102221","2"
"1","10011002","60000028","4","102222","2"
"1","10011002","60000029","4","102251","2"
"1","10011002","60000030","4","102252","3"
"1","10011002","60000031","4","102281","3"
"1","10011002","60000032","4","102461","3"
"1","10011002","60000033","4","102551","3"
"1","10011002","60000034","4","102552","3"
"1","10011002","60000035","4","102581","3"
"1","10011002","60000036","4","102582","3"
"1","10011002","60000037","4","102611","3"
"1","10011002","60000038","4","102612","3"
"1","10011002","60000039","4","122282","3"
"1","10011002","60000040","4","122311","3"
"1","10011002","60000041","4","122312","3"
"1","10011002","60000042","4","122341","3"
"1","10011002","60000043","4","122342","3"
"1","10011002","60000044","4","122371","3"
"1","10011002","60000045","4","122372","3"
"1","10011002","60000046","4","122401","3"
"1","10011002","60000047","4","122431","3"
"1","10011002","60000048","4","122432","3"
"1","10011002","60000049","4","122491","3"
"1","10011002","60000050","4","122493","3"
"1","10011002","60000051","4","122521","3"
"1","10011002","60000052","4","122613","3"
"1","10011002","60000053","4","122614","3"
"1","10011003","60000054","4","113011","2"
"1","10011003","60000055","4","113012","2"
