965fae64622ab17c9c2167e96c35079ac597e4042928edf583ebf64135f60c88,1aa2ca48f7ffc70d44aea42c54085dad7ab082e8654fafbe4f1848eb71527091,93ad9e6933c1b5d60a53ab6995ed4df781e756ba1e6a0bf3b6f97d70f20c180f,eea97d3b0e24853ec6ee3239bcf058e4a9d96950420c796f09d3da7b462a7700,5472521ce22ae79e1e0fb84a2442eade819b73f707882185cb9f813fa8d52811,5bd3b81f7167d6f7b090b79e0d963d2e2f6d864df3ad729b975fd88e687197a0,1f5017c0c9ce638facf2b7d971f2d35af9ca8bc7a0cf984b66f2fd05bf094982
"2019/02/19 15:59:59","1","2019/02/18 15:59:59","1001","7001000","2019/02/19 05:00:00","2019/02/13 16:00:00"
"2019/03/20 15:59:59","2","2019/03/19 15:59:59","1002","7002000","2019/03/20 05:00:00","2019/03/15 16:00:00"
"2019/04/22 15:59:59","3","2019/04/21 15:59:59","1003","7003000","2019/04/22 05:00:00","2019/04/17 16:00:00"
"2019/05/22 09:59:59","4","2019/05/21 09:59:59","1004","7003003","2019/05/22 05:00:00","2019/05/17 16:00:00"
"2019/06/21 15:59:59","5","2019/06/20 15:59:59","1005","7004000","2019/06/21 05:00:00","2019/06/17 16:00:00"
"2019/07/22 15:59:59","6","2019/07/21 15:59:59","1006","7004003","2019/07/22 05:00:00","2019/07/17 16:00:00"
"2019/08/22 15:59:59","7","2019/08/21 15:59:59","1007","7005000","2019/08/22 05:00:00","2019/08/16 16:00:00"
"2019/09/22 15:59:59","8","2019/09/21 15:59:59","1008","7005003","2019/09/22 05:00:00","2019/09/17 16:00:00"
"2019/10/23 15:59:59","9","2019/10/22 15:59:59","1009","7006000","2019/10/23 05:00:00","2019/10/18 16:00:00"
"2019/11/22 15:59:59","10","2019/11/21 15:59:59","1010","7006003","2019/11/22 05:00:00","2019/11/18 16:00:00"
"2019/12/22 15:59:59","11","2019/12/21 15:59:59","1011","7007000","2019/12/22 05:00:00","2019/12/17 16:00:00"
"2020/01/22 15:59:59","12","2020/01/21 15:59:59","1012","7007003","2020/01/22","2020/01/16 16:00:00"
"2020/02/21 15:59:59","13","2020/02/20 15:59:59","1013","7008000","2020/02/21","2020/02/17 16:00:00"
"2020/03/24 15:59:59","14","2020/03/23 15:59:59","1014","7008003","2020/03/24","2020/03/17 16:00:00"
"2020/04/21 15:59:59","15","2020/04/20 15:59:59","1015","7009000","2020/04/21","2020/04/14 16:00:00"
"2020/05/22 15:59:59","16","2020/05/21 15:59:59","1016","7009003","2020/05/22 05:00:00","2020/05/15 16:00:00"
"2020/06/19 15:59:59","17","2020/06/18 15:59:59","1017","7010000","2020/06/19","2020/06/12 16:00:00"
"2020/07/20 15:59:59","18","2020/07/19 15:59:59","1018","7010003","2020/07/20","2020/07/13 16:00:00"
"2020/08/21 15:59:59","19","2020/08/20 15:59:59","1019","7011000","2020/08/21","2020/08/14 16:00:00"
"2020/09/16 15:59:59","20","2020/09/15 15:59:59","1020","7011003","2020/09/16","2020/09/11 16:00:00"
"2020/10/18 15:59:59","21","2020/10/17 15:59:59","1021","7012000","2020/10/18","2020/10/13 16:00:00"
"2020/11/15 15:59:59","22","2020/11/14 15:59:59","1022","7012003","2020/11/15","2020/11/10 16:00:00"
"2020/12/15 15:59:59","23","2020/12/14 15:59:59","1023","7013000","2020/12/15","2020/12/10 16:00:00"
"2021/01/11 15:59:59","24","2021/01/10 15:59:59","1024","7013003","2021/01/11","2021/01/06 16:00:00"
"2021/02/14 15:59:59","25","2021/02/13 15:59:59","1025","7014000","2021/02/14","2021/02/09 16:00:00"
"2021/03/14 15:59:59","26","2021/03/13 15:59:59","1026","7014003","2021/03/14","2021/03/09 16:00:00"
"2021/04/14 15:59:59","27","2021/04/13 15:59:59","1027","7015000","2021/04/14","2021/04/08 16:00:00"
"2021/05/17 15:59:59","28","2021/05/16 15:59:59","1028","7015003","2021/05/17","2021/05/12 16:00:00"
"2021/06/16 15:59:59","29","2021/06/15 15:59:59","1029","7016000","2021/06/16","2021/06/11 16:00:00"
"2021/07/18 15:59:59","30","2021/07/17 15:59:59","1030","7016003","2021/07/18","2021/07/13 16:00:00"
"2021/08/18 15:59:59","31","2021/08/17 15:59:59","1031","7017000","2021/08/18","2021/08/13 16:00:00"
"2021/09/15 15:59:59","32","2021/09/14 15:59:59","1032","7017003","2021/09/15","2021/09/10 16:00:00"
"2021/10/13 15:59:59","33","2021/10/12 15:59:59","1033","7018000","2021/10/13","2021/10/08 16:00:00"
"2021/11/17 15:59:59","34","2021/11/16 15:59:59","1034","7018003","2021/11/17","2021/11/12 16:00:00"
"2021/12/15 15:59:59","35","2021/12/14 15:59:59","1035","7019000","2021/12/15","2021/12/10 16:00:00"
"2022/01/15 15:59:59","36","2022/01/14 15:59:59","1036","7019003","2022/01/15","2022/01/10 16:00:00"
"2022/02/15 15:59:59","37","2022/02/14 15:59:59","1037","7020000","2022/02/15","2022/02/10 16:00:00"
"2022/03/15 15:59:59","38","2022/03/14 15:59:59","1038","7020003","2022/03/15","2022/03/10 16:00:00"
"2022/04/13 15:59:59","39","2022/04/12 15:59:59","1039","7021000","2022/04/13","2022/04/08 16:00:00"
"2022/05/15 15:59:59","40","2022/05/14 15:59:59","1040","7021003","2022/05/15","2022/05/10 16:00:00"
"2022/06/15 15:59:59","41","2022/06/14 15:59:59","1041","7022000","2022/06/15","2022/06/10 16:00:00"
"2022/07/13 15:59:59","42","2022/07/12 15:59:59","1042","7022003","2022/07/13","2022/07/08 16:00:00"
"2022/08/14 15:59:59","43","2022/08/13 15:59:59","1043","7023000","2022/08/14","2022/08/09 16:00:00"
"2022/10/12 15:59:59","44","2022/10/11 15:59:59","1044","7023003","2022/10/12","2022/10/07 16:00:00"
"2022/12/14 15:59:59","45","2022/12/13 15:59:59","1045","7024000","2022/12/14","2022/12/09 16:00:00"
"2023/02/15 15:59:59","46","2023/02/14 15:59:59","1046","7024003","2023/02/15","2023/02/10 16:00:00"
"2023/04/12 15:59:59","47","2023/04/11 15:59:59","1047","7025000","2023/04/12","2023/04/07 16:00:00"
"2023/07/12 15:59:59","48","2023/07/11 15:59:59","1048","7025003","2023/07/12","2023/07/07 16:00:00"
"2023/10/14 15:59:59","49","2023/10/13 15:59:59","1049","7026000","2023/10/14","2023/10/09 16:00:00"
"2024/01/10 15:59:59","50","2024/01/09 15:59:59","1050","7026003","2024/01/10","2024/01/05 16:00:00"
"2024/04/14 15:59:59","51","2024/04/13 15:59:59","1051","7027000","2024/04/14","2024/04/09 16:00:00"
"2024/08/14 15:59:59","52","2024/08/13 15:59:59","1052","7027003","2024/08/14","2024/08/09 16:00:00"
"2024/12/15 15:59:59","53","2024/12/14 15:59:59","1053","7028000","2024/12/15","2024/12/10 16:00:00"
"2025/04/15 15:59:59","54","2025/04/14 15:59:59","1054","7028003","2025/04/15","2025/04/10 16:00:00"
