c9be54e1e7e3333f7618f54c382f7ae5f1c19f3173c1dc830234efc73406a48f,178e0f5e73c47fa9303d81542c09dcb657b31cff7613e853c273782f048adb5b,e65f9a55a7c07860b772f260cfb1da89b929c71de23b387efcbf9a8164881a86,9c57b8b7991ec79f09c4f87717189e1c59e80c165d3b91676291a77812d0efa3,61c03892a5f27e7a6e8231f26d91b9cad4098e1a27f71cc6fed8b3000dfde4e5,61143e2d91cdd70fd985ac9e099c992a753ed9003cd25c4cede18fd933e579a7,764ea8909d17d5ac030123170478ad2e1bbf190d1ffe32326fc94e7208232bab,3020e1e7fbf1dc0ab26099efe966ae6cd0127b8b69e9a9a8bb171db8aa77ea0f,792e8eff105fe80b1f9db88d98ba4feba47e8476b042a9f903dd89b7cbf4d59c
"4101","1001","0","累積獲得3個★","100101","3","1","100000001","3"
"4101","1001","0","累積獲得6個★","100102","6","2","100000002","6"
"4101","1001","1","累積獲得9個★","100103","9","3","100000003","9"
"4101","1001","0","累積獲得12個★","100104","12","4","100000004","12"
"4101","1001","0","累積獲得15個★","100105","15","5","100000005","15"
"4101","1001","0","累積獲得18個★","100106","18","6","100000006","18"
"4101","1001","1","累積獲得21個★","100107","21","7","100000007","21"
"4101","1001","0","累積獲得24個★","100108","24","8","100000008","24"
"4101","1001","1","累積獲得27個★","100109","27","9","100000009","27"
"4101","1001","0","累積獲得30個★","100110","30","10","100000010","30"
"4101","1001","0","累積獲得33個★","100111","33","11","100000011","33"
"4101","1001","1","累積獲得36個★","100112","36","12","100000012","36"
"4101","1001","0","累積獲得39個★","100113","39","13","100000013","39"
"4101","1001","0","累積獲得42個★","100114","42","14","100000014","42"
"4101","1001","1","累積獲得45個★","100115","45","15","100000015","45"
"4101","1001","0","累積獲得48個★","100116","48","16","100000016","48"
"4101","1001","1","累積獲得51個★","100117","51","17","100000017","51"
"4101","1001","0","累積獲得54個★","100118","54","18","100000018","54"
"4101","1002","0","累積獲得3個★","100201","3","1","100200001","3"
"4101","1002","0","累積獲得6個★","100202","6","2","100200002","6"
"4101","1002","1","累積獲得9個★","100203","9","3","100200003","9"
"4101","1002","0","累積獲得12個★","100204","12","4","100200004","12"
"4101","1002","0","累積獲得15個★","100205","15","5","100200005","15"
"4101","1002","0","累積獲得18個★","100206","18","6","100200006","18"
"4101","1002","1","累積獲得21個★","100207","21","7","100200007","21"
"4101","1002","0","累積獲得24個★","100208","24","8","100200008","24"
"4101","1002","1","累積獲得27個★","100209","27","9","100200009","27"
"4101","1002","0","累積獲得30個★","100210","30","10","100200010","30"
"4101","1002","0","累積獲得33個★","100211","33","11","100200011","33"
"4101","1002","1","累積獲得36個★","100212","36","12","100200012","36"
"4101","1002","0","累積獲得39個★","100213","39","13","100200013","39"
"4101","1002","0","累積獲得42個★","100214","42","14","100200014","42"
"4101","1002","1","累積獲得45個★","100215","45","15","100200015","45"
"4101","1002","0","累積獲得48個★","100216","48","16","100200016","48"
"4101","1002","1","累積獲得51個★","100217","51","17","100200017","51"
"4101","1002","0","累積獲得54個★","100218","54","18","100200018","54"
"4101","1003","0","累積獲得3個★","100301","3","1","100300001","3"
"4101","1003","0","累積獲得6個★","100302","6","2","100300002","6"
"4101","1003","1","累積獲得9個★","100303","9","3","100300003","9"
"4101","1003","0","累積獲得12個★","100304","12","4","100300004","12"
"4101","1003","0","累積獲得15個★","100305","15","5","100300005","15"
"4101","1003","0","累積獲得18個★","100306","18","6","100300006","18"
"4101","1003","1","累積獲得21個★","100307","21","7","100300007","21"
"4101","1003","0","累積獲得24個★","100308","24","8","100300008","24"
"4101","1003","1","累積獲得27個★","100309","27","9","100300009","27"
"4101","1003","0","累積獲得30個★","100310","30","10","100300010","30"
"4101","1003","0","累積獲得33個★","100311","33","11","100300011","33"
"4101","1003","1","累積獲得36個★","100312","36","12","100300012","36"
"4101","1003","0","累積獲得39個★","100313","39","13","100300013","39"
"4101","1003","0","累積獲得42個★","100314","42","14","100300014","42"
"4101","1003","1","累積獲得45個★","100315","45","15","100300015","45"
"4101","1003","0","累積獲得48個★","100316","48","16","100300016","48"
"4101","1003","1","累積獲得51個★","100317","51","17","100300017","51"
"4101","1003","0","累積獲得54個★","100318","54","18","100300018","54"
"4101","1004","0","累積獲得3個★","100401","3","1","100400001","3"
"4101","1004","0","累積獲得6個★","100402","6","2","100400002","6"
"4101","1004","1","累積獲得9個★","100403","9","3","100400003","9"
"4101","1004","0","累積獲得12個★","100404","12","4","100400004","12"
"4101","1004","0","累積獲得15個★","100405","15","5","100400005","15"
"4101","1004","0","累積獲得18個★","100406","18","6","100400006","18"
"4101","1004","1","累積獲得21個★","100407","21","7","100400007","21"
"4101","1004","0","累積獲得24個★","100408","24","8","100400008","24"
"4101","1004","1","累積獲得27個★","100409","27","9","100400009","27"
"4101","1004","0","累積獲得30個★","100410","30","10","100400010","30"
"4101","1004","0","累積獲得33個★","100411","33","11","100400011","33"
"4101","1004","1","累積獲得36個★","100412","36","12","100400012","36"
