0410a359836ff245e0ce8275d8e7e545f7f4a9179269d502234f2028563be332,520e50bb14e48166841675e3dc900755bb6464f7652d6676e069b15690c38631,0ae645c834a9cccbb3db4c251a76a4559be02c5b18e6129a8b0e36281fa0db40,c8cb11116714d7e832e42a8e2382fb63fa9726af81e3f3b6ba0b480be35ec29d,55d2075448c96e765a371ba37a257e4155323d751b5368c0026172e8751c1420
"追加1隻闇影","追加吉塔的闇影。","add_shadow","74001102","1"
"追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow","74001103","2"
"闇影★6化","望的闇影變成★6。","star6_shadow","74001104","3"
"追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow","74001104","4"
"闇影★6化","望、吉塔、鏡華的闇影\n變成★6。","star6_shadow","74001105","5"
"追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","add_shadow","74001105","6"
"追加1隻闇影","追加優花梨的闇影。","add_shadow","74001202","7"
"追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow","74001203","8"
"闇影★6化","優花梨與優衣的闇影變成★6。","star6_shadow","74001204","9"
"追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow","74001204","10"
"闇影★6化","宮子、優花梨、真步、優衣的闇影變成★6。","star6_shadow","74001205","11"
"追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。","add_shadow","74001205","12"
"Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","boss_magic_cut","74001301","13"
"Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","boss_magic_cut","74001302","14"
"追加1隻闇影","追加靜流（夏日）的闇影。","add_shadow","74001302","15"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001303","16"
"Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","boss_magic_cut","74001303","17"
"追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow","74001303","18"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001304","19"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001304","20"
"Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","boss_magic_cut","74001304","21"
"追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow","74001304","22"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74001305","23"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001305","24"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001305","25"
"Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","boss_magic_cut","74001305","26"
"追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。","add_shadow","74001305","27"
"Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","boss_physics_cut","74001401","28"
"Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","boss_physics_cut","74001402","29"
"追加1隻闇影","追加空花（大江戶）的闇影。","add_shadow","74001402","30"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001403","31"
"Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","boss_physics_cut","74001403","32"
"追加2隻闇影","追加空花（大江戶）與似似花的闇影。","add_shadow","74001403","33"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001404","34"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001404","35"
"Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","boss_physics_cut","74001404","36"
"追加2隻闇影","追加空花（大江戶）與似似花的闇影。","add_shadow","74001404","37"
"戰鬥時間限制","戰鬥時間變成60秒。","limit_time","74001405","38"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001405","39"
"開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","energy_recover","74001405","40"
"Boss物理傷害降低","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","boss_physics_cut","74001405","41"
"追加2隻闇影","追加空花（大江戶）與似似花的闇影。","add_shadow","74001405","42"
"開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up","74001502","43"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74001503","44"
"開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up","74001503","45"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74001504","46"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001504","47"
"開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up","74001504","48"
"編組角色人數限制","可以編組的角色變成4個。","limit_chara_num","74001505","49"
"降低角色的最大HP","隊伍角色的最大HP降低20%。","max_hp_down","74001505","50"
"Boss UB強化","Boss怪物的必殺技會受到強化。","boss_ub_enhance","74001505","51"
"開始時提升攻擊力","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","boss_atk_up","74001505","52"
"追加1隻闇影","追加花凜的闇影。","add_shadow","74002102","53"
"強化闇影","對宮子、優花梨、步未的闇影追加專用裝備。","star6_shadow","74002103","54"
"追加1隻闇影","追加花凜的闇影。","add_shadow","74002103","55"
"強化闇影","宮子、優花梨、步未的闇影變成★6。","star6_shadow","74002104","56"
"追加1隻闇影","追加花凜的闇影。","add_shadow","74002104","57"
"提升闇影物理攻擊力","所有闇影的物理攻擊力大幅度提升。","boss_atk_up","74002105","58"
"強化闇影","宮子、優花梨、步未的闇影變成★6。","star6_shadow","74002105","59"
"追加1隻闇影","追加花凜的闇影。","add_shadow","74002105","60"
"追加1隻闇影","追加嘉夜（解放者）的闇影。","add_shadow","74002202","61"
"強化闇影","對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","star6_shadow","74002203","62"
"追加1隻闇影","追加嘉夜（解放者）的闇影。","add_shadow","74002203","63"
"強化闇影","深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","star6_shadow","74002204","64"
"追加1隻闇影","追加嘉夜（解放者）的闇影。","add_shadow","74002204","65"
"提升闇影魔法防禦力","所有闇影的魔法防禦力大幅度提升。","boss_magic_def_up","74002205","66"
"強化闇影","對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","star6_shadow","74002205","67"
