a51619a411abb4b29ab08ecafb328aeb01205e326d4824a4bd5c96f35f8fd007,cc3bb0eaaeadcb4d681211aeec35aaa088de5fc83dbebc67d04a3852ca549bd3,163265a2de3f108cd1dc2e7e22c63bb891e633b53c7c66b9912aaf33c580f8fc,820ce44e45da6e9c16a9191ca29f66c5dbff92df72373ecd84326c1809f7bfe9,ad3fe618e280340fd8622322a61e37667e7b0b0ea2f836f62c1869379694bb48,05e4bab3fe39ee34494c3c92a625604cc3692e42dbbb0262496eab3c4f218a81,f8233f69e785a14b87c64c6987391aa730bf1db7e35d7f45aefab54f4d5be086
"20036104","開幕式","10064","1006401","0","4","0"
"20036104","開幕式","10064","1006402","0","3","0"
"20036104","賽跑","10064","1006403","0","1","1006402"
"20036104","賽跑","10064","1006404","0","4","1006402"
"20036104","賽跑","10064","1006405","0","2","1006402"
"20036104","騎馬戰","10064","1006406","0","2","1006405"
"20036104","騎馬戰","10064","1006407","0","4","1006405"
"20036106","午休時間","10064","1006408","0","3","1006406"
"20036106","午休時間","10064","1006409","0","4","1006406"
"20036106","各種學術文化展覽","10064","1006410","0","3","1006408"
"20036106","各種學術文化展覽","10064","1006411","0","4","1006408"
"20036106","各種學術文化展覽","10064","1006412","0","1","1006408"
"20036108","女僕咖啡廳","10064","1006413","0","4","1006410"
"20036108","女僕咖啡廳","10064","1006414","0","3","1006410"
"20036113","綜合接力賽","10064","1006415","0","3","1006414"
"20036113","綜合接力賽","10064","1006416","0","4","1006414"
"0","頒獎典禮","10064","1006417","2003601","1","1006415"
"0","頒獎典禮","10064","1006418","2003601","4","1006415"
"0","頒獎典禮","10064","1006419","2003601","2","1006415"
"0","閉幕式","10064","1006420","2003601","3","1006419"
"0","閉幕式","10064","1006421","2003601","4","1006419"
"0","達成動畫","10064","1006422","2003601","4","1006420"
