39259eaa36ccce28df887ec287d21a305a7a013affcab8d4a648c27ce3649dd5,ed3071b79dbc32316e31a0a965de39aa44fa5257ca317c07edf43f9cf01a6ad8,102402b8e0d9dd670dbb03da745a45aff6d58ca3a7595bdd9866fb0d9c6578ed,6fd922b2cceb24686b9e5bb353daf536794065a2488a02340284d9ef91a994a3,807e8459fe487c61ed0cc821b6f1ab7bfe4d82537a32c31ac736efb140c60cfb,f35ca1b12e50ee61c247e685e04f51d7539002f9af073c165bb3636c149d6d3f,9b5f03bc2ed9f91efa997b7ade7cb21bf736c7c3517dd40b53f41c8f756e4bc2,3506b8d8b206c81d8abae0298dbd5c7b535e0293c0c8079834ae9e0933ad6d5e,be186078473d7776bbad00100809d2b9114170ddf4aee3705ef7355e68e299b0,9bbaa1e991e7306e06a0479c2517de56d1a060d998cb121648fb437e8b037965,7c24d0d8b3a844a436ab4ecb12b90328c6137325a785f785b6dd007895efd709,152df45706601108b5e61c11b2a1ce3bd374f28e8b0864ca339325dc51e802d0,5fa49d376f519e0ae19f64eae486ce5587a7954844990a9e80d7fcb8f6a5440f,e08f881cb4cf7b74f2f896dca261a9d10e1ad836602c69ea45ae5106c7658e79,c5ad77a6e7f6e253c000a8889a2efedc7487d5fbbb37769e6d3f11783bb0205e,ec69489e8f91f31854326b5fda502c43d0eb327b564e09dd949267edf8f44757,f8a0bdfc5d08fff528bb5ef13c5f342d6aba9db0e89914a44d7069cac5c1b6c7,df9b37579d25f8263ece9e279650c77f1cb1850a10e9eb94ddf2a30488432295,f26982fccfbb4129069a2e9db97fd88daa99e2b7d6b966e58dc49c9c142beb2f,c2510ba3635821789c1ef7a0b15f72add3d4bf99a68395f7485e27fd81fd9113,8947a9f659de68e22d04c555900799d8c4c9ec509c03d1488ad2053376479c9e,c71d6f5eb95eb50309cc4ec513c6cec70be313206a786042facfa79837765693,a7b785f99eebfa55fbe32d115703678656af12e67b695ec37c01563ecf294860,cf9336661069daf2959a4b8ec5800655ab4a08e650de6ac422d098ede2ad98cf,dbabc424034e6b39dd6d7b4fe9075ab135ade1bea3cd0f9a1a54a697c262ce01,ad95fc6c9cc49200629447b8b40e6fa45389c6efac84046ba2724179c028d321,8db03ccf16a2b9b46798f5dbcfff27e63c2679462ae52e0411e5140419e5fb9f
"0","0","0","請看活動劇情前篇第3話。","2500","8008","2","0","0","1","94002","5","0","20002","12","1","23001","10001","0","6001","0","2","5","0","5035003","10062","0"
"0","0","0","請看活動劇情前篇的結局。","5000","8008","2","0","0","1","94002","5","0","20002","12","1","23001","10002","0","6001","0","2","5","0","5035005","10062","0"
"0","0","0","請通關3次活動前篇的HARD冒險1-1。","7500","9004","2","0","0","1","94002","5","0","20002","12","3","23001","10003","0","6005","0","2","5","0","10062201","10062","0"
"0","0","0","請打倒3次活動前篇的HARD Boss。","50","9011","2","0","0","1","91002","5","0","31126","8","3","20002","10004","0","6007","0","2","1","0","1006202","10062","0"
"0","0","0","請看活動劇情後篇第1話。","10000","8008","2","0","0","2","94002","5","0","20002","12","1","23001","20001","0","6003","0","2","10","0","5036001","10063","0"
"0","0","0","請重置1次討伐證交換。","12500","9006","2","0","0","2","94002","5","0","20002","12","1","23001","20002","0","6002","0","2","10","0","0","10063","0"
"0","0","0","請通關3次活動後篇的HARD冒險1-1。","15000","9004","2","0","0","2","94002","5","0","20002","12","3","23001","20003","0","6005","0","2","10","0","10063201","10063","0"
"0","0","0","請打倒3次活動後篇的HARD Boss。","75","9011","2","0","0","2","91002","10","0","31126","8","3","20002","20004","0","6007","0","2","2","0","1006302","10063","0"
"0","0","0","請看活動劇情後篇第3話。","17500","8008","2","0","0","3","94002","5","0","20003","12","1","23001","30001","0","6003","0","2","10","0","5036003","10063","0"
"0","0","0","請將未央（NGs）的★提升到2。","20000","6011","2","0","0","3","94002","5","0","20003","12","2","23001","30002","0","501","0","2","10","0","112601","0","0"
"0","0","0","請重置3次討伐證交換。","22500","9006","2","0","0","3","94002","5","0","20003","12","3","23001","30003","0","6002","0","2","10","0","0","10063","0"
"0","0","0","請將未央（NGs）編入隊伍，打倒活動後篇的HARD Boss。","100","10000","2","0","0","3","91002","5","0","31126","8","1","20003","30004","1","6007","0","2","2","0","1006302","10063","112601"
"0","0","0","請看活動劇情後篇的結局。","25000","8008","2","0","0","4","94002","5","0","20004","12","1","23001","40001","0","6003","0","2","15","0","5036005","10063","0"
"0","0","0","請重置5次討伐證交換。","27500","9006","2","0","0","4","94002","5","0","20004","12","5","23001","40002","0","6002","0","2","15","0","0","10063","0"
"0","0","0","請打倒活動前篇的VERY HARD Boss。","30000","9011","2","0","0","4","94002","5","0","20004","12","1","23001","40003","0","6010","0","2","20","0","1006203","10062","0"
"0","0","0","請打倒活動後篇的VERY HARD Boss。","125","9011","2","0","0","4","91002","20","0","31126","8","1","20004","40004","0","6010","0","2","4","0","1006303","10063","0"
