714b50524e86e3b0b8583bbd71e08fbbba36279e3a7567d290613035788d71dc,ca04c02da68710fe7f3ad68950d49072ca4a46aa80f10130064c3644ccb01a23,e3e1cbd31d434b151b4271581b3c4c839aed6dba76fac57e0b200e9a2b148daa,bf6ff8c86b100aea249c9ddcf3fedc7ff9f62f34ce3c33583d28bedf0175fbf7,04370ab02b585dbee8ec45ec305fe3ccdd543118b1c111197b2308af7472ee14,9aec366a6185d13931157010ec80f8e9325b585e093eb345e15e094c8a1d24ac,f4c9a2aa8629f860a1d1d291cbaf5b66743517ee18012955582e1635e062a386,6d92f81f990040aeb92581d0451ce839394e5f03e1f1ff7eaccb377feddc83aa
"1005","1005","2","0","1005","0","TP提升250","戰鬥開始時，我方的TP提升250。"
"1006","1006","2","0","1006","0","TP提升250","戰鬥開始時，我方的TP提升250。"
"1007","1007","2","0","1007","0","TP提升250","戰鬥開始時，我方的TP提升250。"
"1008","1008","2","0","1008","0","TP提升250","戰鬥開始時，我方的TP提升250。"
"100501","1005","1","7469000000000","100501","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100502","1005","1","7161000000000","100502","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100503","1005","1","6930000000000","100503","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100504","1005","1","6699000000000","100504","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100505","1005","1","6468000000000","100505","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100506","1005","1","6160000000000","100506","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100507","1005","1","5929000000000","100507","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100508","1005","1","5698000000000","100508","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100509","1005","1","5390000000000","100509","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100510","1005","1","5159000000000","100510","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100511","1005","1","4928000000000","100511","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100512","1005","1","4620000000000","100512","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100513","1005","1","4389000000000","100513","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100514","1005","1","4158000000000","100514","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100515","1005","1","3927000000000","100515","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100516","1005","1","3619000000000","100516","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100517","1005","1","3388000000000","100517","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100518","1005","1","3157000000000","100518","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100519","1005","1","2849000000000","100519","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100520","1005","1","2618000000000","100520","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100521","1005","1","2387000000000","100521","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100522","1005","1","2079000000000","100522","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100523","1005","1","1848000000000","100523","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100524","1005","1","1617000000000","100524","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100525","1005","1","1386000000000","100525","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100526","1005","1","1078000000000","100526","36000","TP提升150","戰鬥開始時，我方的TP提升150。"
"100527","1005","1","847000000000","100527","36000","無敵10秒","戰鬥開始10秒內，我方進入無敵狀態。"
"100528","1005","1","616000000000","100528","36000","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。"
"100529","1005","1","308000000000","100529","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100530","1005","1","77000000000","100530","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
"100601","1006","1","12028000000000","100601","36000","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。"
"100602","1006","1","11532000000000","100602","36000","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。"
"100603","1006","1","11160000000000","100603","36000","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。"
"100604","1006","1","10788000000000","100604","36000","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。"
