026f7e1f0428a7e0e9d27692676ac43eb8155c8257ba334027d40498189b7c19,35dc6bfd43e4377234047e2a8cd12b5514e69ce46c65b60c1287a626a4019a37,b5e049310797f5ccf69c45ee9cdf20e51cebb9d78cbb2fa23caac89de6fe1cca
"與香織的海邊特訓！","1003","5021700"
"始於禮而止於禮","1003","5021701"
"挑戰自己的極限","1003","5021710"
"真的才是最棒的","1003","5021711"
"再次前往艾爾皮斯島！","1004","5027700"
"過熱的戰鬥","1004","5027701"
"真打登場","1004","5027702"
"戰鬥的結果……","1004","5027703"
"朝向更高處邁進！","1004","5027704"
"看守起司！","1005","5040700"
"與小小敵人之間的攻防戰","1005","5040701"
"起司的誘惑","1005","5040702"
"萌生愛意？","1005","5040703"
"勞動會持續到天長地久","1005","5040704"
"通往究極之路","1008","5080700"
"布丁會持續到天長地久","1008","5080701"
"不會結束的假期","1010","5096700"
"競爭、互相理解的羈絆","1010","5096701"
"教教我吧，凱留老師","1012","5126700"
"酸酸甜甜的是誰害的？","1012","5126701"
"最討厭讀書……？","1012","5126702"
"鉛筆100支份的青春","1012","5126703"
"會讀書的女生！","1012","5126710"
"效果驚人到笑出來","1012","5126711"
"熟能生巧？","1012","5126712"
"解不開的不可思議","1012","5126713"
"以更高的境界為目標","1013","5142700"
"挑戰極限","1013","5142701"
"美好的友情","1013","5142702"
"戰車戰鬥大會，開幕！","1014","5156700"
"無限持續的戰鬥跑道","1014","5156701"
"團結一致以答對為目標！","1009","9004201"
