3cd016456b460bf4e03acdfc4f02675bb92cee30afce75eaabed2ed6daaeac22,a7056cd85c2a17d7030ae74fbf232115ee643b2d83786d2a8834949900051962,342eb5a58419e95486fac5983b3bfabf8363731d5549b1e56ec615b889327963,922a8c416ae5de1059c38c4f37b5cf91b2e634c3cc801deefb9454d11b9569e0,74dcac37523e918c2d60119e2843889be97bd427e259206221aac938dcd94b18
"60002","5","2","61001001","10001001"
"60002","5","2","61001002","10001002"
"91002","30","8","71001001","10001003"
"22002","1","2","71001001","10001004"
"91002","30","8","71001002","10001005"
"22002","1","2","71001002","10001006"
"91002","30","8","71001003","10001007"
"22002","1","2","71001003","10001008"
"91002","30","8","71001004","10001009"
"22002","1","2","71001004","10001010"
"91002","30","8","71001005","10001011"
"22002","1","2","71001005","10001012"
"91002","30","8","71001006","10001013"
"22002","1","2","71001006","10001014"
"91002","30","8","71001007","10001015"
"22002","1","2","71001007","10001016"
"91002","30","8","71001008","10001017"
"22002","1","2","71001008","10001018"
"91002","30","8","71001009","10001019"
"22002","1","2","71001009","10001020"
"91002","30","8","71001010","10001021"
"22002","1","2","71001010","10001022"
"91002","30","8","71001011","10001023"
"22002","1","2","71001011","10001024"
"91002","30","8","71001012","10001025"
"22002","1","2","71001012","10001026"
"91002","30","8","71001013","10001027"
"22002","1","2","71001013","10001028"
"91002","30","8","71001014","10001029"
"22002","1","2","71001014","10001030"
"91002","30","8","71001015","10001031"
"22002","1","2","71001015","10001032"
"91002","60","8","71001016","10001033"
"22002","2","2","71001016","10001034"
"91002","60","8","71001017","10001035"
"22002","2","2","71001017","10001036"
"91002","60","8","71001018","10001037"
"22002","2","2","71001018","10001038"
"91002","60","8","71001019","10001039"
"22002","2","2","71001019","10001040"
"91002","60","8","71001020","10001041"
"22002","2","2","71001020","10001042"
"94002","50000","12","71001021","10001043"
"94002","100000","12","71001022","10001044"
"94002","150000","12","71001023","10001045"
"94002","200000","12","71001024","10001046"
"31038","2","2","71001025","10001047"
"31012","2","2","71001026","10001048"
"31038","3","2","71001027","10001049"
"31012","3","2","71001028","10001050"
"31038","5","2","71001029","10001051"
"31012","5","2","71001030","10001052"
"60012","5","2","61002001","10002001"
"60012","5","2","61002002","10002002"
"91002","30","8","71002001","10002003"
"22002","1","2","71002001","10002004"
"91002","30","8","71002002","10002005"
"22002","1","2","71002002","10002006"
"91002","30","8","71002003","10002007"
"22002","1","2","71002003","10002008"
"91002","30","8","71002004","10002009"
"22002","1","2","71002004","10002010"
"91002","30","8","71002005","10002011"
"22002","1","2","71002005","10002012"
"91002","30","8","71002006","10002013"
"22002","1","2","71002006","10002014"
"91002","30","8","71002007","10002015"
"22002","1","2","71002007","10002016"
"91002","30","8","71002008","10002017"
"22002","1","2","71002008","10002018"
"91002","30","8","71002009","10002019"
"22002","1","2","71002009","10002020"
"91002","30","8","71002010","10002021"
"22002","1","2","71002010","10002022"
"91002","30","8","71002011","10002023"
"22002","1","2","71002011","10002024"
"91002","30","8","71002012","10002025"
"22002","1","2","71002012","10002026"
"91002","30","8","71002013","10002027"
"22002","1","2","71002013","10002028"
"91002","30","8","71002014","10002029"
"22002","1","2","71002014","10002030"
"91002","30","8","71002015","10002031"
"22002","1","2","71002015","10002032"
"91002","60","8","71002016","10002033"
"22002","2","2","71002016","10002034"
"91002","60","8","71002017","10002035"
"22002","2","2","71002017","10002036"
"91002","60","8","71002018","10002037"
"22002","2","2","71002018","10002038"
"91002","60","8","71002019","10002039"
"22002","2","2","71002019","10002040"
"91002","60","8","71002020","10002041"
"22002","2","2","71002020","10002042"
"94002","50000","12","71002021","10002043"
"94002","100000","12","71002022","10002044"
"94002","150000","12","71002023","10002045"
"94002","200000","12","71002024","10002046"
"31004","2","2","71002025","10002047"
"31020","2","2","71002026","10002048"
"31004","3","2","71002027","10002049"
"31020","3","2","71002028","10002050"
"31004","5","2","71002029","10002051"
"31020","5","2","71002030","10002052"
"60022","5","2","61003001","10003001"
"60022","5","2","61003002","10003002"
"91002","30","8","71003001","10003003"
"22002","1","2","71003001","10003004"
"91002","30","8","71003002","10003005"
"22002","1","2","71003002","10003006"
"91002","30","8","71003003","10003007"
"22002","1","2","71003003","10003008"
"91002","30","8","71003004","10003009"
"22002","1","2","71003004","10003010"
"91002","30","8","71003005","10003011"
"22002","1","2","71003005","10003012"
"91002","30","8","71003006","10003013"
"22002","1","2","71003006","10003014"
"91002","30","8","71003007","10003015"
"22002","1","2","71003007","10003016"
"91002","30","8","71003008","10003017"
"22002","1","2","71003008","10003018"
"91002","30","8","71003009","10003019"
"22002","1","2","71003009","10003020"
"91002","30","8","71003010","10003021"
"22002","1","2","71003010","10003022"
"91002","30","8","71003011","10003023"
"22002","1","2","71003011","10003024"
"91002","30","8","71003012","10003025"
"22002","1","2","71003012","10003026"
"91002","30","8","71003013","10003027"
"22002","1","2","71003013","10003028"
"91002","30","8","71003014","10003029"
"22002","1","2","71003014","10003030"
"91002","30","8","71003015","10003031"
"22002","1","2","71003015","10003032"
"91002","60","8","71003016","10003033"
"22002","2","2","71003016","10003034"
"91002","60","8","71003017","10003035"
"22002","2","2","71003017","10003036"
"91002","60","8","71003018","10003037"
"22002","2","2","71003018","10003038"
"91002","60","8","71003019","10003039"
"22002","2","2","71003019","10003040"
"91002","60","8","71003020","10003041"
"22002","2","2","71003020","10003042"
"94002","50000","12","71003021","10003043"
"94002","100000","12","71003022","10003044"
"94002","150000","12","71003023","10003045"
"94002","200000","12","71003024","10003046"
"31017","2","2","71003025","10003047"
"31010","2","2","71003026","10003048"
"31017","3","2","71003027","10003049"
"31010","3","2","71003028","10003050"
"31017","5","2","71003029","10003051"
"31010","5","2","71003030","10003052"
"60032","5","2","61004001","10004001"
"60032","5","2","61004002","10004002"
"91002","30","8","71004001","10004003"
"22002","1","2","71004001","10004004"
"91002","30","8","71004002","10004005"
"22002","1","2","71004002","10004006"
"91002","30","8","71004003","10004007"
"22002","1","2","71004003","10004008"
"91002","30","8","71004004","10004009"
"22002","1","2","71004004","10004010"
"91002","30","8","71004005","10004011"
"22002","1","2","71004005","10004012"
"91002","30","8","71004006","10004013"
"22002","1","2","71004006","10004014"
"91002","30","8","71004007","10004015"
"22002","1","2","71004007","10004016"
"91002","30","8","71004008","10004017"
"22002","1","2","71004008","10004018"
"91002","30","8","71004009","10004019"
"22002","1","2","71004009","10004020"
"91002","30","8","71004010","10004021"
"22002","1","2","71004010","10004022"
"91002","30","8","71004011","10004023"
"22002","1","2","71004011","10004024"
"91002","30","8","71004012","10004025"
"22002","1","2","71004012","10004026"
"91002","30","8","71004013","10004027"
"22002","1","2","71004013","10004028"
"91002","30","8","71004014","10004029"
"22002","1","2","71004014","10004030"
"91002","30","8","71004015","10004031"
"22002","1","2","71004015","10004032"
"91002","60","8","71004016","10004033"
"22002","2","2","71004016","10004034"
"91002","60","8","71004017","10004035"
"22002","2","2","71004017","10004036"
"91002","60","8","71004018","10004037"
"22002","2","2","71004018","10004038"
"91002","60","8","71004019","10004039"
