3cd0c3f223960458b6275ab7c760b8f7160980722022f63c66251ad927a5e0a4,feface8dbdb19c232ee25f93945225745d02cd2c0335accf74ac21930e61600c,c7f301c06fa74d522d382af9729adbdde17667a3d9c9d45047c7eb73941c7f1a,3362761195bda079aa418ac91f7b9e5f39b2a4201c863a1144d6612d8b0eecc0,421db5553773498b34a55c5b4656e136a0efd95526ca0a1cff89ee9e754e44dd
"0","0","1","0","0"
"0","0","2","0","0"
"0","0","3","0","0"
"2","0","4","0","0"
"2","0","5","0","0"
"2","0","6","0","0"
"3","0","7","0","0"
"3","0","8","0","0"
"3","0","9","0","0"
"4","0","10","0","0"
"4","0","11","0","0"
"4","0","12","0","0"
"0","0","13","0","0"
"0","0","14","0","0"
"0","0","15","0","0"
"0","0","16","2","0"
"0","0","17","2","0"
"0","0","18","2","0"
"0","0","19","3","0"
"0","0","20","3","0"
"0","0","21","3","0"
"3","0","22","0","0"
"3","0","23","0","0"
"2","0","24","0","0"
"2","0","25","0","0"
"0","0","26","2","0"
"0","0","27","2","0"
"2","0","28","0","3"
"2","0","29","0","3"
"3","0","30","2","0"
"3","0","31","2","0"
"3","0","32","3","0"
"0","0","33","3","0"
"3","0","34","0","4"
"0","0","35","0","0"
"2","0","36","2","0"
"2","0","37","2","0"
"4","0","38","3","0"
