9b3a3f3c727b48d86c2c2f20e96e4263ad9aec9c644020e6933b2944eee09853,909196a8b3246ff392cfaf1655e6cd31c5e20fb57f1d9577e2f307d37e45ca74,612422afed69a7202f291c1699d8e010b47f59f43566c4ed630d584381066b6a,1e4521ef2d2fa900bf758e80d4ecc75114e3503a99b59b2da0635bbdbb71ef43,7494f0616aa13579af29b466f81dce3da93cddc3c99de7e66dbb81750a5194a7,84644a6ee08f19d77532893523ec6745a7932b29fd7211abedd39dd518c89677
"803100263","212","2146041","1","3001","211"
"803100263","212","2146042","1","3002","211"
"803100263","212","2146043","1","3003","211"
"803100263","212","2146044","1","3004","211"
"803100272","212","2147041","1","3006","213"
"803100272","212","2147042","1","3007","213"
"803100253","313","2145039","1","30011","202"
"803100253","302","2145040","0","30012","105"
"803100256","311","2145069","1","30021","204"
"803100256","312","2145070","1","30022","205"
"803100259","310","2145099","1","30031","212"
"803100259","301","2145100","0","30032","107"
"803100262","307","2146039","0","30041","110"
"803100262","302","2146040","0","30042","105"
"803100267","314","2146081","1","30051","203"
"803100269","312","2147019","1","30061","205"
"803100269","303","2147020","0","30062","106"
"803100271","313","2147039","1","30071","202"
"803100271","310","2147040","1","30072","212"
"803100251","100","2145011","0","300101","104"
"803100251","100","2145012","0","300102","104"
"803100251","102","2145013","0","300103","105"
"803100251","100","2145014","0","300104","104"
"803100251","102","2145015","0","300105","105"
"803100251","103","2145016","0","300106","106"
"803100251","102","2145017","0","300107","105"
"803100251","103","2145018","0","300108","106"
"803100251","111","2145019","1","300109","204"
"803100251","100","2145020","0","300110","104"
"803100252","100","2145021","0","300111","104"
"803100252","102","2145022","0","300112","105"
"803100252","100","2145023","0","300113","104"
"803100252","102","2145024","0","300114","105"
"803100252","103","2145025","0","300115","106"
"803100252","102","2145026","0","300116","105"
"803100252","103","2145027","0","300117","106"
"803100252","111","2145028","1","300118","204"
"803100252","100","2145029","0","300119","104"
"803100252","100","2145030","0","300120","104"
"803100253","102","2145031","0","300121","105"
"803100253","100","2145032","0","300122","104"
"803100253","102","2145033","0","300123","105"
"803100253","112","2145034","1","300124","208"
"803100253","110","2145035","1","300125","212"
"803100253","100","2145036","0","300126","104"
"803100253","102","2145037","0","300127","105"
"803100253","103","2145038","0","300128","106"
"803100254","101","2145041","0","300201","107"
"803100254","101","2145042","0","300202","107"
"803100254","102","2145043","0","300203","105"
"803100254","103","2145044","0","300204","106"
"803100254","113","2145045","1","300205","202"
"803100254","114","2145046","1","300206","203"
"803100254","101","2145047","0","300207","107"
"803100254","113","2145048","1","300208","202"
"803100254","114","2145049","1","300209","203"
"803100254","101","2145050","0","300210","107"
"803100255","101","2145051","0","300211","107"
"803100255","102","2145052","0","300212","105"
"803100255","103","2145053","0","300213","106"
"803100255","113","2145054","1","300214","202"
"803100255","114","2145055","1","300215","203"
"803100255","101","2145056","0","300216","107"
"803100255","113","2145057","1","300217","202"
"803100255","114","2145058","1","300218","203"
"803100255","101","2145059","0","300219","107"
"803100255","101","2145060","0","300220","107"
"803100256","102","2145061","0","300221","105"
"803100256","103","2145062","0","300222","106"
"803100256","101","2145063","0","300223","107"
"803100256","112","2145064","1","300224","208"
"803100256","110","2145065","1","300225","212"
"803100256","102","2145066","0","300226","105"
"803100256","103","2145067","0","300227","106"
"803100256","101","2145068","0","300228","107"
"803100257","100","2145071","0","300301","104"
"803100257","101","2145072","0","300302","107"
"803100257","101","2145073","0","300303","107"
"803100257","113","2145074","1","300304","202"
"803100257","114","2145075","1","300305","203"
