5ba5cd052cfe5c36b310a5b71d182625667717bdb1942172b6fd61bcf2780899,482de1e848a789d6bcbc73bfcd27ccd1a5d50f8848bd23b802b8d2c41ad40c2c,f5711d549cd558b6becd4a6187093c33f7678cc4d8f7813cc7e86ae4ad91392b,275277b7f8b5a94a29237e71cd22e17e8e66e64eb1cc88ffde4240a4fca086e2,5328206eacb24890d4415408ecadc7ab187ac29211ff59d240f347dd03425b9d,78d1b7141c30bdd01963dfe8b77e361456df69a958e8b54a0edbc9050f39ce53,6c961d24476bb8c42b0985fd378943a3924a7e0ada382a43e3a726ff0163f181
"924070102","924070104","924070100","2407001","924070101","924070105","924070103"
"924070202","924070204","924070200","2407002","924070201","924070205","924070203"
"924070302","924070304","924070300","2407003","924070301","924070305","924070303"
"0","0","924071100","2407004","924071101","0","0"
"0","0","924071200","2407005","924071201","0","0"
"0","0","924071300","2407006","924071301","0","0"
"0","0","924071400","2407007","924071401","0","0"
"0","0","924072100","2407008","924072101","0","0"
"0","0","924072200","2407009","924072201","0","0"
"0","0","924072300","2407010","924072301","0","0"
"0","0","924072400","2407011","924072401","0","0"
"0","0","924073100","2407012","924073101","0","0"
"0","0","924073200","2407013","924073201","0","0"
"0","0","924073300","2407014","924073301","0","0"
"0","0","924073400","2407015","924073401","0","0"
"924080102","924080104","924080100","2408001","924080101","924080105","924080103"
"924080202","924080204","924080200","2408002","924080201","924080205","924080203"
"924080302","924080304","924080300","2408003","924080301","924080305","924080303"
"0","0","924081100","2408004","924081101","0","0"
"0","0","924081200","2408005","924081201","0","0"
"0","0","924081300","2408006","924081301","0","0"
"0","0","924081400","2408007","924081401","0","0"
"0","0","924082100","2408008","924082101","0","0"
"0","0","924082200","2408009","924082201","0","0"
"0","0","924082300","2408010","924082301","0","0"
"0","0","924082400","2408011","924082401","0","0"
"0","0","924083100","2408012","924083101","0","0"
"0","0","924083200","2408013","924083201","0","0"
"0","0","924083300","2408014","924083301","0","0"
"0","0","924083400","2408015","924083401","0","0"
"924090102","924090104","924090100","2409001","924090101","924090105","924090103"
"924090202","924090204","924090200","2409002","924090201","924090205","924090203"
"924090302","924090304","924090300","2409003","924090301","924090305","924090303"
"0","0","924091100","2409004","924091101","0","0"
"0","0","924091200","2409005","924091201","0","0"
"0","0","924091300","2409006","924091301","0","0"
"0","0","924091400","2409007","924091401","0","0"
"0","0","924092100","2409008","924092101","0","0"
"0","0","924092200","2409009","924092201","0","0"
"0","0","924092300","2409010","924092301","0","0"
"0","0","924092400","2409011","924092401","0","0"
"0","0","924093100","2409012","924093101","0","0"
"0","0","924093200","2409013","924093201","0","0"
"0","0","924093300","2409014","924093301","0","0"
"0","0","924093400","2409015","924093401","0","0"
