856370618b5edc05341cc17cd1b7db6d9a155e6353243cd867a34478a15c5ae8,f05cd18153a2deee27055eb67f2b9ef8d041bfafacb61d9e266d7f7cc2b834a0,48a090cf69fc9cf30b6beaa363e4c5f02de7edc50291bccbeecb6966260cc210,7169bc9167cf9ae35e60bba8a78498686728dd211046220fa5a1af8d3d511e83,f95475c89cb630c6f3f1e7b460e930f10f822b4e294dbd461d3fd5b22325c984,088f8ec2565645a5b2cc953596fe380fa61d3322cdeee65fb680bbfeb04e78da,a96688a877d802a45d73f70bc7ddce97a35a191fe8a4771052a8ac2e60380a93,5e8b3b31bee866ed7a92aa3ddcfd9d29dd1a2918137b26916083dbaea4af00ab
"1.朱諾平原","bgm_M61","1.朱諾平原","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61","11001"
"2.帕拉斯高原","bgm_M61_02","2.帕拉斯高原","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61","11002"
"3.赫柏丘陵","bgm_M61_03","3.赫柏丘陵","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61","11003"
"4.維斯塔溪谷","bgm_M61_04","4.維斯塔溪谷","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61","11004"
"5.刻瑞斯森林","bgm_M62_01","5.刻瑞斯森林","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62","11005"
"6.佛洛拉湖畔","bgm_M62_02","6.佛洛拉湖畔","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62","11006"
"7.墨提斯大瀑布","bgm_M62_03","7.墨提斯大瀑布","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62","11007"
"8.伊麗絲樹海","bgm_M42_02","8.伊麗絲樹海","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M42","11008"
"9.弗麗嘉雪原","bgm_M58","9.弗麗嘉雪原","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M58","11009"
"10.洛麗泰海岸","bgm_M101","10.洛麗泰海岸","2018/10/05 16:00:00","101","2030/12/17 14:59:59","bgm_M101","11010"
"11.蓋奴亞荒漠","bgm_M93","11.蓋奴亞荒漠","2018/11/07 16:00:00","101","2030/12/17 14:59:59","bgm_M93","11011"
