cbff4b449a35a0cd7ff23497557d11206a26c9414336e0377533ae9cb05407ab,2d9fdc0d002ff8bc42ad294d6b39bf7fec7a56c96073c305138dce2f2a0f8bd6,997d7b8d875f5b323047f2496a3cf9f800e1c6479e93930eab0e936efd1fe91d,301b7c0f0df47e1e0da51249f247c505bb0983a0df556b7a2c201309dfcc7b5e,ea8c1bbb77387e0e62d61fe2936f19cc100d8bb28e49c36eb51c058059fa662e,8643209b94ae856064886883545052ed000780630f9b87d371f49e6fad3166f2,37a6b3a4a514717e72f248d31c79df65da492b374f7c155845c6a5fd45f0f86f,a92e47cdb2e91e22ce9c943dfb5e263f3a0be09b6ae10499033a9a6c92b60b0e,bfe688008c141f00a86c291335eb5de62fac868e963a3ea28116c42cbe30960d,bbcc0dd2194b8c82b7db91bcba1f9ccdd0a8a17cdf6dfb67b0a13d0b775a08f7,a607b440e7f1fbb3f89c5a50150733e704bb123bd1d98e7fdb04fa61d28e576f
"idle_normal","1.4","1","1","-103","100","1","1001","5","-216","1"
"","0","13","1","1","-57","13","1002","31","-140",""
"","0","14","1","1","-57","14","1003","31","-140",""
"","","0","1","","","0","1004","91","",""
"","0.2","1","1","1","0","top_luis_arm_crossed_in","1005","3","top_luis_arm_crossed_idle","0"
"","","4","1","","","0","1006","93","",""
"","0.2","1","1","1","0","top_luis_approach_in","1007","3","top_luis_approach_idle","0"
"","","3.5","1","","","0","1008","93","",""
"","0.2","1","1","","1","top_luis_thinking","1009","3","",""
"","","3.5","1","","","0","1010","93","",""
"","0.2","1","1","","1","top_luis_walk_think","1011","3","",""
"","","1","1","0","-103","-495","1012","2","2",""
"","","2","1","","","0","1013","93","",""
"","","1","1","","","0","1014","4","",""
"","","1","1","0","-103","-216","1015","2","2",""
"","","2","1","","","0","1016","93","",""
"","0","1","1","","1","top_luis_notice","1017","3","",""
"","","1","1","","","0","1018","93","",""
"","0.2","1","1","","1","top_luis_walk_jog","1019","3","",""
"","","1","1","0","-130","-100","1020","2","0.5",""
"","","0.5","1","","","0","1021","93","",""
"","","1","1","","","1","1022","4","",""
"","0.2","1","1","1","0","top_luis_sit_in","1023","3","top_luis_sit_idle","0"
"","","0.1","1","","","0","1024","93","",""
"","","1","1","0","-140","-57","1025","2","0.4",""
"","","1","1","","","0","1026","93","",""
"","0.2","1","1","","0","top_luis_experiment_failer_in","1027","3","",""
"","","2.3","1","","","0","1028","93","",""
"","0.1","1","1","","0","top_luis_experiment_failer_mix","1029","3","",""
"","","2.7","1","","","0","1030","93","",""
"","","13","1","","","1","1031","32","",""
"","0.1","1","1","","0","top_luis_experiment_failer_burst","1032","3","",""
"","","2.7","1","","","0","1033","93","",""
"","0.1","1","1","","0","top_luis_experiment_failer_out","1034","3","",""
"","","1.1","1","","","0","1035","93","",""
"","0.2","1","1","1","0","top_luis_sit_out","1036","3","idle_normal","0"
"","","1","1","0","-130","-100","1037","2","0.3",""
"","","1","1","","","0","1038","93","",""
"","0.2","1","1","","0","walk_normal","1039","3","",""
"","","1","1","0","-103","-216","1040","2","1",""
"","","1","1","","","0","1041","93","",""
"","0.1","1","1","","0","idle_normal","1042","3","",""
"","","0.8","1","","","0","1043","93","",""
"","","13","1","","","0","1044","32","",""
"","0.2","1","1","1","0","top_luis_arm_crossed_in","1045","3","top_luis_arm_crossed_idle","0"
"","","4","1","","","0","1046","93","",""
"","0.2","1","1","1","0","top_luis_approach_in","1047","3","top_luis_approach_idle","0"
"","","3.5","1","","","0","1048","93","",""
"","0.2","1","1","","1","top_luis_thinking","1049","3","",""
"","","3.5","1","","","0","1050","93","",""
"","0.2","1","1","","1","top_luis_walk_think","1051","3","",""
"","","1","1","0","-103","-495","1052","2","2",""
"","","2","1","","","0","1053","93","",""
"","","1","1","","","0","1054","4","",""
