be4d9172bbbdfe7f4d224643ed03f03ab5f4775bc8287e5008891bf2ff169ad2,446ce388a81510a4fedf03d91504fecde96575406e45b87de92a44d20b2575d1,759968bd47a20e7e09c10ca96b0b7672913af13ba7e966179667d8a3275777c2,977f89463c0b1d4b3e2b1900a29827ebd6b7e7d9a7e73d09f70f3ee37181aabc,2a3990e55addd69201f3cd01ec8aca4c68ae112afceb407822ce2f0fbf7fcbc0,057b87eb601e4613a977f226e0ef37ce1ee57f25587667fad89e1d1fbc4023c2,4e2b5c1495be9bd0322d2e9db3148aa1f152f0c32c75fa69cf7836887f079e4b,4527141f5513cade0e15a13cca519a3e602f58cecf38ac2bb5cd11cf972d5e5c,25bb8aea2a5171cc19c26030d4be76904943f01f1268727f6e863450f43fef3c,a678e274d8f42fc5c2d79d6a5802e06e04efeb676316f7c43439c47abdc9d264,0eda8984f72a9c2651c3186753150cb8093c3d080a228ad28767f1bf0d84f001,a71c9a5c5e510f55e81380aac255c11c5c1ba828d5c1cb01a2d543173001abc3,8b55da23c81f43ee6604870eac831a0518fd4cf47db36026db5c83bdc53a6771,71f73e9aab4dd48c7ad2c49db48291b17a5ad39df065ecb5ab1991e856b8c77f,2c923575ae375020b085c72f7a34e3760bf90c7cd37df160d114471aacd826a3,a86473f2c31087c06f1bfec1b773d5da2dbf4080903243f64ed2ea95cbda164d
"0","101","1","5","103","0","1","0","0","1","10016","1","0","102","104","105"
"0","201","2","2","203","0","2","0","1","1","10021","2","0","202","204","205"
"0","301","5","5","303","0","2","0","1","1","10053","3","0","302","304","305"
"0","401","4","8","403","0","2","0","1","1","10044","4","0","402","404","405"
"0","501","4","2","503","0","3","0","2","1","10042","5","0","502","504","505"
"0","601","2","5","603","0","3","0","3","1","10024","6","0","602","604","605"
"0","701","1","8","703","0","3","0","4","1","10015","7","0","702","704","705"
"0","801","101","2","0","0","4","0","5","1","11012","8","0","0","0","0"
"0","901","2","5","903","0","4","0","6","1","10023","9","0","902","904","905"
"0","1001","101","8","0","0","4","0","7","1","11011","10","0","0","0","0"
"0","1101","5","2","1103","0","5","0","8","1","10052","11","0","1102","1104","1105"
"0","1201","4","5","1203","0","5","0","9","1","10045","12","0","1202","1204","1205"
"0","1301","2","8","1303","0","5","0","10","1","10021","13","0","1302","1304","1305"
"0","1401","1","2","1403","0","6","0","11","1","10013","14","0","1402","1404","1405"
"0","1501","5","5","1503","0","6","0","12","1","10054","15","0","1502","1504","1505"
"0","1601","101","8","0","0","6","0","13","1","11015","16","0","0","0","0"
"0","1701","100","2","0","0","7","0","14","1","11002","17","0","0","0","0"
"0","1801","4","5","1803","0","7","0","15","1","10043","18","0","1802","1804","1805"
"0","1901","3","8","1903","0","7","16","16","1","10034","19","0","1902","1904","1905"
