d2b563cebef326e826c606206eead77394abe2a870af6d1a31fb7ac3ef240df2,b8756c6c28559c7200f00692f74a788a24348daf0be221f67bf1120dd0255b15,c41f7161e01234d1b93d6fa312b17d48af6c2e4ff79b24439e4956eeeab90fed,6ac63d55f337d7ae95d63644665a856013dd0e9bb59532d393c2adff8207f6d9,07534f68f4597f7b49f681a93ab810af8caf60c018b971c3b69c37227076be8f,d9232be430211965f36c4d5711c3cd18d66860d84cef9b50558c7be1524460af,fe57d4fba09391b1335ff3b1cc38901fc0ca83095f8b77dd0868d22f2dfb26f1,3d9f6f44963f0b9b6d36ad5064407f7ab36add7f4ef182432af83a24d7a84fe2,fedf9f448698cc18fe523b4ec9bd74bc474e1acd224e37917de4cee295cd8b4d,cc06764deb5f02b9dc8a2b4f2fcc9f05afaf50c9768ce06b1f1fedbc8eb6ba1d,c392d4f6a1c277a7de515680870a188b31b2c7f49971dd05336e684f7ec8d6c5
"星","","","","","1015","","","","",""
"愛","","衣","白","","1019","","","","",""
"","","","","","1020","","綠","","",""
"普","","","","","1021","","","","",""
"","","","","","1070","","","K","",""
"短","","","","","1071","","","","",""
"順","","","","","1079","","","","",""
"七八九","","","","","1080","","","","",""
"H","","","","","1131","","","","",""
"","","","U","","1196","","U","","",""
"","","跆","","","1229","","","","",""
"三五七","","","","","1242","","","","",""
"二","","","","","1244","一","","","",""
"","磚塊","","","房","2002","","","","紅",""
"","","","","","2011","蓑","笠","","",""
"南","","","","","2012","","五","","",""
"","","","","","2024","三五八九","","","",""
"S","","","","","2031","","E","","",""
"","","","","","2032","AE","","","",""
"","","","R","","2033","","A","","",""
"","","","I","","2034","","E","","",""
"","","","R","","2036","","UA","","",""
"","","","L","","2037","Y","E","E","",""
"","","","L","","2038","I","E","V","",""
"","","","I","","2040","","L","","",""
"","","","A","","2041","","","","",""
"Y","","","","","2042","","","","",""
"K","","","A","","2043","","","","",""
"","","","A","","2045","","","","",""
"Q","","","R","","2046","","","","",""
"","","","R","","2047","","A","","",""
"KQ","","","A","","2048","","","","",""
"","","","","","2049","","B","","",""
"","","","A","","2050","T","U","","",""
"","","","C","","2052","P","EI","","",""
"","","","A","","2053","T","I","","",""
"","E","P","","R","2054","S","","","W","O"
"","","","R","","2055","","","","",""
"","","","","","2056","","V","","",""
"","","","WU","","2058","","","","",""
"R","","","","","2059","","","","",""
"R","","","","","2060","","","","",""
"","","","S","","2062","","","","",""
"","","","E","","2063","S","A","S","",""
"","C","F","A","E","2064","A","","","R","O"
"","","","","","2065","S","A","","",""
"C","","","","","2066","","","","",""
"","","","","","2067","","B","","",""
"L","","","","","2068","","I","","",""
"C","","","E","","2069","","","","",""
"","","","","","2070","","E","D","",""
"","","","","","2071","I","A","N","",""
"","","","C","","2074","A","","","",""
"","","","A","","2077","A","","","",""
"","","","R","","2078","","L","","",""
"O","","","MF","","2080","G","E","E","",""
"F","","","","","2081","","","","",""
"","","","","","2084","","","","無",""
"A","","","L","","2085","H","P","E","",""
"AI","","","","","2086","EO","","","",""
"P","","","","","2092","","","","",""
"","","","C","","2093","","","","",""
"萬","","","","","2096","","","","",""
"","","","","","2101","華麗","華","","",""
"","","","e","","2102","","","","",""
"","","","","","2149","l","","e","",""
"聖","","","誕","","2167","","","","",""
"佛","","布","","","2194","","","","","萊"
"","","","耳","","2200","","多","","加",""
"","","艾","","","2237","","","游","思","莉"
"","","","a","","2244","","","","",""
"聖","","","誕","","2278","","","","",""
"契","美","","","美","2279","","","","華","鏡"
"","栞","","","智","2280","","","","",""
"","伊","","","緒","2281","","","","花","空"
"希","嘉","","","夜","2282","","","","梨","祈"
"","音","胡","","","2284","","","","綾","桃"
"E","","","","","2294","A","","","",""
"","","","A","","2297","B","","","",""
"","","","W","","2301","Y","A","S","",""
"","","","M","","2302","S","O","T","",""
"","","","A","","2305","","","","",""
"A","","","P","","2309","I","","L","",""
"","","","二","","3003","","","","",""
"","","","一三","","3005","","","","",""
"","","","一二","","3006","","","","","參"
"三十","","","","","3008","","","","",""
"","","","得","","3012","","","","衣",""
"冬","","","夜","","3093","","","","",""
"亞","","","","","3106","","","","",""
