54afa9e1e6eb7f43f1500425bc37035c876d51ef0181690dbaf34636eb527519,3472b38356cc334e563e013311d9bb21f45b05c6279f32ac686afdae0c1095b3,55681370097f37d2dfdaf88507e8719e007aa754f56536e9f89b311cad8b2516,3af0b44c36d7e5fbafdc90d9c6427cd9c9263034fe626cdaeff67e1a719c7827,9752a1b54cf8bedb6be5becda7ae499454c1dd4b095b0344374f98eaf53e83ef,4476b569b9d6d3683b4de949781ce86f0f87fda3374d811372fd982530a367b7,c49a5a125c720e90ab3b46f47c098167db5e699dc4fefabd54dfc9e1ae54e2ea
"0","1006401","4","0","10064","開幕式","20036104"
"0","1006402","3","0","10064","開幕式","20036104"
"0","1006403","1","1006402","10064","賽跑","20036104"
"0","1006404","4","1006402","10064","賽跑","20036104"
"0","1006405","2","1006402","10064","賽跑","20036104"
"0","1006406","2","1006405","10064","騎馬戰","20036104"
"0","1006407","4","1006405","10064","騎馬戰","20036104"
"0","1006408","3","1006406","10064","午休時間","20036106"
"0","1006409","4","1006406","10064","午休時間","20036106"
"0","1006410","3","1006408","10064","各種學術文化展覽","20036106"
"0","1006411","4","1006408","10064","各種學術文化展覽","20036106"
"0","1006412","1","1006408","10064","各種學術文化展覽","20036106"
"0","1006413","4","1006410","10064","女僕咖啡廳","20036108"
"0","1006414","3","1006410","10064","女僕咖啡廳","20036108"
"0","1006415","3","1006414","10064","綜合接力賽","20036113"
"0","1006416","4","1006414","10064","綜合接力賽","20036113"
"2003601","1006417","1","1006415","10064","頒獎典禮","0"
"2003601","1006418","4","1006415","10064","頒獎典禮","0"
"2003601","1006419","2","1006415","10064","頒獎典禮","0"
"2003601","1006420","3","1006419","10064","閉幕式","0"
"2003601","1006421","4","1006419","10064","閉幕式","0"
"2003601","1006422","4","1006420","10064","達成動畫","0"
