8ba77341de2ce4410e81a272c3272b3c198f8551d4239a0e1873df828f2e7a50,e62aa9095de9d49be32bec6876df2b0ec087390426bd1a75091af105ff0c03d8,e2f0d80b42ec0b5574f9d50568e8ed13861cd9c78205fe6babebe38f0558006b,9ab8d4b6adac90ba3fe883841b927079bd43c65dbaafb97f65b68c5c8fc3753c,fc00ec017c980fae37db04322c4300add176ac5e4c1808e2cd3a23a130cf2112,7edd8d9d4756d5ab256a34c9ce71a8263b4e17a33df3cf7f7ff6787ee085134e,61bf93de165650ab8c28ce1fff9b0dc9791cb7cea693e9be2370e965c318c8ae,ca44099ddb01799cde62a7080cdaa7acd3ec4e3c00fae9887b9c1bb031235938,0b664c80a68d9f5d33bb94873e439e45acef059a63a7c80dc933de4b2dc43583,9f2f2d647f8f5d02d29ba7bca7734648d32cf2dc28b43681a1fe75f1dc6684a2,0a480874085736dfea1079498b39aaa41ad58246acb4b5ff96111fb0a2a17c3b
"100","1","40","-194","1001","122611","1","1","1","1.65","sjr_talk_idle"
"1","","","","1002","sjr_talk_wish_look","1","3","122611","0.2",""
"0","","0","","1003","vo_minigame_1010_top_talk_1_001","1","21","vo_minigame_1010","",""
"10","0","1","0","1004","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","1","11","122611","0","1"
"","","","","1005","","1","91","0","",""
"1","","","","1006","sjr_talk_idle","1","3","122611","0.2",""
"100","1","40","-194","2001","122611","2","1","1","1.65","sjr_talk_idle"
"1","","","","2002","sjr_talk_mouth_hidden_shy","2","3","122611","0.2",""
"0","","0","","2003","vo_minigame_1010_top_talk_1_002","2","21","vo_minigame_1010","",""
"5","0","1","0","2004","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","2","11","122611","0","1"
"","","","","2005","","2","91","0","",""
"1","","","","2006","sjr_talk_idle","2","3","122611","0.2",""
"100","1","40","-194","3001","122611","3","1","1","1.65","sjr_talk_idle"
"0","0","sjr_talk_stepback_worry","1","3002","sjr_talk_stepback_surprise_worry","3","3","122611","0.2",""
"0","","0","","3003","vo_minigame_1010_top_talk_1_003","3","21","vo_minigame_1010","",""
"7","0","1","0","3004","那個人的速度\n好像很快……！\n我贏得了嗎……？","3","11","122611","0","1"
"","","","","3005","","3","91","0","",""
"1","","","","3006","sjr_talk_idle","3","3","122611","0.2",""
"100","1","40","-194","4001","122611","4","1","1","1.65","sjr_talk_idle"
"1","","","","4002","sjr_talk_thinking_surprise","4","3","122611","0.2",""
"0","","0","","4003","vo_minigame_1010_top_talk_1_004","4","21","vo_minigame_1010","",""
"5","0","1","0","4004","有很多奇特的\n路線呢。\n要選哪個呢……？","4","11","122611","0","1"
"","","","","4005","","4","91","0","",""
