eb000d696ae22940d9c58ec952480b073d0e73f15540d9113433b3d511b3511a,6fa7d7d4ae713d0ff80041b3ce300e6b6f9b5162e6ed7e80b612436ed2db2ba9,bce478a9a173802a97f4714f2f201bf82fc910cc44b510a1df53657195a3c0b7,fcd31d18a63438276546b24ca05cce1ea6cd12cd1c65ffb5ecf1b26bbf7e830d,01592daf6ee871a3f83d2edb2a4923d91c4dec784b4a2d0a2bb505940dc46498,99afc01888059e1246cdb70b91c353823219dd594ea6d7cd685eb5985d89b71e
"0","100101","9","蘭德索爾 公會小屋","500040","春咲 日和"
"0","100201","4","蘭德索爾 公會小屋","500040","草野 優衣"
"0","100301","3","蘭德索爾 公會小屋","500040","士條 怜"
"0","100401","4","普拉諾平原","500140","穗高 禊"
"0","100501","4","蘭德索爾 王城入口","500090","織原 茉莉"
"0","100601","4","古城","500260","風宮 茜里"
"0","100701","4","古城","500260","出雲 宮子"
"0","100801","4","普拉諾平原","500140","虹村 雪"
"0","100901","3","蘭德索爾 餐廳內","500050","柊 杏奈"
"0","101001","4","哞哞自衛隊 據點","500060","姫宮 真步"
"0","101101","4","蘭德索爾 鬧區","500030","衣之咲 璃乃"
"0","101201","3","精靈之森","500180","柏崎 初音"
"0","101301","2","蘭德索爾 餐廳內","500050","丹野 七七香"
"0","101401","4","哞哞自衛隊 據點","500060","霧原霞"
"0","101501","4","精靈之森","500180","愛川 美里"
"0","101601","9","月光學院","500080","美波 鈴奈"
"0","101701","4","哞哞自衛隊 據點","500060","喜屋武 香織"
"0","101801","4","月光學院","500080","支倉 伊緒"
"0","102001","2","普拉諾平原","500140","茜 美美"
"0","102101","5","咲戀育幼院 大廳","500110","栗林 胡桃"
"0","102201","4","古城","500260","風宮 依里"
"0","102301","4","咲戀育幼院 大廳","500110","北條 綾音"
"0","102501","10","咲戀育幼院 大廳","500110","天野 鈴莓"
"0","102601","3","伊麗莎白牧場 據點","500150","森近 鈴"
"0","102701","4","蘭德索爾 餐廳內","500050","倉石 惠理子"
"0","102801","4","咲戀育幼院 大廳","500110","佐佐木 咲戀"
"0","102901","1","蘭德索爾 市中心","500010","櫻井 望"
"0","103001","4","普拉諾平原","500140","妮諾‧珠貝爾"
"0","103101","4","古城","500260","上喜 忍"
"0","103201","4","墨丘利財團 據點","500070","藤堂 秋乃"
"0","103301","9","伊麗莎白牧場 據點","500150","野戶 真陽"
"0","103401","4","墨丘利財團 據點","500070","綾瀬 優花梨"
"0","103601","1","普拉諾平原","500140","冰川 鏡華"
