4bdbd77ca90227caece782615d8c085e53684cd1208452fa403dcaa7555e98e2,37f52d5173f898d53893c3a30225b14ea67bfc6089fd849584724c83f191f52c,e437fa84ccc252fe839428412d52a17f368dd93320d5fbfadfdd8ab925cd0809,64c09430c4ab9201669d9157228f6c73d131ec39d21e5cba8fddf2a482e4a0c7,5a7b641032b2a85a48c5ee07eaa6dfe6dad8d27a4498a707a42c2a40aa5e606f,c5da5f0433db55c0df5ed523d452ff501e0963a7fd711369d5cd300a67f005c9,36f3f24702fea1d3a9c77c4840c03476a5681577fa0cd2a0564a3d2d6bf3ec53,f1da66699d6d420490724b2836a04450a4da7a322c5fa76eeb5e54595d8f94f4,c0a3a84c6d504591c49bea460891cbfb9b6a574bf771426b4bbd171a78ee1975,777d82ac4f4e36ae4fe04e69befd3b30afbabe73294b3fd0227ecbf55b635ef8,0a1cf2210d5e75386dc8252ad59cd009347c14ff50451a9cb91ee86a290b6d50
"1","5","12001","-250","12","1","30","52","0","2.2","talk_sad"
"1","6","12002","0","12","1","1","1","0","0",""
"0","5","12003","0","12","0","50","29","0","1","black"
"1","6","12004","0","12","0","1","1","0","0",""
"","91","12005","","12","0","","","","",""
"1","6","12006","1","12","1","1","1","0","0.2",""
"1","6","12007","1","12","0","1","1","0","0.2",""
"-20","2","12008","2","12","1","0.3","-250","","",""
"0","2","12009","2","12","0","0.3","0","","",""
"0","93","12010","","12","0.6","","","","",""
"vo_asb_0121","21","12011","","12","vo_asb","0","0","","",""
"回想起來，\n我甚至連伴手禮都沒帶……","11","12012","1","12","1","1","10","0","0","0"
"","91","12013","","12","0","0","0","","",""
"guts2_talk_shy","3","12014","","12","1","","1","","0.2",""
"vo_asb_0122","21","12015","","12","vo_asb","0","0","","",""
"下次拜訪的時候必定……！","11","12016","1","12","1","1","10","0","0","0"
"","91","12017","","12","0","0","0","","",""
"sad_talk_surprise","3","12018","","12","1","","1","","0.2",""
"vo_asb_0123","21","12019","","12","vo_asb","0","0","","",""
"……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","11","12020","1","12","1","1","10","0","0","0"
"","91","12021","","12","0","0","0","","",""
"surprise_talk_dere","3","12022","","12","1","","1","","0.3",""
"vo_asb_0124","21","12023","","12","vo_asb","0","0","","",""
"畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","11","12024","1","12","1","1","10","0","0","0"
"","91","12025","","12","0","0","0","","",""
"sad_talk_riri_in","3","12026","1","12","1","sad_idle_red_riri","0","0","0.4",""
"vo_asb_0125","21","12027","","12","vo_asb","0","0","","",""
"……一起……挑伴手禮……\n……臉紅。","11","12028","1","12","1","1","10","0","0","0"
"","91","12029","","12","0","0","0","","",""
"","101","12030","","12","12031","","","","",""
"1","6","12031","0","12","1","1","1","0","0.3",""
"1","6","12032","0","12","0","1","1","0","0.3",""
"-120","2","12033","1","12","1","0.3","-250","","",""
"-100","2","12034","1","12","0","0.3","0","","",""
"0","22","12035","","12","0","","","","",""
"0","93","12036","","12","0.4","","","","",""
"1","5","13001","-230","13","1","20","17","0","2.2","riri_idle_look_shy"
"2","5","13002","-255","13","2","-140","19","0","2.2","clear_idle_look_shy"
"3","5","13003","-245","13","3","270","18","1","2.2","idle_look_precia"
"1","6","13004","0","13","1","1","1","0","0",""
"1","6","13005","0","13","2","1","1","0","0",""
"1","6","13006","0","13","3","1","1","0","0",""
"100","31","13007","1","13","1","0","0","","0",""
"0","35","13008","","13","100","","","","",""
"0","5","13009","0","13","0","50","16","0","1","black"
"1","6","13010","0","13","0","1","1","0","0",""
"","91","13011","","13","0","","","","",""
"0","93","13012","","13","0.1","","","","",""
"1","6","13013","1","13","1","1","1","0","0.2",""
"1","6","13014","1","13","2","1","1","0","0.2",""
"1","6","13015","1","13","3","1","1","0","0.2",""
"1","6","13016","1","13","0","1","1","0","0.2",""
"-30","2","13017","2","13","1","0.3","-230","","",""
"-190","2","13018","2","13","2","0.3","-255","","",""
"220","2","13019","2","13","3","0.3","-245","","",""
"0","2","13020","2","13","0","0.3","0","","",""
"1","32","13021","","13","100","","","","",""
"0","93","13022","","13","0.6","","","","",""
"sad_talk_look_shy_riri","3","13023","","13","1","","1","","0.2",""
"vo_asb_1521","21","13024","","13","vo_asb","0","0","","",""
"其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","11","13025","1","13","1","1","10","0","0","0"
"","91","13026","","13","0","0","0","","",""
"sad_idle_normal_look_shy_riri","3","13027","","13","1","","1","","0.2",""
"clear_talk_look_shy","3","13028","","13","2","","1","","0.2",""
"vo_asb_1522","21","13029","","13","vo_asb","0","0","","",""
"因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","11","13030","1","13","2","1","10","0","0","0"
"","91","13031","","13","0","0","0","","",""
"clear_idle_look_shy","3","13032","","13","2","","1","","0.3",""
"sad_talk_look_precia","3","13033","","13","3","","1","","0.2",""
"vo_asb_1523","21","13034","","13","vo_asb","0","0","","",""
"赤裸裸的，\n冒險記。","11","13035","1","13","3","1","10","0","0","0"
"","91","13036","","13","0","0","0","","",""
"idle_look_precia","3","13037","","13","3","","1","","0.2",""
"talk_look_shy_riri","3","13038","","13","1","","1","","0.3",""
"vo_asb_1524","21","13039","","13","vo_asb","0","0","","",""
"但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","11","13040","1","13","1","1","10","0","0","0"
"","91","13041","","13","0","0","0","","",""
"wish_talk_look_shy_riri","3","13042","","13","1","","1","","0.2",""
"vo_asb_1525","21","13043","","13","vo_asb","0","0","","",""
"無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","11","13044","1","13","1","1","10","0","0","0"
"","91","13045","","13","0","0","0","","",""
"idle_look_shy","3","13046","","13","2","","1","","0.2",""
"joy_idle_look_shy_precia","3","13047","","13","3","","1","","0.3",""
"wish_talk_Ex4","3","13048","","13","1","","1","","0.2",""
"vo_asb_1526","21","13049","","13","vo_asb","0","0","","",""
"…………\n沒、沒想到……\n竟然能像這樣被稱讚……","11","13050","1","13","1","1","10","0","0","0"
"","91","13051","","13","0","0","0","","",""
"idle_look_shy_riri","3","13052","","13","1","","1","","0.2",""
"surprise_idle_lookR_precia","3","13053","","13","3","","1","","0.4",""
"vo_asb_1527","21","13054","","13","vo_asb","0","0","","",""
"哥……","11","13055","1","13","3","1","10","0","0","0"
"","91","13056","","13","0","0","0","","",""
"joy_idle_look_shy_precia2","3","13057","","13","3","","1","","0.4",""
"clear_talk2_look","3","13058","","13","2","","1","","0.2",""
"vo_asb_1528","21","13059","","13","vo_asb","0","0","","",""
"哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","11","13060","1","13","2","1","10","0","0","0"
"","91","13061","","13","0","0","0","","",""
"wish_talk_Ex3","3","13062","","13","1","","1","","0.2",""
"joy_idle_look_shy_precia","3","13063","","13","3","","1","","0.3",""
"talk2ToWish_look","3","13064","1","13","2","clear_wish_talk_joy_look","0","0","0.2",""
"vo_asb_1529","21","13065","","13","vo_asb","0","0","","",""
"……謝謝！","11","13066","1","13","1","1","10","0","0","0"
"","91","13067","","13","0","0","0","","",""
"idle_look_shy_riri","3","13068","","13","1","","1","","0.2",""
"idle_look_shy","3","13069","","13","2","","1","","0.2",""
"doya_in_precia","3","13070","1","13","3","doya_talk_precia","0","0","0.2",""
"vo_asb_1530","21","13071","","13","vo_asb","0","0","","",""
"自信滿滿的，\n冒險記。","11","13072","1","13","3","1","10","0","0","0"
"","91","13073","","13","0","0","0","","",""
"idle_look_normal_precia","3","13074","","13","3","","1","","0.4",""
"riri_talk_look_shy","3","13075","","13","1","","1","","0.2",""
"vo_asb_1531","21","13076","","13","vo_asb","0","0","","",""
"誠如您看到的，\n我們還是如此的笨拙不成熟……","11","13077","1","13","1","1","10","0","0","0"
"","91","13078","","13","0","0","0","","",""
"riri_idle_look_normal_shy","3","13079","","13","1","","1","","0.2",""
"clear_talk3_look","3","13080","","13","2","","1","","0.2",""
"vo_asb_1532","21","13081","","13","vo_asb","0","0","","",""
"但多虧有哥哥\n像這樣溫暖地守護我們，\n我才能繼續追逐夢想，\n想成為了不起的冒險者。","11","13082","1","13","2","1","10","0","0","0"
"","91","13083","","13","0","0","0","","",""
"clear_wish_talk_joy_look","3","13084","","13","2","","1","","0.2",""
"vo_asb_1533","21","13085","","13","vo_asb","0","0","","",""
"哥哥。\n從今以後，也請你繼續\n待在【幻變少女】身旁喔。","11","13086","1","13","2","1","10","0","0","0"
"","91","13087","","13","0","0","0","","",""
"clear_wish_idle_look","3","13088","","13","2","","1","","0.2",""
"agree","3","13089","1","13","3","joy_idle_look_shy_precia2","0","0.2","0.1",""
"vo_asb_1534","21","13090","","13","vo_asb","0","0","","",""
"請多指教。","11","13091","1","13","3","1","10","0","0","0"
"","91","13092","","13","0","0","0","","",""
"bow_riri","3","13093","1","13","1","idle_look_shy_riri","0","0.2","0.2",""
"vo_asb_1535","21","13094","","13","vo_asb","0","0","","",""
"請多多指教……！","11","13095","1","13","1","1","10","0","0","0"
"","91","13096","","13","0","0","0","","",""
"","101","13097","","13","13098","","","","",""
"1","6","13098","0","13","1","1","1","0","0.3",""
"1","6","13099","0","13","2","1","1","0","0.3",""
"1","6","13100","0","13","3","1","1","0","0.3",""
"1","6","13101","0","13","0","1","1","0","0.3",""
"-130","2","13102","1","13","1","0.3","-230","","",""
"-290","2","13103","1","13","2","0.3","-255","","",""
"120","2","13104","1","13","3","0.3","-245","","",""
"-100","2","13105","1","13","0","0.3","0","","",""
"0","22","13106","","13","0","","","","",""
"1","35","13107","","13","100","","","","",""
"-100","33","13108","1","13","100","0.3","0","","",""
"0","93","13109","","13","0.4","","","","",""
"0","32","13110","","13","100","","","","",""
"1","5","22001","-250","22","3","30","52","0","2.2","surprise_idle_normal2_precia"
"1","6","22002","0","22","1","1","1","0","0",""
"0","5","22003","0","22","0","50","29","0","1","black"
"1","6","22004","0","22","0","1","1","0","0",""
"","91","22005","","22","0","","","","",""
"1","6","22006","1","22","1","1","1","0","0.2",""
"1","6","22007","1","22","0","1","1","0","0.2",""
"-20","2","22008","2","22","1","0.3","-250","","",""
"0","2","22009","2","22","0","0.3","0","","",""
"0","93","22010","","22","0.6","","","","",""
"vo_asb_0221","21","22011","","22","vo_asb","0","0","","",""
"坐墊。\n餅乾。\n吃了好多。","11","22012","1","22","1","1","10","0","0","0"
"","91","22013","","22","0","0","0","","",""
"talk_surprise_precia","3","22014","","22","1","","1","","0.3",""
"vo_asb_0222","21","22015","","22","vo_asb","0","0","","",""
"鈴莓。\n好像，\n會做各式各樣。","11","22016","1","22","1","1","10","0","0","0"
"","91","22017","","22","0","0","0","","",""
"think_idle_precia","3","22018","","22","1","","1","","0.3",""
"vo_asb_0223","21","22019","","22","vo_asb","0","0","","",""
"像是，坐墊鬆餅。\n之類的？","11","22020","1","22","1","1","10","0","0","0"
"","91","22021","","22","0","0","0","","",""
"think_idle_dere_precia","3","22022","","22","1","","1","","0.3",""
"vo_asb_0224","21","22023","","22","vo_asb","0","0","","",""
"像是，坐墊馬芬蛋糕。\n之類的？","11","22024","1","22","1","1","10","0","0","0"
"","91","22025","","22","0","0","0","","",""
"think_idle_angerR","3","22026","","22","1","","1","","0.3",""
"vo_asb_0225","21","22027","","22","vo_asb","0","0","","",""
"像是，坐墊肉包子……\n之類的……（吞口水)","11","22028","1","22","1","1","10","0","0","0"
"","91","22029","","22","0","0","0","","",""
"thinkToSpeak_precia","3","22030","1","22","1","speak1_light_precia","0","0","0.1",""
"vo_asb_0226","21","22031","","22","vo_asb","0","0","","",""
"鈴莓。\n我要挖角她。\n來幻變少女。","11","22032","1","22","1","1","10","0","0","0"
"","91","22033","","22","0","0","0","","",""
"","101","22034","","22","22035","","","","",""
"1","6","22035","0","22","1","1","1","0","0.3",""
"1","6","22036","0","22","0","1","1","0","0.3",""
"-120","2","22037","1","22","1","0.3","-250","","",""
"-100","2","22038","1","22","0","0.3","0","","",""
"0","22","22039","","22","0","","","","",""
"0","93","22040","","22","0.4","","","","",""
"1","5","32001","-230","32","1","20","52","0","2.2","riri_idle_look"
"2","5","32002","-255","32","2","-140","58","0","2.2","clear_book_read"
"3","5","32003","-245","32","3","270","55","1","2.2","joy_idle_precia"
"1","6","32004","0","32","1","1","1","0","0",""
"1","6","32005","0","32","2","1","1","0","0",""
"1","6","32006","0","32","3","1","1","0","0",""
"0","5","32007","0","32","0","50","29","0","1","black"
"1","6","32008","0","32","0","1","1","0","0",""
"","91","32009","","32","0","","","","",""
"1","6","32010","1","32","1","1","1","0","0.2",""
"1","6","32011","1","32","2","1","1","0","0.2",""
"1","6","32012","1","32","3","1","1","0","0.2",""
"1","6","32013","1","32","0","1","1","0","0.2",""
"-30","2","32014","2","32","1","0.3","-230","","",""
"-190","2","32015","2","32","2","0.3","-255","","",""
"220","2","32016","2","32","3","0.3","-245","","",""
"0","2","32017","2","32","0","0.3","0","","",""
"0","93","32018","","32","0.6","","","","",""
"clear_book_talk","3","32019","","32","2","","1","","0.2",""
"vo_asb_0321","21","32020","","32","vo_asb","0","0","","",""
