918d0a94b168303fffc98b39760fa653470b7203cf8f4540c3e5c73f3d5a626c,e1b7835d975b8d76b795269ecb120f54ac198d9be059db6f7d7234b5d4613683,811b84f2c3469f3bfc472d4a75b3d2b04d4c8aa7384893d53b7363f5d59db6b6,4280ab6789559d6e6d068503e89d44a30855976d0db05daff03b3c9105c6cab2,7db49fd26e61d130262812734010a24490053b48a6249897125d041b530b51fd,61eab27696417b7f8c572c18d36a733af66b296b0f7cc53d3a6703d46cf9ee6f,8030e1317fb85cdafc51fdd63f7cbdb155c4171dcc2482cdae65d1c72ad5c29b,9514d327ff1d0c2af068dcb080a6c8091eb2ad9aca9c5ce620a7a700f841a5f9,b801ad52492cfad92e0d606fcf57674166546f8726519ec149bde9cea1e73eb4
"0","1","2018/11/08 16:00:00","1","0","0","2018/11/12 15:59:59","0","1"
"0","2","2018/11/30 16:00:00","2","0","0","2018/12/04 15:59:59","0","1"
"0","3","2019/02/13 16:00:00","3","0","0","2019/02/23 15:59:59","0","1"
"0","4","2019/05/03 16:00:00","4","0","0","2019/05/14 15:59:59","0","1"
"0","5","2019/07/01 16:00:00","5","0","0","2019/07/15 15:59:59","0","1"
"0","6","2019/08/01 16:00:00","6","0","0","2019/08/15 15:59:59","0","1"
"0","7","2019/12/13 16:00:00","7","0","0","2019/12/30 15:59:59","0","1"
"0","8","2020/04/22 16:00:00","8","0","1","2020/05/08 15:59:59","0","1"
"0","9","2020/06/22 16:00:00","9","0","1","2020/07/07 15:59:59","0","1"
"0","10","2020/08/03 16:00:00","10","0","1","2020/08/09 15:59:59","0","1"
"0","11","2020/12/21 05:00:00","11","0","1","2021/01/06 15:59:59","0","1"
"0","12","2021/02/11 16:00:00","12","0","1","2021/02/18 04:59:59","0","1"
"0","13","2021/04/16 16:00:00","13","0","1","2021/04/22 15:59:59","0","1"
"0","14","2021/04/27 16:00:00","14","0","1","2021/05/03 15:59:59","0","1"
"0","15","2021/06/19 05:00:00","15","0","1","2021/07/02 04:59:59","0","1"
"15","16","2021/07/02 05:00:00","16","14","1","2021/08/02 04:59:59","0","0"
"0","17","2021/09/01 05:00:00","17","0","1","2021/09/11 04:59:59","0","1"
"0","18","2021/12/17 05:00:00","18","0","1","2022/01/03 04:59:59","0","1"
"18","19","2022/01/03 05:00:00","19","17","1","2022/01/31 15:59:59","0","0"
"0","20","2022/03/07 05:00:00","20","0","1","2022/03/14 04:59:59","0","1"
"20","21","2022/03/14 05:00:00","21","7","1","2022/04/03 04:59:59","0","0"
"0","22","2022/04/25 05:00:00","22","0","1","2022/05/08 04:59:59","0","1"
"22","23","2022/05/08 05:00:00","23","13","1","2022/06/04 04:59:59","0","0"
"0","24","2022/06/19 05:00:00","24","0","1","2022/07/04 04:59:59","0","1"
"24","25","2022/07/04 05:00:00","25","15","1","2022/08/02 04:59:59","0","0"
"0","26","2022/09/01 05:00:00","26","0","1","2022/09/11 04:59:59","0","1"
"0","27","2022/12/17 05:00:00","27","0","1","2023/01/03 04:59:59","0","1"
"0","28","2023/02/26 05:00:00","28","0","1","2023/03/05 04:59:59","0","1"
"0","29","2023/04/26 05:00:00","29","0","1","2023/05/08 04:59:59","0","1"
"0","30","2023/06/19 05:00:00","30","0","1","2023/07/03 04:59:59","0","1"
"0","31","2023/08/27 05:00:00","31","0","1","2023/09/02 04:59:59","0","1"
"0","32","2023/12/16 05:00:00","32","0","1","2024/01/02 04:59:59","0","1"
"0","33","2024/02/29 05:00:00","33","0","1","2024/03/06 04:59:59","0","1"
"0","34","2024/04/23 05:00:00","34","0","2","2024/05/06 04:59:59","0","1"
"0","35","2024/06/17 05:00:00","35","0","2","2024/07/02 04:59:59","0","1"
"0","36","2024/08/28 05:00:00","36","0","2","2024/09/02 04:59:59","0","1"
"0","37","2024/12/16 05:00:00","37","0","2","2025/01/02 04:59:59","0","1"
"0","38","2025/04/22 05:00:00","38","0","2","2025/05/05 04:59:59","0","1"
"0","39","2025/06/12 05:00:00","39","0","2","2025/06/23 04:59:59","0","1"
