4ece199a41617b85a29cb57e32e8271d1e08d97ca0e1c18c916c675cffd60bf7,1c9747dfc717a19b06fa7aa3abfd9e9ef565f0042aa726cfcea52aa6cc2ae5e3,7b40355897be1fbb4d4e3802fd5ddf0fef64fab4be4cd03d139c421104f65406,2bb2ff3ab5c6c0b190da1b769f1eee7379ba2a904d007720ea4d50bfb5577b0d,8d953026c34e9f067381be8d7a78518dcda41210456d3b88b3068f4db4cabcf2,6371ed998bf3b70400baa16987a8f499246123c6eaf3a3aac16f88e50de534c9,febd0926dde3d54995fba4365ef5f491a504be1a438c70b0738c94ee0513e95e,de8ba669a4abb42310a26d9d8af49353fc69a0d70fce7962079dbd22c1e3c3f0,b8dd44be9a104522a921a292bdb1255048df49a46b94ecc9dbfe43e1dba3d88e,c7b8161ca7b9b5199bd1f2df245b0602c25124cb63f01013e58addd1ddef7b4d,bc8e6180def8699b7b3c5da13c628fb90c68e4c8e3dd587bdb81c897ff9bf398,d791ba45bee3c5359680b955cb8024f03db3a672f1095904682f6e6fd43b993e,c58c8552ca51d10f041048d97e50f4d7e2a852bf7b218eb57b419ab3e21401b7,059e095cc6b899e924c4b3a76a84d3a3fc0d20d93bea84c34f10a4008d1a9283,800dbde5e69e8cf37afdbc18747882db954c3dae9af0f4887b5083a4b98fd9ea,0104a34830f6eaec510a5f422505fd203dfc1aed39fa7291a824914627c655fb,17b302490da1aab5380c698fe965b1789b0cb60a2ca4fc92645badb816f4ac7e,659c647b22d5a15b5fe9a0cdccc0110e34060e138f2fb516ac49622871c099d7,c0376099edd9be832b0675f6a1b9461b622baed952cf08d9fdbe618fabfd279d,e4a22fa7005c701a4313b356af107679ffa18cd3a6c4e49afebc2fd4229417b2,f3bb7fc8a687565ff7b34648b8bc160c0b66955749e8b460abd7a68360e047b8,7a2eabfe6ed6fd6ba7be72ac29a7b6fdc1fad1ecc97b1890c87da4a1403c4d8d,b85dce274033455f89e4eab6e17f4ec29bfe2086ea72895342d07a409157ce45,ff8c06b93d9dd73782646823713d8cdc974221ad062a41bdd893c434e9a2b68b
"91002","8","15063001","5","0","31013","5","在戰鬥中獲得勝利。","11063","0","31056","-120","1","-356","0","30","5","2","【暮光流星群】出動！","31009","2","2015/12/17 15:00:00","300010","2"
"91002","8","15063002","5","0","31005","5","在戰鬥中獲得勝利。","11063","0","31053","-168","1","-214","0","30","5","2","背面世界的戰鬥訓練","31043","2","2015/12/17 15:00:00","300010","2"
"91002","8","15063003","5","0","31050","5","在戰鬥中獲得勝利。","11063","0","31018","-65","1","-84","0","30","5","2","前往背面世界的畢業旅行？","31016","2","2015/12/17 15:00:00","300010","2"
"91002","8","15063004","0","0","0","0","在戰鬥中獲得勝利。","11063","0","0","109","2","-116","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15063005","5","0","31036","5","在戰鬥中獲得勝利。","11063","0","31004","-120","1","614","0","30","5","2","小小反轉大冒險","31020","2","2015/12/17 15:00:00","300010","2"
"91002","8","15063006","5","0","31022","5","在戰鬥中獲得勝利。","11063","0","31044","51","1","655","0","30","5","2","目標，出征背面世界？","31006","2","2015/12/17 15:00:00","300010","2"
"91002","8","15063007","0","0","0","0","在戰鬥中獲得勝利。","11063","0","0","30","2","881","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15064001","5","0","0","5","在戰鬥中獲得勝利。","11064","0","31065","-179","1","-247","0","30","0","2","代替招呼的背面世界火拼！","31066","0","2015/12/17 15:00:00","300010","2"
"91002","8","15064002","5","0","31034","5","在戰鬥中獲得勝利。","11064","0","31032","-105","1","0","0","30","5","2","新生意的甜～美香氣","31048","2","2015/12/17 15:00:00","300010","2"
"91002","8","15064003","0","0","0","0","在戰鬥中獲得勝利。","11064","0","0","-90","2","159","0","150","0","0","《EX》危險的魔物‧胡狼與眼蔓","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15064004","10","0","0","0","在戰鬥中獲得勝利。","11064","0","90005","-79","1","453","0","30","0","0","用火箭拳擊退魔物！","0","0","2015/12/17 15:00:00","300010","2"
"91002","8","15064005","5","0","31023","5","在戰鬥中獲得勝利。","11064","0","31028","58","1","570","0","30","5","2","在背面世界野餐？","31021","2","2015/12/17 15:00:00","300010","2"
"91002","8","15064006","0","0","0","0","在戰鬥中獲得勝利。","11064","0","0","-18","2","905","0","150","0","0","《EX》危險暗影與怪鳥獸","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15065001","5","0","31011","5","在戰鬥中獲得勝利。","11065","0","31006","-123","1","-442","0","30","5","2","妹妹們的照顧之戰","31022","2","2015/12/17 15:00:00","300010","2"
"91002","8","15065002","5","2","31026","5","在戰鬥中獲得勝利。","11065","51011","31052","117","1","-289","1","30","5","2","背面世界開拓記","31033","2","2015/12/17 15:00:00","300010","2"
"91002","8","15065003","0","0","0","0","在戰鬥中獲得勝利。","11065","0","0","-162","2","-150","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15065004","5","0","0","5","在戰鬥中獲得勝利。","11065","0","31037","-109","1","141","0","30","0","2","令人興奮的森林野餐！","31049","0","2015/12/17 15:00:00","300010","2"
"91002","8","15065005","5","0","51012","5","在戰鬥中獲得勝利。","11065","0","31030","-34","1","332","0","30","1","2","在甘海高舉大漁旗","31055","2","2015/12/17 15:00:00","300010","2"
"91002","8","15065006","0","0","0","0","在戰鬥中獲得勝利。","11065","0","0","77","2","640","0","150","0","0","《EX》危險的魔物‧狂熊與翼龍","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15066001","5","0","51013","5","在戰鬥中獲得勝利。","11066","0","31180","-56","1","-701","0","30","1","2","支援背面世界復興總部","31185","2","2015/12/17 15:00:00","300010","2"
"91002","8","15066002","5","0","0","5","在戰鬥中獲得勝利。","11066","0","31010","109","1","-427","0","30","0","2","公主們的泡澡外交","31017","0","2015/12/17 15:00:00","300010","2"
"91002","8","15066003","1","0","0","0","在戰鬥中獲得勝利。","11066","0","4102402","-180","2","-573","0","150","0","0","《EX》天才發明家三女，襲來","0","0","2015/12/17 15:00:00","300020","18"
"91002","8","15066004","5","2","31040","5","在戰鬥中獲得勝利。","11066","51016","31015","-25","1","-165","1","30","5","2","背面世界安全講習會","31012","2","2015/12/17 15:00:00","300010","2"
"91002","8","15066005","5","0","31042","5","在戰鬥中獲得勝利。","11066","0","31029","-88","1","110","0","30","5","2","背面世界登台！","31054","2","2015/12/17 15:00:00","300010","2"
"91002","8","15066006","10","0","0","0","在戰鬥中獲得勝利。","11066","0","90005","97","1","135","0","30","0","0","龍族姊妹的請求","0","0","2015/12/17 15:00:00","300010","2"
"91002","8","15066007","0","0","0","0","在戰鬥中獲得勝利。","11066","0","0","42","2","443","0","150","0","0","《EX》危險暗影與魔物‧雷雷傲M","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15067001","5","0","0","5","在戰鬥中獲得勝利。","11067","0","31258","-32","1","-208","0","30","0","2","甜蜜又美味的美容法","31008","0","2015/12/17 15:00:00","300010","2"
"91002","8","15067002","5","0","51017","5","在戰鬥中獲得勝利。","11067","0","31233","44","1","-58","0","30","1","2","確保被虐狂與正太","31045","2","2015/12/17 15:00:00","300010","2"
"91002","8","15067003","1","0","0","0","在戰鬥中獲得勝利。","11067","0","4105402","-165","2","-84","0","150","0","0","《EX》受難體質的次女，遇難","0","0","2015/12/17 15:00:00","300020","18"
"91002","8","15067004","5","2","31059","5","在戰鬥中獲得勝利。","11067","51018","31181","90","1","425","1","30","5","2","寵溺的人是誰","31034","2","2015/12/17 15:00:00","300010","2"
"91002","8","15067005","10","0","0","0","在戰鬥中獲得勝利。","11067","0","90005","36","1","551","0","30","0","0","餓肚子咕嚕咕嚕二重奏","0","0","2015/12/17 15:00:00","300010","2"
"91002","8","15067006","0","0","0","0","在戰鬥中獲得勝利。","11067","0","0","-120","2","602","0","150","0","0","《EX》危險的魔物‧大鬼與雷鳥","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15068001","5","0","51021","5","在戰鬥中獲得勝利。","11068","0","31093","-20","1","-40","0","30","1","2","背面世界也有發生事件的預感","31014","2","2015/12/17 15:00:00","300010","2"
"91002","8","15068002","5","0","0","5","在戰鬥中獲得勝利。","11068","0","31027","-179","1","90","0","30","0","2","如煉獄中盛開的花朵般","31051","0","2015/12/17 15:00:00","300010","2"
"91002","8","15068003","1","0","0","0","在戰鬥中獲得勝利。","11068","0","4101403","-171","2","245","0","150","0","0","《EX》心胸開闊的長女，狂醉","0","0","2015/12/17 15:00:00","300020","18"
"91002","8","15068004","5","0","51022","5","在戰鬥中獲得勝利。","11068","0","31032","44","1","643","0","30","1","2","當心泡昏頭","31033","2","2015/12/17 15:00:00","300010","2"
"91002","8","15068005","10","0","0","0","在戰鬥中獲得勝利。","11068","0","90005","-93","1","768","0","30","0","0","在吉歐‧格黑納追兔子","0","0","2015/12/17 15:00:00","300010","2"
"91002","8","15068006","0","0","0","0","在戰鬥中獲得勝利。","11068","0","0","91","2","814","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15069001","5","0","51023","5","在戰鬥中獲得勝利。","11069","0","31047","0","1","-324","0","30","1","2","背面世界的走失兒童","31020","2","2015/12/17 15:00:00","300010","2"
"91002","8","15069002","5","0","0","5","在戰鬥中獲得勝利。","11069","0","31016","-78","1","-175","0","30","0","2","吉歐‧格黑納的魔法研究","31060","0","2015/12/17 15:00:00","300010","2"
"91002","8","15069003","0","0","0","0","在戰鬥中獲得勝利。","11069","0","0","-136","2","0","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15069004","5","0","51024","5","在戰鬥中獲得勝利。","11069","0","31096","-9","1","411","0","30","1","2","活躍於吉歐‧格黑納的忍者們","31055","2","2015/12/17 15:00:00","300010","2"
"91002","8","15069005","5","0","0","5","在戰鬥中獲得勝利。","11069","0","31223","-167","1","522","0","30","0","2","特別讓你成為眷屬！","31063","0","2015/12/17 15:00:00","300010","2"
"91002","8","15069006","0","0","0","0","在戰鬥中獲得勝利。","11069","0","0","-39","2","859","0","150","0","0","《EX》成群的危險暗影","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15070001","5","0","0","1","在戰鬥中獲得勝利。","11070","0","31040","128","1","-291","0","30","0","2","在吉歐‧格黑納採集植物","51025","0","2015/12/17 15:00:00","300010","2"
"91002","8","15070002","5","0","0","5","在戰鬥中獲得勝利。","11070","0","31066","38","1","-143","0","30","0","2","灼熱的打架時間","31065","0","2015/12/17 15:00:00","300010","2"
"91002","8","15070003","0","0","0","0","在戰鬥中獲得勝利。","11070","0","0","-14","2","0","0","150","0","0","《EX》成群的危險暗影‧偶像","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15070004","5","0","0","1","在戰鬥中獲得勝利。","11070","0","31009","38","1","434","0","30","0","2","在深淵般的煉獄中邂逅","51026","0","2015/12/17 15:00:00","300010","2"
"91002","8","15070005","5","0","31050","5","在戰鬥中獲得勝利。","11070","0","31004","22","1","575","0","30","5","2","展現大人的從容吧","31261","2","2015/12/17 15:00:00","300010","2"
"91002","8","15070006","0","0","0","0","在戰鬥中獲得勝利。","11070","0","0","-180","2","546","0","150","0","0","《EX》成群的危險暗影‧財團","0","0","2015/12/17 15:00:00","300020","0"
"91002","8","15071001","5","2","31002","5","在戰鬥中獲得勝利。","11071","51027","31028","90","1","15","1","30","5","2","輕快的少女們","31180","2","2015/12/17 15:00:00","300010","2"
