66d66683184dce8f5407813f0ac26c113c2d9e5304e74142e00bbce17d6317c8,9e4bfbb1f32ca731371729f6673897420e17489520b09008e11bc3b34d5d0b88,c71e15718538380147302fce0f138a3a7514721b65d0ad857efaf63647620a9d,c6c41c187b97c7594e227ce89106f0c88ba3247197c166f68a73e84d69733316,a0cab7b101c848d4bd14b89351aec0a2e3711a4846dcfe11271bccba7443205b,78adf6e9a5483afa6c5a1c522e69cfa400781bb714da733e2fa287d58398712e,84343093612cd6f34fe3eb250f4eb957b301ccc9b938b6563ad117ab67c07c89,668c283951c69a1a80908917d8ad2ed55711945ccb8929a581c3c12533c133b6,15ef21b54c73c7a06ecf2c054f7515384a56699d421df354348b15b419969789,33b2a8730bec0bc7c418fae6bc77196b52bfb6d4631d1afb012952e682927b42,475d0e9ce775f40b2e7c1377c0218007ab949abc0844508adb3a6b71dd76c81c
"10101001","11001010","10101","0","1","通過主線冒險（NORMAL） 1-10","0","1","11","10101001","0"
"10101002","105801","10101","0","1","將貪吃佩可升到Lv10","0","10","1","10101002","0"
"10101003","105801","10101","0","1","將貪吃佩可升到RANK2","99017","2","2","10101003","0"
"10101004","2001006","10101","0","1","閱覽主線劇情第1章全部","0","1","16","10101004","0"
"10101005","0","10101","0","1","提升角色的技能等級共50次","0","50","9","10101005","0"
"10101006","11002006","10101","0","1","通過主線冒險（NORMAL） 2-6","31059","1","11","10101006","99010"
"10101007","0","10101","0","1","進行1次公主騎士強化","0","1","10","10101007","0"
"10101008","21002","10101","0","1","完成1次經驗值冒險","0","1","12","10101008","0"
"10101009","21001","10101","0","1","完成1次瑪那冒險","0","1","12","10101009","0"
"10101010","11002012","10101","0","1","通過主線冒險（NORMAL） 2-12","0","1","11","10101010","0"
"10101012","105801","10101","0","1","將貪吃佩可升到RANK3","99017","3","2","10101012","0"
"10101013","105801","10101","0","1","將貪吃佩可升到Lv20","0","20","1","10101013","0"
"10101014","11003012","10101","0","1","通過主線冒險（NORMAL） 3-12","0","1","11","10101014","0"
"10101015","2002006","10101","0","1","閱覽主線劇情第2章全部","0","1","16","10101015","0"
"10101016","11004010","10101","0","1","通過主線冒險（NORMAL） 4-10","99010","1","11","10101016","0"
"10101017","12002002","10101","0","1","通過主線冒險（HARD） 2-2","0","1","11","10101017","0"
"10101018","1058","10101","0","1","將與貪吃佩可的羈絆Rank升到4","0","4","3","10101018","0"
"10101019","105801","10101","0","1","將貪吃佩可升到★3","0","3","4","10101019","0"
"10101020","11005013","10101","0","1","通過主線冒險（NORMAL） 5-13","0","1","11","10101020","0"
"10101021","2003010","10101","0","1","閱覽主線劇情第3章全部","0","1","16","10101021","0"
"10101022","12004001","10101","0","1","通過主線冒險（HARD） 4-1","0","1","11","10101022","0"
"10101023","105901","10101","0","1","將可可蘿升到★3","0","3","4","10101023","0"
"10101024","11006014","10101","0","1","通過主線冒險（NORMAL） 6-14","0","1","11","10101024","0"
"10101025","11007014","10101","0","1","通過主線冒險（NORMAL） 7-14","99010","1","11","10101025","0"
"10101026","1010101","10101","0","1","將主線劇情第1部step1任務全部通關","0","24","17","10101026","0"
"10102001","11009002","10102","0","1","通過主線冒險（NORMAL） 9-2","99010","1","11","10102001","0"
"10102002","2004010","10102","0","1","閱覽主線劇情第4章全部","0","1","16","10102002","0"
"10102003","18001","10102","0","1","通過1次聖跡調查冒險","0","1","13","10102003","0"
"10102004","105801","10102","0","1","裝備貪吃佩可的專用裝備１","0","1","5","10102004","0"
"10102005","105901","10102","0","1","裝備可可蘿的專用裝備１","0","1","5","10102005","0"
"10102006","12006001","10102","0","1","通過主線冒險（HARD） 6-1","0","1","11","10102006","0"
"10102007","100201","10102","0","1","將優衣升到★3","0","3","4","10102007","0"
"10102008","11009015","10102","0","1","通過主線冒險（NORMAL） 9-15","31058","1","11","10102008","99010"
"10102009","105801","10102","0","1","將貪吃佩可升到★4","0","4","4","10102009","0"
"10102010","11010017","10102","0","1","通過主線冒險（NORMAL） 10-17","99010","1","11","10102010","99018"
"10102011","2005010","10102","0","1","閱覽主線劇情第5章全部","0","1","16","10102011","0"
"10102012","11011017","10102","0","1","通過主線冒險（NORMAL） 11-17","99010","1","11","10102012","99018"
"10102013","1010201","10102","0","1","將主線劇情第1部step2任務全部通關","0","12","17","10102013","0"
"10103001","12008001","10103","0","1","通過主線冒險（HARD） 8-1","0","1","11","10103001","0"
"10103002","100201","10103","0","1","將優衣升到★4","0","4","4","10103002","0"
"10103003","2006099","10103","0","1","閱覽主線劇情第6章全部","0","1","16","10103003","0"
"10103004","11012017","10103","0","1","通過主線冒險（NORMAL） 12-17","31059","1","11","10103004","99010"
"10103005","105901","10103","0","1","將可可蘿升到★4","0","4","4","10103005","0"
"10103006","11013017","10103","0","1","通過主線冒險（NORMAL） 13-17","0","1","11","10103006","0"
"10103007","11014014","10103","0","1","通過主線冒險（NORMAL） 14-14","0","1","11","10103007","0"
"10103008","101001","10103","0","1","將真步升到★4","0","4","4","10103008","0"
"10103009","2007099","10103","0","1","閱覽主線劇情第7章全部","0","1","16","10103009","0"
"10103010","11015014","10103","0","1","通過主線冒險（NORMAL） 15-14","0","1","11","10103010","0"
"10103011","102801","10103","0","1","將咲戀升到★4","0","4","4","10103011","0"
"10103012","1010301","10103","0","1","將主線劇情第1部step3任務全部通關","0","11","17","10103012","0"
"10104001","11016014","10104","0","1","通過主線冒險（NORMAL） 16-14","0","1","11","10104001","0"
"10104002","104301","10104","0","1","將真琴升到★4","0","4","4","10104002","0"
"10104003","2008099","10104","0","1","閱覽主線劇情第8章全部","0","1","16","10104003","0"
"10104004","11017014","10104","0","1","通過主線冒險（NORMAL） 17-14","0","1","11","10104004","0"
"10104005","1058","10104","0","1","將與貪吃佩可的羈絆Rank升到8","0","8","3","10104005","0"
"10104006","105801","10104","0","1","將貪吃佩可升到★5","0","5","4","10104006","0"
"10104007","11018014","10104","0","1","通過主線冒險（NORMAL） 18-14","0","1","11","10104007","0"
"10104008","105901","10104","0","1","將可可蘿升到★5","0","5","4","10104008","0"
"10104009","2009099","10104","0","1","閱覽主線劇情第9章全部","0","1","16","10104009","0"
"10104010","19001","10104","0","1","通過1次神殿調查冒險","0","1","13","10104010","0"
