c0412fd9a63e5dd470cfdbc6395f4d9c939723e413a5b39ffdec606d9864940d,ee23a9651f9ecb603fb07707a694e931c4d008707e41aaeb6d83873d34430edb,38dc26c7a6af5db6e4f7fac4cbdb893b37872a12cfec8dcb2c7d1a8cb0c1885f,608fd95a6f40b0a1420b45bc50d3ac51c6a38e0aaab3a8daa865d11c7b9bf9d7,55d10e456e94e04114dea0c01f676217d0cdd3837b8ae36c6ce9542e231ab24d,6da73cd4f7263df6be27f476aa906a2307f6817ab5dc2e96153c298ea358e905,f8dbb28d0d68cde5809b29d4486f32a61a5907ebaca9915b7c763108f13aeace,85ac7e44fb4140e735e2cbf443a51e1c9be087b5abf1cc4f481b81cd3bbe3736,3600d8a7b2a2626ca1dbac8438ff52601c40d0e20d29c0c869006d821ed10228,9503f431bc343c8db208ec680f48cf0a5710671815053efb17a35027b181050b,bcd6c59333bdc723c8a86a237ad623009dfaca41ca46cf65ae3e783b678cd7a8
"0","1","0","岩浣熊的生態筆記①","10116","10116111","0","20062115","1","207300","0"
"0","1","0","岩浣熊的生態筆記②","10116","10116112","0","0","2","207300","0"
"0","1","0","岩浣熊的生態筆記③","10116","10116113","0","0","3","207300","0"
"0","1","0","岩浣熊的生態筆記④","10116","10116114","0","0","4","207300","0"
"1","1","8","洗東西的師傅大人","10116","10116115","91002","0","5","207300","75"
"0","1","0","小狸貓的生態筆記①","10116","10116121","0","0","1","207000","0"
"0","1","0","小狸貓的生態筆記②","10116","10116122","0","0","2","207000","0"
"0","1","0","小狸貓的生態筆記③","10116","10116123","0","0","3","207000","0"
"0","1","0","小狸貓的生態筆記④","10116","10116124","0","0","4","207000","0"
"1","1","8","小小的重逢與幻惑","10116","10116125","91002","0","5","207000","75"
"0","1","0","哥布林王者的生態筆記①","10116","10116131","0","0","1","305700","0"
"0","1","0","哥布林王者的生態筆記②","10116","10116132","0","0","2","305700","0"
"0","1","0","哥布林王者的生態筆記③","10116","10116133","0","0","3","305700","0"
"0","1","0","哥布林王者的生態筆記④","10116","10116134","0","0","4","305700","0"
"1","1","8","學習先從表面開始","10116","10116135","91002","0","5","305700","75"
"0","2","0","沉睡之梟的生態筆記①","10116","10116211","0","20062115","1","206900","0"
"0","2","0","沉睡之梟的生態筆記②","10116","10116212","0","0","2","206900","0"
"0","2","0","沉睡之梟的生態筆記③","10116","10116213","0","0","3","206900","0"
"0","2","0","沉睡之梟的生態筆記④","10116","10116214","0","0","4","206900","0"
"1","2","8","舒服到升天的睡眠感覺","10116","10116215","91002","0","5","206900","75"
"0","2","0","雷雷的生態筆記①","10116","10116221","0","0","1","304600","0"
"0","2","0","雷雷的生態筆記②","10116","10116222","0","0","2","304600","0"
"0","2","0","雷雷的生態筆記③","10116","10116223","0","0","3","304600","0"
"0","2","0","雷雷的生態筆記④","10116","10116224","0","0","4","304600","0"
"1","2","8","重視各自的生存方式","10116","10116225","91002","0","5","304600","75"
"0","2","0","喵特的生態筆記①","10116","10116231","0","0","1","215300","0"
"0","2","0","喵特的生態筆記②","10116","10116232","0","0","2","215300","0"
"0","2","0","喵特的生態筆記③","10116","10116233","0","0","3","215300","0"
"0","2","0","喵特的生態筆記④","10116","10116234","0","0","4","215300","0"
"1","2","8","你教會我的事","10116","10116235","91002","0","5","215300","75"
