cb69f5e0ddab7198dde24e40ca7033faa0a8079cfc43f78168f9686e795ba5f0,f16f73ea299bd8c2a21fbbcfb98863971a5a0a22d713f26818a257288601c88c,1588519558d5818531c685035a14b8e02df36dfd984922eefd29d2cd4c862ee9,afcbd021585f52d0c3e930e0ce45bb34b27e4cfbb28c81e74813c22562f9dfea,8b4b2df9a5177fbaf916b76b4e8f66c21665a195d082da723bd8ffcc72b0cf51,dc1bc243694e6da65000408e6491192f46887b4f8f4bd2899dd78454e5471c5e,a931ceafa42aee5f0c85667c30a49e1380b5cfb1d2de2d1b984a0c39cbb8b2df
"924070100","924070103","924070102","924070105","924070101","924070104","2407001"
"924070200","924070203","924070202","924070205","924070201","924070204","2407002"
"924070300","924070303","924070302","924070305","924070301","924070304","2407003"
"924071100","0","0","0","924071101","0","2407004"
"924071200","0","0","0","924071201","0","2407005"
"924071300","0","0","0","924071301","0","2407006"
"924071400","0","0","0","924071401","0","2407007"
"924072100","0","0","0","924072101","0","2407008"
"924072200","0","0","0","924072201","0","2407009"
"924072300","0","0","0","924072301","0","2407010"
"924072400","0","0","0","924072401","0","2407011"
"924073100","0","0","0","924073101","0","2407012"
"924073200","0","0","0","924073201","0","2407013"
"924073300","0","0","0","924073301","0","2407014"
"924073400","0","0","0","924073401","0","2407015"
"924080100","924080103","924080102","924080105","924080101","924080104","2408001"
"924080200","924080203","924080202","924080205","924080201","924080204","2408002"
"924080300","924080303","924080302","924080305","924080301","924080304","2408003"
"924081100","0","0","0","924081101","0","2408004"
"924081200","0","0","0","924081201","0","2408005"
"924081300","0","0","0","924081301","0","2408006"
"924081400","0","0","0","924081401","0","2408007"
"924082100","0","0","0","924082101","0","2408008"
"924082200","0","0","0","924082201","0","2408009"
"924082300","0","0","0","924082301","0","2408010"
"924082400","0","0","0","924082401","0","2408011"
"924083100","0","0","0","924083101","0","2408012"
"924083200","0","0","0","924083201","0","2408013"
"924083300","0","0","0","924083301","0","2408014"
"924083400","0","0","0","924083401","0","2408015"
"924090100","924090103","924090102","924090105","924090101","924090104","2409001"
"924090200","924090203","924090202","924090205","924090201","924090204","2409002"
"924090300","924090303","924090302","924090305","924090301","924090304","2409003"
"924091100","0","0","0","924091101","0","2409004"
"924091200","0","0","0","924091201","0","2409005"
"924091300","0","0","0","924091301","0","2409006"
"924091400","0","0","0","924091401","0","2409007"
"924092100","0","0","0","924092101","0","2409008"
"924092200","0","0","0","924092201","0","2409009"
"924092300","0","0","0","924092301","0","2409010"
"924092400","0","0","0","924092401","0","2409011"
"924093100","0","0","0","924093101","0","2409012"
"924093200","0","0","0","924093201","0","2409013"
"924093300","0","0","0","924093301","0","2409014"
"924093400","0","0","0","924093401","0","2409015"
"924100100","924100103","924100102","924100105","924100101","924100104","2410001"
"924100200","924100203","924100202","924100205","924100201","924100204","2410002"
"924100300","924100303","924100302","924100305","924100301","924100304","2410003"
"924101100","0","0","0","924101101","0","2410004"
"924101200","0","0","0","924101201","0","2410005"
"924101300","0","0","0","924101301","0","2410006"
"924101400","0","0","0","924101401","0","2410007"
"924102100","0","0","0","924102101","0","2410008"
"924102200","0","0","0","924102201","0","2410009"
"924102300","0","0","0","924102301","0","2410010"
"924102400","0","0","0","924102401","0","2410011"
"924103100","0","0","0","924103101","0","2410012"
"924103200","0","0","0","924103201","0","2410013"
"924103300","0","0","0","924103301","0","2410014"
"924103400","0","0","0","924103401","0","2410015"
"924110100","924110103","924110102","924110105","924110101","924110104","2411001"
"924110200","924110203","924110202","924110205","924110201","924110204","2411002"
"924110300","924110303","924110302","924110305","924110301","924110304","2411003"
"924111100","0","0","0","924111101","0","2411004"
"924111200","0","0","0","924111201","0","2411005"
"924111300","0","0","0","924111301","0","2411006"
"924111400","0","0","0","924111401","0","2411007"
"924112100","0","0","0","924112101","0","2411008"
"924112200","0","0","0","924112201","0","2411009"
"924112300","0","0","0","924112301","0","2411010"
"924112400","0","0","0","924112401","0","2411011"
"924113100","0","0","0","924113101","0","2411012"
"924113200","0","0","0","924113201","0","2411013"
"924113300","0","0","0","924113301","0","2411014"
"924113400","0","0","0","924113401","0","2411015"
"924120100","924120103","924120102","924120105","924120101","924120104","2412001"
"924120200","924120203","924120202","924120205","924120201","924120204","2412002"
"924120300","924120303","924120302","924120305","924120301","924120304","2412003"
"924121100","0","0","0","924121101","0","2412004"
"924121200","0","0","0","924121201","0","2412005"
"924121300","0","0","0","924121301","0","2412006"
"924121400","0","0","0","924121401","0","2412007"
"924122100","0","0","0","924122101","0","2412008"
"924122200","0","0","0","924122201","0","2412009"
"924122300","0","0","0","924122301","0","2412010"
"924122400","0","0","0","924122401","0","2412011"
"924123100","0","0","0","924123101","0","2412012"
"924123200","0","0","0","924123201","0","2412013"
"924123300","0","0","0","924123301","0","2412014"
"924123400","0","0","0","924123401","0","2412015"
"924140100","924140103","924140102","924140105","924140101","924140104","2414001"
"924140200","924140203","924140202","924140205","924140201","924140204","2414002"
"924140300","924140303","924140302","924140305","924140301","924140304","2414003"
"924141100","0","0","0","924141101","0","2414004"
"924141200","0","0","0","924141201","0","2414005"
"924141300","0","0","0","924141301","0","2414006"
"924141400","0","0","0","924141401","0","2414007"
"924142100","0","0","0","924142101","0","2414008"
"924142200","0","0","0","924142201","0","2414009"
"924142300","0","0","0","924142301","0","2414010"
"924142400","0","0","0","924142401","0","2414011"
"924143100","0","0","0","924143101","0","2414012"
"924143200","0","0","0","924143201","0","2414013"
"924143300","0","0","0","924143301","0","2414014"
"924143400","0","0","0","924143401","0","2414015"
"925010100","925010103","925010102","925010105","925010101","925010104","2501001"
"925010200","925010203","925010202","925010205","925010201","925010204","2501002"
"925010300","925010303","925010302","925010305","925010301","925010304","2501003"
"925011100","0","0","0","925011101","0","2501004"
"925011200","0","0","0","925011201","0","2501005"
"925011300","0","0","0","925011301","0","2501006"
"925011400","0","0","0","925011401","0","2501007"
"925012100","0","0","0","925012101","0","2501008"
"925012200","0","0","0","925012201","0","2501009"
"925012300","0","0","0","925012301","0","2501010"
"925012400","0","0","0","925012401","0","2501011"
"925013100","0","0","0","925013101","0","2501012"
"925013200","0","0","0","925013201","0","2501013"
"925013300","0","0","0","925013301","0","2501014"
"925013400","0","0","0","925013401","0","2501015"
