fe9c8fd8641e2f98b2be51f11f7dc7593c9cb283aaaf6429e95ed47512a3bf7e,3e16c102c5156b44fc86fb8a399a542dfeab35db1821fd3e17fb1f11bb33cfdc,9e5325a3c3c9cda71f06445c01da323205264c181df696b3f58d6c4edcb358a5,0e0af38beb44386858d462facf4ca68f61891201dccd873d5c0a9bbdde5fed1d,88704083db006f6137f08c5e7c8b26bd305f0e7ee2475ffce4a889649ece39ad,9a1242f0b935bbc32e01d68b24bc57d5ca777814555df1a185a8d4b839fa6660,c1a7eea2b36ad33402fbe324e91b4842118451f1df08463700df1eaf3a8fb3db,f474a0656ac50a918c607a815ff5fdc90e1665af17590473e4f20ac18cabf35f,4e56b6c41909f3ceee98d06a6c8ce9a046dcc893a73a27afc28cb9efca73753c,e2938713ef39980a41824af1b0c0f343a89c6c15c16c94aa70db2ffcdef08f7a,e1c6f3a0f6e86a0af81aa48caeaf189693672bae200b13468e1e4346701b2d77,ada1e6b6dbb50bcefc3eb1f5441662722f7afbe5b107c527d8ea5325279e7caa,18d31d2644c9f384fe629260486b3d13db03e7b84ec2714af056e0844a807f62,eab387ed4f534a1d45fe556880de04a6ecf3e1903743eee87549c438246cafad
"2","0","100000","1005001","0","30","0","1.5","0","-30","10","10050","0","1.7"
"1","0.03","100000","1005001","-40","-17","1","1.5","0","25","0","10050","10050101","1.7"
"3","0","100000","1005001","-23","-32","0","1.5","0","-47","10","10050","0","1.7"
"2","0","100000","1005002","0","30","0","1.5","0","-30","10","10050","0","1.7"
"1","0.03","100000","1005002","-40","-17","1","1.5","0","25","0","10050","10050201","1.7"
"3","0","100000","1005002","-23","-32","0","1.5","0","-47","10","10050","0","1.7"
"2","0","100000","1005003","0","30","0","1.5","0","-30","10","10050","0","1.7"
"1","0.03","100000","1005003","-40","-17","1","1.5","0","25","0","10050","10050301","1.7"
"3","0","100000","1005003","-23","-32","0","1.5","0","-47","10","10050","0","1.7"
"2","0","100000","1005004","0","30","0","1.5","0","-30","10","10050","0","1.7"
"1","0.03","100000","1005004","-40","-17","1","1.5","0","25","0","10050","10050401","1.7"
"3","0","100000","1005004","-23","-32","0","1.5","0","-47","10","10050","0","1.7"
"2","0","100000","1005005","0","30","0","1.5","0","-30","10","10050","0","1.7"
"1","0.03","100000","1005005","-40","-17","1","1.5","0","25","0","10050","0","1.7"
"3","0","100000","1005005","-23","-32","0","1.5","0","-47","10","10050","0","1.7"
"2","0","100000","1007701","0","30","0","1.5","0","-30","10","10077","0","1.7"
"1","0.03","100000","1007701","-40","-17","1","1.5","0","25","0","10077","10077101","1.7"
"3","0","100000","1007701","-23","-32","0","1.5","0","-47","10","10077","0","1.7"
"2","0","100000","1007702","0","30","0","1.5","0","-30","10","10077","0","1.7"
"1","0.03","100000","1007702","-40","-17","1","1.5","0","25","0","10077","10077201","1.7"
"3","0","100000","1007702","-23","-32","0","1.5","0","-47","10","10077","0","1.7"
"2","0","100000","1007703","0","30","0","1.5","0","-30","10","10077","0","1.7"
"1","0.03","100000","1007703","-40","-17","1","1.5","0","25","0","10077","10077301","1.7"
"3","0","100000","1007703","-23","-32","0","1.5","0","-47","10","10077","0","1.7"
"2","0","100000","1007704","0","30","0","1.5","0","-30","10","10077","0","1.7"
"1","0.03","100000","1007704","-40","-17","1","1.5","0","25","0","10077","10077401","1.7"
"3","0","100000","1007704","-23","-32","0","1.5","0","-47","10","10077","0","1.7"
"2","0","100000","1007705","0","30","0","1.5","0","-30","10","10077","0","1.7"
"1","0.03","100000","1007705","-40","-17","1","1.5","0","25","0","10077","0","1.7"
"3","0","100000","1007705","-23","-32","0","1.5","0","-47","10","10077","0","1.7"
"1","0.03","100000","1008801","-50","-13","1","0.92","0","-25","10","10088","10088101","0.84"
"2","0","100000","1008801","-50","13","0","0.8","0","-25","0","10088","0","0.7"
"1","0.03","100000","1008802","-50","-13","1","0.92","0","-25","10","10088","10088201","0.84"
"2","0","100000","1008802","-50","13","0","0.8","0","-25","0","10088","0","0.7"
"1","0.03","100000","1008803","-50","-13","1","0.92","0","-25","10","10088","10088301","0.84"
"2","0","100000","1008803","-50","13","0","0.8","0","-25","0","10088","0","0.7"
"1","0.03","100000","1008804","-50","-17","1","0.92","0","-30","10","10088","10088401","0.7"
"2","0","100000","1008804","-50","30","0","0.8","0","-30","0","10088","0","0.6"
"1","0.03","100000","1008805","-50","-17","1","0.92","0","-30","10","10088","0","0.7"
"2","0","100000","1008805","-50","30","0","0.8","0","-30","0","10088","0","0.6"
"2","0","100000","2002901","0","30","0","1.5","0","-30","10","20029","0","1.7"
"1","0.03","100000","2002901","-40","-17","1","1.5","0","25","0","20029","20029101","1.7"
"3","0","100000","2002901","-23","-32","0","1.5","0","-47","10","20029","0","1.7"
"2","0","100000","2002902","0","30","0","1.5","0","-30","10","20029","0","1.7"
"1","0.03","100000","2002902","-40","-17","1","1.5","0","25","0","20029","0","1.7"
"3","0","100000","2002902","-23","-32","0","1.5","0","-47","10","20029","0","1.7"
"2","0","100000","2002903","0","30","0","1.5","0","-30","10","20029","0","1.7"
"1","0.03","100000","2002903","-40","-17","1","1.5","0","25","0","20029","0","1.7"
"3","0","100000","2002903","-23","-32","0","1.5","0","-47","10","20029","0","1.7"
"2","0","100000","2002904","0","30","0","1.5","0","-30","10","20029","0","1.7"
"1","0.03","100000","2002904","-40","-17","1","1.5","0","25","0","20029","0","1.7"
"3","0","100000","2002904","-23","-32","0","1.5","0","-47","10","20029","0","1.7"
"2","0","100000","2002905","0","30","0","1.5","0","-30","10","20029","0","1.7"
"1","0.03","100000","2002905","-40","-17","1","1.5","0","25","0","20029","0","1.7"
"3","0","100000","2002905","-23","-32","0","1.5","0","-47","10","20029","0","1.7"
"1","0.03","100000","1011501","-50","-13","1","0.92","0","-25","10","10115","10115101","0.84"
"2","0","100000","1011501","-50","13","0","0.8","0","-25","0","10115","0","0.7"
"1","0.03","100000","1011502","-50","-13","1","0.92","0","-25","10","10115","10115201","0.84"
"2","0","100000","1011502","-50","13","0","0.8","0","-25","0","10115","0","0.7"
"1","0.03","100000","1011503","-50","-13","1","0.92","0","-25","10","10115","10115301","0.84"
"2","0","100000","1011503","-50","13","0","0.8","0","-25","0","10115","0","0.7"
"1","0.03","100000","1011504","-50","-17","1","0.92","0","-30","10","10115","10115401","0.7"
"2","0","100000","1011504","-50","30","0","0.8","0","-30","0","10115","0","0.6"
"1","0.03","100000","1011505","-50","-17","1","0.92","0","-30","10","10115","0","0.7"
"2","0","100000","1011505","-50","30","0","0.8","0","-30","0","10115","0","0.6"
"1","0.03","100000","2004801","-50","-13","1","0.92","0","-25","10","20048","0","0.84"
"2","0","100000","2004801","-50","13","0","0.8","0","-25","0","20048","0","0.7"
"1","0.03","100000","2004802","-50","-13","1","0.92","0","-25","10","20048","0","0.84"
"2","0","100000","2004802","-50","13","0","0.8","0","-25","0","20048","0","0.7"
"1","0.03","100000","2004803","-50","-13","1","0.92","0","-25","10","20048","0","0.84"
"2","0","100000","2004803","-50","13","0","0.8","0","-25","0","20048","0","0.7"
