de85e2251c240bcfc00cdd69905ed2a228d191ac01adb912017d5e8555e3ba49,8c87f3a256eec8993be535a4936c805976794ac1e14f66d8860197e838794ba9,ccc0444a0fb894eb925001ccd48bc892d6264752ba8fb9ba17980b625ff84cd6,43c43d2af977b3ef6b466864dde5f8f7f4919646648896d22d93e21e306f343f,49e08758e6acaba21215192a2d6fe363b8ea0084e90176b56ea72635736f3937
"255","10001","100","30","10"
"110","10002","100","34","10"
"185","10003","100","37","10"
"388","10004","101","41","10"
"603","10005","100","46","10"
"696","10006","100","51","10"
"478","10007","100","54","10"
"240","10008","101","58","10"
"371","10009","100","62","10"
"253","10010","100","67","10"
"408","10011","100","71","10"
"342","10012","100","75","10"
"549","10013","101","78","10"
"696","10014","100","82","10"
"468","10015","100","87","10"
"641","10016","100","92","10"
"701","10017","100","96","10"
"531","10018","100","101","10"
"387","10019","100","105","10"
"315","10020","100","108","10"
"241","10021","100","112","10"
"316","10022","100","117","10"
"741","10023","100","120","10"
"1007","10024","100","125","10"
"730","10025","101","129","10"
"647","10026","100","133","10"
"836","10027","100","137","10"
"1087","10028","100","140","10"
"818","10029","100","143","10"
"558","10030","100","147","10"
"228","10031","101","152","10"
"569","10032","100","155","10"
"724","10033","101","159","10"
"367","10034","101","162","10"
"9","10035","100","165","10"
"101","10036","100","170","10"
"509","10037","101","173","10"
"214","10038","100","178","10"
"511","10039","400","183","10"
"477","10040","100","188","10"
"739","10041","100","192","10"
"485","10042","101","197","10"
"670","10043","100","202","10"
"339","10044","100","205","10"
"193","10045","100","210","10"
"376","10046","101","215","10"
"719","10047","100","219","10"
"1012","10048","100","224","10"
"1199","10049","100","227","10"
"870","10050","100","232","10"
"521","10051","100","237","10"
"632","10052","100","240","10"
"263","10053","100","244","10"
"180","10054","101","247","10"
"295","10055","100","252","10"
"594","10056","200","255","10"
"252","10057","100","259","10"
"623","10058","100","262","10"
"219","10059","101","265","10"
"379","10060","100","270","10"
"218","10061","101","273","10"
"478","10062","100","277","10"
"415","10063","100","281","10"
"700","10064","100","284","10"
"411","10065","100","289","10"
"326","10066","100","292","10"
"763","10067","101","296","10"
"591","10068","100","300","10"
"837","10069","300","304","10"
"432","10070","100","307","10"
"379","10071","100","310","10"
"31","10072","101","314","10"
"216","10073","100","317","10"
"412","10074","100","321","10"
"183","10075","101","326","10"
"57","10076","100","330","10"
"204","10077","100","335","10"
"486","10078","100","340","10"
"858","10079","100","345","10"
"584","10080","101","349","10"
"178","10081","100","352","10"
"448","10082","100","357","10"
"793","10083","100","361","10"
"1102","10084","101","364","10"
"975","10085","100","369","10"
"1132","10086","100","374","10"
"922","10087","101","379","10"
"752","10088","100","383","10"
"457","10089","100","386","10"
"367","10090","100","391","10"
"410","10091","101","395","10"
"93","10092","100","398","10"
"425","10093","100","402","10"
"54","10094","100","407","10"
"255","10095","100","410","10"
"318","10096","100","414","10"
"535","10097","101","417","10"
"467","10098","100","422","10"
"695","10099","100","425","10"
"820","10100","100","429","10"
"676","10101","101","434","10"
"880","10102","100","439","10"
"656","10103","100","444","10"
"849","10104","400","447","10"
"1077","10105","100","452","10"
"1195","10106","100","456","10"
"1053","10107","101","461","10"
"975","10108","100","464","10"
"762","10109","300","467","10"
"1120","10110","100","471","10"
"1062","10111","101","476","10"
"815","10112","100","481","10"
"680","10113","100","484","10"
"626","10114","100","488","10"
"658","10115","100","492","10"
"804","10116","100","495","10"
"645","10117","100","500","10"
"716","10118","200","503","10"
"792","10119","100","506","10"
"891","10120","100","510","10"
