fa2e7ed80ee3d6d62a869868a0a6a159d836ba0f0d3084491f0a47f477170009,96d09628ce3f92e6904d137335fc69445352b27a8a86721c3d483fcce4db0733,1192101647bf1882bf8ced4072ef5b3d76d53b165f3057ad39a37867b27717ab,a5ce315728a32031d581caad3433f21574a9970c245023117bec053d161effa4,22e3d349864fad2ef8e0357394098f369e75845fb6b05727b1c34d51a09dc923,c81b94934516cd9d15d2aff87133f9a7fb74131a6db29770fa70d4e7690f8501,d6ead34c670692fdc261393ff5da12934fda62027a5ec9e8852c80957d728195,47e40716020eaecce752622f264f63bc1ccdc40e4ec1a1de4afea2cb17c0be6f,0322f304b1c532d1d268649455518124bde4d65fdeaf7e42a433c86103353131,c8d0618eaf8a68f2866816254c015e3e082073c3527e0a7452cbf495542d5114,3f88a7cd6a0389ae06bfd74807289db0900bdb7e33ff31201af32db6395e36e5,48a7a86190d4b0b601fd6ec8c5ec95964ef8e8c2edb36ca0b70bcb6cd2c93f06,a2fc9cf73b6f33d016518e0ec3f8510ff42a2cd6e17019cb6d44f27ee9b0dcef,afb2f1e9c75efbc435f6a21dfb74b09a93c65131e1d1e2730a344096fb6ed796,f89cd82fa82870c886f48b950cc1e8e8438b2d8f222e1ca544068eb9bd728a89
"0","1","0","0","0","宮子的廚房","0","0","0","0","0","0","0","0","0"
"102","2","0","0","0","把你變成布丁喲","48","0","0","0","0","0","0","0","0"
"152","3","0","0","0","比幽靈還可怕的東西？","96","0","0","0","0","0","0","0","0"
"142","4","0","0","0","宴會要與做布丁並行","144","0","0","0","0","0","0","0","0"
"127","5","0","0","0","愛就是為了布丁","168","0","0","0","0","0","0","0","0"
"107","6","0","0","0","稍微成長了？","192","0","0","0","0","0","0","0","0"
"0","7","0","0","0","啾啾～！","240","0","0","0","0","0","0","0","0"
"153","8","0","0","20","可愛的三名手下","0","0","0","155","0","0","0","0","154"
"150","9","0","0","40","好奇怪的興趣喲","0","0","0","0","0","0","0","0","157"
"125","10","0","0","50","不要亂加很危險喲","0","0","0","0","0","0","0","0","161"
"116","11","0","0","60","這是食譜？","0","0","0","0","0","0","0","0","135"
