427c96590588f05f98129d5d6dee016a0234c5c91622e8f6516c2ec92bbb9d08,a80e5b4423de65fae43ccdf9b6b789d19172e97bf6e83cf35d29fdc428a615a0,23a6aaa33788add39ed920a1d8c0b3689bf7c867c52bb6622ec401acc4bd8066,76b529684c3e9363ab5c9ae6a93dd161cc2f95a8fb42726925908172f4a00eb4
"1","190801","3","2"
"7","0","1","1"
"8","0","1","1"
"9","0","2","2"
"10","0","3","3"
"11","0","1","1"
"12","0","1","1"
"13","0","2","1"
"14","0","2","1"
"15","0","2","1"
"16","0","3","2"
"17","0","1","1"
"18","0","1","1"
"20","0","4","3"
"21","0","2","1"
"22","0","2","1"
"25","0","4","4"
"26","0","4","4"
"27","0","2","1"
"28","0","3","2"
"29","0","1","1"
"30","0","1","1"
"32","0","4","3"
"33","0","2","1"
"34","0","2","1"
"37","0","4","4"
"38","0","4","4"
"39","0","2","1"
"40","0","3","2"
"41","0","1","1"
"42","0","1","1"
"43","0","2","2"
"44","0","3","2"
"45","0","4","3"
"46","0","2","1"
"47","0","2","1"
"48","0","3","2"
"51","0","2","1"
"52","0","3","2"
"53","0","1","1"
"54","0","1","1"
"55","0","2","2"
"56","0","3","2"
"57","0","4","3"
"58","0","2","1"
"59","0","2","1"
"60","0","3","2"
"63","0","4","4"
"64","0","4","4"
"65","0","2","1"
"66","0","3","2"
"67","0","1","1"
"68","0","1","1"
"69","0","2","2"
"70","0","3","2"
"71","0","4","3"
"72","0","2","1"
"73","0","2","1"
"74","0","3","2"
"77","0","4","4"
"78","0","4","4"
"79","0","2","2"
"80","0","3","2"
"81","0","3","2"
"83","0","4","4"
"84","0","4","4"
"85","0","1","1"
"86","0","2","2"
"87","0","3","2"
"88","0","1","1"
"89","0","1","1"
"90","0","1","1"
"91","0","1","1"
"92","0","3","2"
"93","0","3","2"
"94","0","2","1"
"95","0","2","1"
"96","0","2","1"
"97","0","1","1"
"98","0","1","1"
"99","0","1","1"
"100","0","1","1"
"101","0","2","2"
"102","0","1","1"
"103","0","1","1"
"104","0","1","1"
"105","0","1","1"
"106","0","1","1"
"107","0","1","1"
"108","0","2","2"
"109","0","2","2"
"110","0","2","2"
"111","0","2","2"
"112","0","2","1"
"113","0","2","1"
"114","0","2","1"
"115","0","2","1"
"131","0","3","2"
"132","0","1","1"
"133","0","1","1"
"134","0","1","1"
"135","0","1","1"
"136","0","1","1"
"137","0","1","1"
"138","0","1","1"
"139","0","1","1"
"140","0","1","1"
"141","0","1","1"
"142","0","1","1"
"143","0","2","1"
"144","0","1","1"
"145","0","1","1"
"146","0","1","1"
"147","0","1","1"
"148","0","1","1"
"149","0","2","1"
"150","0","1","1"
"151","0","3","3"
"152","0","1","1"
"153","0","2","2"
"154","0","1","1"
"157","0","4","4"
"158","0","4","4"
"201","0","1","1"
"202","0","3","2"
"203","0","1","1"
"204","0","8","8"
"205","0","2","1"
"206","0","1","1"
"207","0","3","2"
"208","0","1","1"
"209","0","3","3"
"301","0","1","1"
"302","0","1","1"
"303","0","1","1"
"304","0","3","2"
"305","0","3","3"
"306","0","1","1"
"307","0","2","2"
"308","0","1","1"
"401","0","4","4"
"402","0","4","4"
"403","0","1","1"
"404","0","2","1"
"405","0","3","2"
"406","0","2","3"
"407","0","2","1"
"408","0","2","2"
"501","0","4","3"
"502","0","2","1"
"503","0","2","2"
"504","0","3","2"
"505","0","2","1"
"506","0","2","1"
"507","0","2","1"
"508","0","1","1"
"509","0","1","1"
"510","0","2","2"
"511","0","2","1"
"512","0","3","2"
"601","0","4","4"
"602","0","3","3"
"603","0","3","3"
"604","0","1","1"
"605","0","2","1"
"606","0","2","2"
"607","0","2","2"
"611","0","3","3"
"612","0","3","3"
"701","0","2","2"
"702","0","2","2"
"703","0","2","1"
"704","0","2","2"
"705","0","1","1"
"706","0","4","4"
"707","0","2","2"
"708","0","2","3"
"709","0","1","2"
"801","0","2","2"
"802","0","4","3"
"803","0","2","2"
"804","0","2","2"
"805","0","1","1"
"806","0","2","2"
"807","0","1","1"
"808","0","1","1"
"809","0","2","2"
"810","0","4","3"
"811","0","2","1"
"812","0","2","1"
"813","0","2","1"
"816","0","1","1"
"901","0","3","2"
"902","0","2","1"
"903","0","1","1"
"904","0","3","2"
"905","0","1","1"
"906","0","3","2"
"907","0","2","1"
"908","0","2","1"
"909","0","2","2"
"910","0","2","2"
"913","0","4","4"
"1001","0","3","3"
"1002","0","2","2"
"1003","0","2","2"
"1004","0","3","2"
"1005","0","3","2"
"1006","0","2","1"
"1007","0","2","1"
"1008","0","4","3"
"1009","0","2","1"
"1010","0","2","1"
"1011","0","1","1"
"1012","0","1","1"
"1013","0","3","2"
"1014","0","2","2"
"1015","0","4","3"
"1018","0","1","1"
"1019","0","1","1"
"1101","0","4","4"
"1102","0","2","2"
"1103","0","3","3"
"1104","0","1","1"
"1105","0","1","1"
"1106","0","2","2"
"1107","0","2","2"
"1108","0","6","3"
"1109","0","2","1"
"1113","0","1","1"
"1201","0","4","3"
"1202","0","3","3"
"1203","0","1","1"
"1204","0","3","2"
"1205","0","1","1"
"1206","0","1","1"
"1207","0","1","1"
"1208","0","1","1"
"1211","0","1","1"
"1301","0","3","2"
"1302","0","2","2"
"1303","0","2","2"
"1304","0","1","1"
"1305","0","4","3"
