459d16c012c0e297035cb575e754efae0439e98ab73b4e2e9498379ae5926644,7ed2ed963f5792fc25af1210e94c1e39ee00c35e29aea04acf3e4baa5c84f742,635474ba067f2ac6593d4c77f410d3b7e65f99c4dbb27cc100e4589d621f8bc2,2621ccc0bfa4ad03275fbc1a6b9db06e8203e40aafdf0842f30c7fc575c2ab26,4c1cd87b5bd56e33d74c13782fe72182e4e3f2c270fc674baa383e46edcbd43d,666952eb7f1338bde0e10d62300045ee3fcc768caa9263fa152dd3be28c4c42a,37abbaf8a333be525b9ed9e99320949df595b8ed4f348d0f337b9728947eac4b,1411018816a8e52141137705d96c676d0523593bc6f80efa3ada8c950275377f,752c030f5dcc325cb0352fa4d9149965f1a62f37e2449efb68b07266ae2ddf67,d023ab972acb9a00a942b28ec0e5520fbb450184266498f92125b5fd590ce331,d8f26e78cc6cdc5d60fc7960cc0b6053a346fb92a1c8be8e4afd3d60f03819eb
"25011","10000","30000","1","","0","2","11","0","0",""
"25012","10000","30000","2","","0","2","12","0","0",""
"25021","5000","30000","3","","0","2","13","0","0",""
"91002","50","30000","4","","0","8","14","0","0",""
"25013","10000","30000","5","","0","2","15","0","0",""
"91002","50","30000","6","","0","8","16","0","0",""
"25014","10000","30000","7","","0","2","17","0","0",""
"25021","5000","30000","8","","0","2","18","0","0",""
"91002","80","30000","9","","0","8","19","0","0",""
"24001","1","30000","10","","0","2","20","0","0",""
"91002","80","30000","11","","0","8","21","0","0",""
"25015","10000","30000","12","","0","2","22","0","0",""
"25021","5000","30000","13","","0","2","23","0","0",""
"91002","100","30000","14","","0","8","24","0","0",""
"24001","1","30000","15","","0","2","25","0","0",""
"91002","150","40001","1","今天是紀念日，要慶祝才行呢！\n燒肉、壽司、披薩、蛋糕～☆\n能和你一起開派對，\n我好幸福～♪","0","8","27","107501","1","貪吃佩可"
"91002","150","40001","2","能夠在今天迎來這個紀念日，\n全拜主人的器量所賜。\n真不愧是主人呢。\n真了不起真了不起♪","0","8","28","107601","1","可可蘿"
"91002","150","40001","3","你還挺能幹的嘛！\n我有點…還蠻…非、非常\n對你刮目相看了呢。\n我就誇誇你吧♪","0","8","29","107801","1","凱留"
"91002","150","40001","4","對您和我來說，\n今天是個特別的日子。\n因為有了您的支持，\n我才能夠如此努力！","0","8","30","107701","1","鈴莓"
"91002","150","40001","5","今天對你來說是個\n特別的紀念日呢喵。\n對於你的活躍，我總是\n以貓的方式在感謝你喵～♪","0","8","31","107901","1","珠希"
"91002","150","40001","6","嗚～吃了太多的刨冰，\n身體變得好冷哦…\n請用你的體溫溫暖我吧！\n抱緊──♪","0","8","32","107501","2","貪吃佩可"
"91002","150","40001","7","夏天總是充滿著許多的危險…\n但是在下會好好地\n保護著主人的哦。","0","8","33","107601","2","可可蘿"
"91002","150","40001","8","嗯～到底為什麼會和你\n一起度過了一整個夏天啊…\n雖然我很開心就是了！\n來吧，我們要繼續玩囉！","0","8","34","107801","2","凱留"
"91002","150","40001","9"," 和您一起度過的第一個夏天…\n我現在就已經心跳不已了呢。\n快樂又美好的回憶，\n又增加一個了呢♪","0","8","35","107701","2","鈴莓"
"91002","150","40001","10","明明夏天是最好賺錢的時候，\n但今年我卻想和你\n一起度過呢喵。你能和我一起\n創造愉快的回憶喵？","0","8","36","107901","2","珠希"
"91002","300","20000","1","","0","8","47","0","0",""
"23001","20","20000","1","","0","2","48","0","0",""
"91002","300","20000","2","","0","8","49","0","0",""
"23001","20","20000","2","","0","2","50","0","0",""
"91002","300","20000","3","","0","8","51","0","0",""
"23001","20","20000","3","","0","2","52","0","0",""
"91002","300","20000","4","","0","8","53","0","0",""
"23001","20","20000","4","","0","2","54","0","0",""
"91002","500","20000","5","","0","8","55","0","0",""
"23001","20","20000","5","","0","2","56","0","0",""
"91002","300","20000","6","","0","8","57","0","0",""
"23001","20","20000","6","","0","2","58","0","0",""
"91002","300","20000","7","","0","8","59","0","0",""
"23001","20","20000","7","","0","2","60","0","0",""
"91002","300","20000","8","","0","8","61","0","0",""
"23001","20","20000","8","","0","2","62","0","0",""
"91002","300","20000","9","","0","8","63","0","0",""
"23001","20","20000","9","","0","2","64","0","0",""
"91002","600","20000","10","","0","8","65","0","0",""
"23001","20","20000","10","","0","2","66","0","0",""
"91002","150","49001","1","","0","8","67","0","0",""
"91002","150","49001","2","","0","8","68","0","0",""
"91002","150","49001","3","","0","8","69","0","0",""
"91002","150","49001","4","","0","8","70","0","0",""
"91002","150","49001","5","","0","8","71","0","0",""
"91002","150","49001","6","","0","8","72","0","0",""
"91002","150","49001","7","","0","8","73","0","0",""
"91002","150","49001","8","","0","8","74","0","0",""
"91002","150","49001","9","","0","8","75","0","0",""
"91002","150","49001","10","","0","8","76","0","0",""
"91002","150","49002","1","","0","8","77","0","0",""
"91002","150","49002","2","","0","8","78","0","0",""
"91002","150","49002","3","","0","8","79","0","0",""
"91002","150","49002","4","","0","8","80","0","0",""
"91002","150","49002","5","","0","8","81","0","0",""
"91002","150","49002","6","","0","8","82","0","0",""
"91002","150","49002","7","","0","8","83","0","0",""
"91002","150","49002","8","","0","8","84","0","0",""
"91002","150","49002","9","","0","8","85","0","0",""
"91002","150","49002","10","","0","8","86","0","0",""
"91002","150","49003","1","","0","8","87","0","0",""
"91002","150","49003","2","","0","8","88","0","0",""
"91002","150","49003","3","","0","8","89","0","0",""
"91002","150","49003","4","","0","8","90","0","0",""
"91002","150","49003","5","","0","8","91","0","0",""
"91002","150","49003","6","","0","8","92","0","0",""
"91002","150","49003","7","","0","8","93","0","0",""
"91002","150","49003","8","","0","8","94","0","0",""
"91002","150","49003","9","","0","8","95","0","0",""
"91002","150","49003","10","","0","8","96","0","0",""
"91002","1500","49004","1","","0","8","97","0","0",""
"91002","1500","49004","2","","0","8","98","0","0",""
"91002","1500","49004","3","","0","8","99","0","0",""
"91002","1500","49004","4","","0","8","100","0","0",""
"91002","1500","49004","5","","0","8","101","0","0",""
"91002","1500","49004","6","","0","8","102","0","0",""
"91002","1500","49004","7","","0","8","103","0","0",""
"91002","1500","49004","8","","0","8","104","0","0",""
"91002","150","49005","1","","0","8","105","0","0",""
"91002","150","49005","2","","0","8","106","0","0",""
"91002","150","49005","3","","0","8","107","0","0",""
