c49c818b0317195f681b7b2ed45a98edaa22d082b509dd9e299bb3a1000f853e,da29a540cd430e057bc82144c9388c96eca5e32274c0ce93d52826fc04558a75,40af9d158457c1ce99bccad81bb335aa978db20f0ff34d923aa77b3c4542ad3a,35debf0aa1893475631d4db8e058cbcc2bc1f778f9d427c2fa4ead33893e654d,4b193f4c5190ab66b627ed9ce840cad25347da7488dc467350d5d53e6c00a0dd,946737941c793112900accb2b119681ae1b0539068eebd8fe69d8d67d70b622a,59ae9255f98c996235902e3f843800ec636108f158cdd1374a334cf0736f0d49,a3b00657bb02c625702a56ca41eea30a687c4bab9b524e3cb7b208717333882f,571f6094af4c763fc1ed9022342d8cb443bd7d9aace6f698a4649d2e32297f03,7b23e91ad237d6f5fcb2f0c75a15c927769c7fc0f0517125e79cb41d0c9e42dd,09e8ee36bb81c8c518a813853563ba2df9368b7e889d81d09ca5441b10623b21,ca18702a372fd402886c37ae36b281194c606a7ed7c7a7b8d62b3edd2a3783df
"0","0","12","1","1","1120001","0","0","0","0","4","3"
"vo_nyx_0101","0","12","2","0","1120002","0","vo_nyx","0","0","2","0"
"0","278","12","3","0","1120003","1","0","2.698","0","1","0"
"0","0","12","4","3.334","1120004","0","0","0","0","4","1"
"vo_nyx_0102","0","12","5","0","1120005","0","vo_nyx","0","0","2","0"
"0","382","12","6","0","1120006","1","0","1.055","278","1","0"
"0","0","12","7","1.055","1120007","0","0","0","0","4","1"
"0","78","12","8","0","1120008","2","0","0.732","0","1","0"
"0","0","12","9","1.05","1120009","0","0","0","0","4","1"
"0","365","12","10","0","1120010","2","0","2.42","78","1","0"
"0","0","12","11","3.5","1120011","0","0","0","0","4","1"
"0","0","12","12","2","1120012","0","0","0","0","4","3"
"vo_nyx_0103","0","12","13","0","1120013","0","vo_nyx","0","0","2","0"
"0","79","12","14","0","1120014","3","0","0.815","0","1","0"
"0","0","12","15","1.157","1120015","0","0","0","0","4","1"
"0","372","12","16","0","1120016","3","0","2.763","79","1","0"
"0","0","12","17","2.763","1120017","0","0","0","0","4","1"
"0","250","12","18","0","1120018","4","0","2.388","0","1","0"
"0","0","12","19","3.338","1120019","0","0","0","0","4","1"
"vo_nyx_0104","0","12","20","0","1120020","0","vo_nyx","0","0","2","0"
"0","108","12","21","0","1120021","5","0","0.778","0","1","0"
"0","0","12","22","1.214","1120022","0","0","0","0","4","1"
"0","375","12","23","0","1120023","5","0","3.167","108","1","0"
"0","0","12","24","3.61","1120024","0","0","0","0","4","1"
"0","279","12","25","0","1120025","6","0","2.618","0","1","0"
"0","0","12","26","3.198","1120026","0","0","0","0","4","1"
"vo_nyx_0105","0","12","27","0","1120027","0","vo_nyx","0","0","2","0"
"0","392","12","28","0","1120028","6","0","1.4","279","1","0"
"0","0","12","29","1.448","1120029","0","0","0","0","4","1"
"0","309","12","30","0","1120030","7","0","2.927","0","1","0"
"0","0","12","31","3.811","1120031","0","0","0","0","4","1"
"0","0","12","32","3","1120032","0","0","0","0","4","3"
"vo_nyx_0106","0","12","33","0","1120033","0","vo_nyx","0","0","2","0"
"0","360","12","34","0","1120034","7","0","0.506","309","1","0"
"0","0","12","35","1.175","1120035","0","0","0","0","4","1"
"0","0","12","36","3","1120036","0","0","0","0","4","3"
