f901a30f791b3565b88cca65aae7c61620bc0809828f56d184986866cd961c45,f4c047383930f84368c2b1f90f67bc94863ae525e36cdbe8958cecab3fcf61fd,1fa2abd9042f6a766f5af46b41f5f64b7407f577b1fdc26a7283803936a0a57d,d108f2a67d235b669b144a5aa850da8709a42df8c2b615b2aa427008631e9ae3,cc0fc9ab04329f34b6b8c4f54b4f8ce24eed0272a73b70bf1169ed7b77184ad4,713392d2631b73eedfc284f0e5df3105f6d282ffedb13fed59b3cbfec52f8711,a94bbfb09c2641d5096ab451c6f41c7b55583fc10870d23800632378b95b07a8,acdfd9b055280adccc27384514461ca53559d3dc60d82b85604d0dc6bc135bdb,ea72160372f6aeef29f895b0572d7bbf1775e11ce9d6ca4904bc58f9e18a9c68,0922989bbc7526a607289ca5d8a79f635e4a279266e5ad6ffcf8ed5587337cef,e820fae8548a456be93514ca23d6d03372ce36d1f516fb895d6a4b06d9e60771,1de25ea212e1793a10c6a34d814a52c351c077e426978e564c1cc8800e1b7ba5,567a3b576184633ff5e2ec60787bd39ef1aba04d629b73220169b45171dbf028,6cce88911bf683b7f2422240d54938e102637677884a558ce3c3b6bed84e478f,181142540301063996b1a443b53ff33aaf584bf7d1ab3aada68e3db3e188fc92,89929fe87e4380abf63c8c0503befa156ba969758ff8ec1a3b11df051a99627b,8f9d59e79638d5fe3a88203756f394dffd68b97345b8372e0f10677e16ac9a9a,b695f91079be4e65e5b8fce65e6c8d49ef3196337b603106ad9bdff115279c75
"20","0","22003","5","12","2","2","1","150000","94002","8","0","0","20003","150","5","1","91002"
"15","0","22003","9","12","2","2","2","100000","94002","8","0","0","20003","145","2","6","91002"
"11","0","22002","19","12","2","2","3","80000","94002","8","0","0","20003","140","5","10","91002"
"10","0","22002","29","12","2","2","4","80000","94002","8","0","0","20003","130","5","20","91002"
"9","0","22002","39","12","2","2","5","70000","94002","8","0","0","20003","120","4","30","91002"
"8","0","22002","49","12","2","2","6","70000","94002","8","0","0","20003","110","4","40","91002"
"7","0","22002","99","12","2","2","7","60000","94002","8","0","0","20003","100","3","50","91002"
"2","0","22002","499","12","2","2","8","40000","94002","8","0","0","20003","80","2","100","91002"
"7","0","22002","999","12","2","2","9","20000","94002","8","0","0","20002","50","1","500","91002"
"4","0","22001","4999","12","2","2","10","16000","94002","8","0","0","20002","20","3","1000","91002"
"3","0","22001","9999","12","2","2","11","9000","94002","8","0","0","20002","15","2","5000","91002"
"8","0","22001","11999","12","2","2","12","4000","94002","8","0","0","20001","10","1","10000","91002"
"7","0","22001","13999","12","2","2","13","3000","94002","8","0","0","20001","5","1","12000","91002"
"6","0","22001","14999","12","2","2","14","2000","94002","8","0","0","20001","4","1","14000","91002"
"5","0","22001","30000","12","2","2","15","1800","94002","8","0","0","20001","3","1","15000","91002"
