68231c049b97fcffa2856536d91ad28468159387ae9f308ed65afbc04bbe6391,4f922e3e3db9459a9c2ac11676a3be329e0732a8814e9a7ae5818cf2410ab669,38afdae224ef18484b6a64995e00bd6842ea0931f71e633d99bdce1898ec8325,d3d25308c3ecfc9f25772028f06f558e8127aec1697b982d41358d8fae2b16dc,6c9d0de900397b3910aa4f476526ec99d31724527520376b1a69f3ca76f7598b,37610ab1fa727469a386e0d74b5efca287f97263e89a530ec889185b2230a79b
"26202","50000","2","1","50000","1"
"90013","10","2","1","10","2"
"26203","0","2","1","1","3"
"26202","55000","2","2","55000","4"
"90013","10","2","2","10","5"
"26203","0","2","2","1","6"
"26202","60000","2","3","60000","7"
"90013","10","2","3","10","8"
"26203","0","2","3","1","9"
"26202","65000","2","4","65000","10"
"90013","10","2","4","10","11"
"26203","0","2","4","1","12"
"26202","70000","2","5","70000","13"
"90013","10","2","5","10","14"
"26203","0","2","5","1","15"
"26202","75000","2","6","75000","16"
"90013","10","2","6","10","17"
"26203","0","2","6","1","18"
"26202","80000","2","7","80000","19"
"90013","10","2","7","10","20"
"26203","0","2","7","1","21"
"26202","85000","2","8","85000","22"
"90013","10","2","8","10","23"
"26203","0","2","8","1","24"
