dce5faed658621f3f73a4024c7c365fb1105e7d5cf4f97ed993b6c4ac64ad174,6c0a7e1b664e9dd8cd35f1d5797d253389fbc84362e29383e93c059b721cf810,63b34f0bcee43aa3b703065e3b1c0faa27263563220a7d9981608151dd2663ec,16df0f968f5159054570106fbdc6db9e98a4a141e38e2f3d34c36509bf0f0b43,60f71d4ae2a0a7a65d14418281a2abf559213a3c1bd4528ed917bdb3a23f709e,9907c64de084361d2d6271810ecad1e99745a6e395344fc42bb8dc1ff21ca0d4,f33f652f0a0bfdc1ea6400bec16bdc4de9bf2f34c2823f63dd49014ba86c38d6,88421185866fe5c9144e3303d7a39fc011616683a14ad9b1850347a376168fc2,7c39d93e7bd92b3463dd4c991a86acd2e7c9a5bd845e59c6d975feb551bd6ec9
"1","2","獨一無二的","1","0","1","3","1","1"
"1","2","完美無缺的","2","0","1","3","1","1"
"1","2","蘭德索爾最快的","3","1","1","3","1","1"
"1","2","明鏡止水的","4","0","1","3","1","1"
"1","2","史上最快的","5","0","1","3","1","1"
"1","2","最強最快的","6","0","1","3","1","1"
"1","2","極限的","7","2","1","3","1","1"
"1","2","一百分滿分","8","0","1","3","1","1"
"1","2","最優秀的","9","0","1","3","1","1"
"1","2","橫掃千軍的","10","0","1","3","1","1"
"1","2","獨一無二的","11","0","1","3","1","1"
"1","2","天下無雙的","12","0","1","3","1","1"
"1","2","泰然自若的","13","0","1","3","1","0"
"1","2","極度的","14","0","1","3","1","0"
"1","2","Light Speed","15","0","1","3","1","0"
"1","2","稀世的","16","0","1","3","1","0"
"1","2","極限的","17","0","1","3","1","0"
"1","2","至高的","18","0","1","3","1","0"
"1","2","閃耀的","19","0","1","3","1","0"
"1","2","千錘百鍊的","20","0","1","3","1","0"
"1","2","疾風迅雷的","21","0","1","3","1","0"
"1","2","電光石火的","22","0","1","3","1","0"
"1","2","變化自如的","23","0","0","3","1","1"
"1","2","空前絕後的","24","0","0","3","1","1"
"1","2","代表性的","25","0","0","3","1","1"
"1","2","音速的","26","0","0","3","1","1"
"1","2","超乎常理的","27","0","0","3","1","1"
"1","2","勇猛奮鬥的","28","0","0","3","1","1"
"1","2","勇猛果敢的","29","2","0","3","1","1"
"1","2","威風凜凜的","30","2","0","3","1","1"
"1","2","欲速則不達的","31","0","0","3","1","1"
"1","2","心態良好的","32","0","0","3","1","1"
"1","2","夢想的","33","0","0","3","1","0"
"1","2","佳的","34","0","0","3","1","0"
"1","2","一般般的","35","0","0","3","1","0"
"1","2","新手標記的","36","2","0","3","1","0"
"1","2","有未來的","37","0","0","3","1","0"
"1","2","新手的","38","0","0","3","1","0"
"1","2","初出茅廬的","39","0","0","3","1","0"
"1","2","慢慢的","40","0","0","3","1","0"
