5c16785c67fd1e0ee75a84a3f6393e89e8251a9875446d09022ab68976a9aaa3,1d646c5e71d29c9543a0c89de52554d708d08f28819cf0340d0f182327f6207d,f56081e58f24157f34cb1ca7d7fb1607f88af25b1541e34272f1d9f7e5bb1e9e,13a40052bdfa8cfc1eed7c987e1adefdf97f3a7d01fd2c8cbd9b8519df223525,2cfd28b25aa864f8cfc8b20d5c37a87c42d13825406cb3b6554d2c797750eedb,7e4947214d9d584c3ba49933e38cf59eb6e1c2804959354b386f2295a675a06b,a9af11d44f1a424ce3918bab83d5a9e4c8e8417f73eb7a1f48c5cabfe3cff0c6,86fb1becf0b74740a2248fe904eb6c2f271e1ca6faf4a5ea6e08484907022926,2cfa2ca6367287ce3d673074e000e9c83f89886417a1ac6fe1ab1562f9f3542b,fc3d78321554085038d81cf088eb4304f0b24253b269735dda04e35909642756,50ac609ccd71d0f8334285b4ab41720752bca1d6509810a78a24ebf9449eb888,bc63f14f3a5f6ba628717293460642c8f48d313ea99d5b155e8d75044c7e19d9,a8e49949ed29ce31b6c757aecf4dcbeb37b711136ecc85ac3f00ab1e37fa9ffc,44ae849a82992d7902e4e3c61c2cbb467d16d2218d23e9bbec6dc84ca6a4d56e,64adbe6ea0edea35046ae565895f15d643188d5052ef0ed288ecdf753de365bf,63fab546eec9169b370c27969a7e69381aecff5448de2b2127e1851427e6943c,16678df91024347d3997e00b7ba8b6c78ad9d9007439c374cbbecf759683a1d1,ea19bae4d2beedbd39c1946bb76e44adfeb8373714b555b6607bba5dd2bc342d,3062fc3bab0de8cd3481c4c1194e15b7e33520d9600776b6d0a2703d230447ff,7550293b6f11bd22bdb18d950ec9efed75c747131e373b7ede996baa57847a27,9ee54063b988257e843769ca85cf2dd4aef5e506ed31913f4a1bc0ab2edf2aed,e443396011a58b00fff45954cfd0e36fafafd150863b2a922583251c76810ecb
"102282","0","0","0","0","2000","1","122282","0","0","0","0","102281","0","0","0","0","0","0","0","1","0"
"102311","0","0","0","0","1500","1","122311","0","0","0","0","101281","0","0","0","0","0","0","0","1","0"
"102312","0","0","0","0","2000","1","122312","0","0","0","0","102311","0","0","0","0","0","0","0","1","0"
"102341","0","0","0","0","1500","1","122341","0","0","0","0","101581","0","0","0","0","0","0","0","1","0"
"102342","0","0","0","0","2000","1","122342","0","0","0","0","102341","0","0","0","0","0","0","0","1","0"
"102371","0","0","0","0","1500","1","122371","0","0","0","0","101371","0","0","0","0","0","0","0","1","0"
"102372","0","0","0","0","2000","1","122372","0","0","0","0","102371","0","0","0","0","0","0","0","1","0"
"102401","0","0","0","0","2000","1","122401","0","0","0","0","101401","0","0","0","0","0","0","0","1","0"
"102431","0","0","0","0","1500","1","122431","0","0","0","0","101431","0","0","0","0","0","0","0","1","0"
"102432","0","0","0","0","2000","1","122432","0","0","0","0","102431","0","0","0","0","0","0","0","1","0"
"102491","0","0","0","0","1500","1","122491","0","0","0","0","101521","0","0","0","0","0","0","0","1","0"
"102493","0","0","0","0","1500","1","122493","0","0","0","0","102311","0","0","0","0","0","0","0","1","0"
"102521","0","0","0","0","2000","1","122521","0","0","0","0","102251","0","0","0","0","0","0","0","1","0"
"102613","0","0","0","0","2000","1","122613","0","0","0","0","101611","0","0","0","0","0","0","0","1","0"
"102614","0","0","0","0","2000","1","122614","0","0","0","0","102612","0","0","0","0","0","0","0","1","0"
"103011","0","0","0","0","5000","2","113011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103012","0","0","0","0","7000","2","113012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103013","0","0","0","0","10000","2","113013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103041","0","0","0","0","7000","3","123041","0","0","0","0","103071","0","0","0","0","0","0","0","1","0"
"103042","0","0","0","0","10000","3","123042","0","0","0","0","103012","0","0","0","0","0","0","0","1","0"
"103071","0","0","0","0","5000","2","113071","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103072","0","0","0","0","10000","3","123072","0","0","0","0","103552","0","0","0","0","0","0","0","1","0"
"103101","0","0","0","0","7000","2","113101","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103131","0","0","0","0","7000","2","113131","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103132","0","0","0","0","10000","3","123132","0","0","0","0","103131","0","0","0","0","0","0","0","1","0"
"103161","0","0","0","0","5000","3","123161","0","0","0","0","102162","0","0","0","0","0","0","0","1","0"
"103162","0","0","0","0","7000","2","113162","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103191","0","0","0","0","5000","2","113191","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103192","0","102013","0","0","7000","3","123192","0","0","1","0","103191","0","0","0","0","0","0","0","1","0"
"103193","0","0","0","0","10000","3","123193","0","0","0","0","103192","0","0","0","0","0","0","0","1","0"
"103221","0","0","0","0","5000","2","113221","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103222","0","0","0","0","10000","2","113222","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103251","0","0","0","0","5000","3","123251","0","0","0","0","102251","0","0","0","0","0","0","0","1","0"
"103252","0","0","0","0","7000","2","113252","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103281","0","0","0","0","5000","3","123281","0","0","0","0","102282","0","0","0","0","0","0","0","1","0"
