1b3117893084b9764f7c2af9c31b8cf9a959d20a7283ec1d0cb9dec65c576ed9,967f0b4e563f32354d11523ad6284f3640dcd3b6c2f5c6670311ebec48427049,c12c4a702cd760a673a958826f05255f30cbc33383567a72b83964a7fe3feaf3,fc895ce7a822b058ecce9737fc27845d9d526b96c29a9b4eb1abd57e8fbec390,520e560c2914ae3e2ffc99d5ff50782aa2c7fdfed2cffad622b0e3e3c1e77962,5df0450586ae5fb42ef3170b636ae70978da0cb2ca4c313622808461fba3c568,1fccfb4b49a2ab171418c6a5c38bb6b26e2ead1c130265034950cc060957eceb,43c42db62b3cb5f0e252234f34fcbb0fe74263d6d28bf026e653f4311424f195,83bb785ed52ee2e5fb666d8c42dc5dbef16839de761f53e05fa7a653ffdbe6e1,b8b7a0c83b65b50c838279704942d1c6abc3cba7523ce56c9f1a283c943021b7,6cdfbc9a13cf6f80b4243aeab29e3152af02acf6bdec631ed1244635a1055bc9,a599f9551ee4ce027fce5566455c29ebfe45751d29d15e417cde0223b8876a72,acbe31b21580b6009104e148bce7f2d1b27ead563fa8ea34f86936756060ed4f,282e67cfee7c3b50ed77269df499f342990afbb3bc8577903c1b4537784d6403,5425e3ee52dd63395b6aced3e4f6733a89e1674bab5ce2e02465175d372642fd,cb10f3921b817958a6ff830dc5705db54d8026879ffcca55a983f4bce55ed0fa,24ae548e0879a284e4470840c6e74841bb44ef8d3551ba4936b0361bc3873ac4,0b527ea7564f3d14bf267ec7910038f689384a9a263ba629447f68e6aa48707b,9ed9f12cb18f028a192bd6d65f2d6be219c1f3d739846557c85cea1298c0e475,5fb3e55180dd4dbbdb0c1a4e64bfc4fa4101a3d175261013ae5ded3a331206ce
"1","0","12","0","10153","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"2","0","12","0","10153","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"3","0","8","0","10153","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"4","0","12","0","10153","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"5","0","8","0","10153","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"6","0","12","0","10153","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"7","0","12","0","10153","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"8","0","8","0","10153","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"9","0","12","0","10153","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"10","0","8","0","10153","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"11","0","12","0","10153","0","3","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"12","0","12","0","10153","0","3","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"13","0","8","0","10153","0","3","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"14","0","12","0","10153","0","3","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"15","0","8","0","10153","0","3","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1001901","0","12","0","20015","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","15000"
"1001902","0","12","0","20015","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","37500"
"1001903","0","8","0","20015","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","75"
"1001904","0","12","0","20015","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","75000"
"1001905","0","8","0","20015","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","150"
"1001906","0","12","0","20015","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","15000"
"1001907","0","12","0","20015","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","37500"
"1001908","0","8","0","20015","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","75"
"1001909","0","12","0","20015","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","75000"
"1001910","0","8","0","20015","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","150"
"1002301","0","12","0","20017","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002302","0","12","0","20017","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002303","0","8","0","20017","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002304","0","12","0","20017","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002305","0","8","0","20017","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002306","0","12","0","20017","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002307","0","12","0","20017","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002308","0","8","0","20017","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002309","0","12","0","20017","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002310","0","8","0","20017","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002311","0","12","0","20017","0","3","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002312","0","12","0","20017","0","3","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002313","0","8","0","20017","0","3","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002314","0","12","0","20017","0","3","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002315","0","8","0","20017","0","3","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002501","0","12","0","20018","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002502","0","12","0","20018","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002503","0","8","0","20018","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002504","0","12","0","20018","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002505","0","8","0","20018","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002506","0","12","0","20018","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002507","0","12","0","20018","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002508","0","8","0","20018","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002509","0","12","0","20018","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002510","0","8","0","20018","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002511","0","12","0","20018","0","3","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002512","0","12","0","20018","0","3","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002513","0","8","0","20018","0","3","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002514","0","12","0","20018","0","3","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002515","0","8","0","20018","0","3","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002701","0","12","0","20019","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002702","0","12","0","20019","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002703","0","8","0","20019","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002704","0","12","0","20019","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002705","0","8","0","20019","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002706","0","12","0","20019","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002707","0","12","0","20019","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002708","0","8","0","20019","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002709","0","12","0","20019","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002710","0","8","0","20019","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002901","0","12","0","20020","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002902","0","12","0","20020","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002903","0","8","0","20020","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002904","0","12","0","20020","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002905","0","8","0","20020","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002906","0","12","0","20020","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002907","0","12","0","20020","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002908","0","8","0","20020","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002909","0","12","0","20020","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002910","0","8","0","20020","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1002911","0","12","0","20020","0","3","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1002912","0","12","0","20020","0","3","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1002913","0","8","0","20020","0","3","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1002914","0","12","0","20020","0","3","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1002915","0","8","0","20020","0","3","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1003301","0","12","0","20022","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1003302","0","12","0","20022","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1003303","0","8","0","20022","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1003304","0","12","0","20022","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1003305","0","8","0","20022","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1003306","0","12","0","20022","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1003307","0","12","0","20022","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1003308","0","8","0","20022","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1003309","0","12","0","20022","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1003310","0","8","0","20022","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1003801","0","12","0","20023","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1003802","0","12","0","20023","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1003803","0","8","0","20023","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1003804","0","12","0","20023","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1003805","0","8","0","20023","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1003806","0","12","0","20023","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1003807","0","12","0","20023","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1003808","0","8","0","20023","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1003809","0","12","0","20023","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1003810","0","8","0","20023","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1003811","0","12","0","20023","0","3","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","10000"
"1003812","0","12","0","20023","0","3","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","25000"
"1003813","0","8","0","20023","0","3","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","50"
"1003814","0","12","0","20023","0","3","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","50000"
"1003815","0","8","0","20023","0","3","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","100"
"1004001","0","12","0","20024","0","1","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","7500"
"1004002","0","12","0","20024","0","1","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","17500"
"1004003","0","8","0","20024","0","1","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","30"
"1004004","0","12","0","20024","0","1","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","40000"
"1004005","0","8","0","20024","0","1","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","90"
"1004006","0","12","0","20024","0","2","0","0","100","0","0","0","94002","0","讓信賴度達到100吧","0","0","0","7500"
"1004007","0","12","0","20024","0","2","0","0","200","0","0","0","94002","0","讓信賴度達到200吧","0","0","0","17500"
"1004008","0","8","0","20024","0","2","0","0","500","0","0","0","91002","0","讓信賴度達到500吧","0","0","0","30"
"1004009","0","12","0","20024","0","2","0","0","800","0","0","0","94002","0","讓信賴度達到800吧","0","0","0","40000"
"1004010","0","8","0","20024","0","2","0","0","1000","0","0","0","91002","0","讓信賴度達到MAX吧","0","0","0","90"
