f9bf4d9d3c4b7f721b1048aee3e84ce92d4ea2471a7dc229318d9f6163ae49f7,a14525a876577a208c3f3b3bf7b89c548c9406c4da3767430d4b125217050482,58af35dcbff7d10e66e45e39babd43c92b8afc7df3e41de1f9fa4d7cb670a65c,077f325c18dc307ebb5920db85d5ed56697dace2dddefe155b2e5564d2af8715,3f962835892db9ce348a4be77b3fca3b2ec06a18b9dde2f1aa9d74a4fc4208bb,0d9aad0e560cf7e27b54783b8c74eab686f3525badb794bc4c469e9ff9e676af,5b8354ef395a0f6c362e10c795b815d64e20def14da3a10f5ac40896453311c8
"0","0","10101","0","300","1","2"
"1","0","10101","0","360","1","2"
"2","0","10101","0","420","1","2"
"3","0","10101","0","480","1","2"
"4","0","10101","0","540","1","2"
"5","0","10101","0","600","1","2"
"0","0","10101","0","900","2","2"
"1","0","10101","0","960","2","2"
"2","0","10101","0","1020","2","2"
"3","0","10101","0","1080","2","2"
"4","0","10101","0","1140","2","2"
"5","0","10101","0","1200","2","2"
"0","0","10101","0","1500","3","2"
"1","0","10101","0","1560","3","2"
"2","0","10101","0","1620","3","2"
"3","0","10101","0","1680","3","2"
"4","0","10101","0","1740","3","2"
"5","0","10101","0","1800","3","2"
"0","0","10101","0","2100","4","2"
"1","0","10101","0","2160","4","2"
"2","0","10101","0","2220","4","2"
"3","0","10101","0","2280","4","2"
"4","0","10101","0","2340","4","2"
"5","0","10101","0","2400","4","2"
"0","0","10101","0","2700","5","2"
"1","0","10101","0","2760","5","2"
"2","0","10101","0","2820","5","2"
"3","0","10101","0","2880","5","2"
"4","0","10101","0","2940","5","2"
"5","0","10101","0","3000","5","2"
"0","0","10102","0","150","1","5"
"1","0","10102","0","180","1","5"
"2","0","10102","0","210","1","5"
"3","0","10102","0","240","1","5"
"4","0","10102","0","270","1","5"
"5","0","10102","0","300","1","5"
"0","0","10102","0","450","2","5"
"1","0","10102","0","480","2","5"
"2","0","10102","0","510","2","5"
"3","0","10102","0","540","2","5"
"4","0","10102","0","570","2","5"
"5","0","10102","0","600","2","5"
"0","0","10102","0","750","3","5"
"1","0","10102","0","780","3","5"
"2","0","10102","0","810","3","5"
"3","0","10102","0","840","3","5"
"4","0","10102","0","870","3","5"
"5","0","10102","0","900","3","5"
"0","0","10102","0","1050","4","5"
"1","0","10102","0","1080","4","5"
"2","0","10102","0","1110","4","5"
"3","0","10102","0","1140","4","5"
"4","0","10102","0","1170","4","5"
"5","0","10102","0","1200","4","5"
"0","0","10102","0","1350","5","5"
"1","0","10102","0","1380","5","5"
"2","0","10102","0","1410","5","5"
"3","0","10102","0","1440","5","5"
"4","0","10102","0","1470","5","5"
"5","0","10102","0","1500","5","5"
"0","0","10103","0","150","1","7"
"1","0","10103","0","180","1","7"
"2","0","10103","0","210","1","7"
"3","0","10103","0","240","1","7"
"4","0","10103","0","270","1","7"
"5","0","10103","0","300","1","7"
"0","0","10103","0","450","2","7"
"1","0","10103","0","480","2","7"
"2","0","10103","0","510","2","7"
"3","0","10103","0","540","2","7"
"4","0","10103","0","570","2","7"
"5","0","10103","0","600","2","7"
"0","0","10103","0","750","3","7"
"1","0","10103","0","780","3","7"
"2","0","10103","0","810","3","7"
"3","0","10103","0","840","3","7"
"4","0","10103","0","870","3","7"
"5","0","10103","0","900","3","7"
"0","0","10103","0","1050","4","7"
"1","0","10103","0","1080","4","7"
"2","0","10103","0","1110","4","7"
"3","0","10103","0","1140","4","7"
"4","0","10103","0","1170","4","7"
"5","0","10103","0","1200","4","7"
"0","0","10103","0","1350","5","7"
"1","0","10103","0","1380","5","7"
"2","0","10103","0","1410","5","7"
"3","0","10103","0","1440","5","7"
"4","0","10103","0","1470","5","7"
"5","0","10103","0","1500","5","7"
"0","0","10104","0","300","1","10"
"1","0","10104","0","360","1","10"
"2","0","10104","0","420","1","10"
"3","0","10104","0","480","1","10"
"4","0","10104","0","540","1","10"
"5","0","10104","0","600","1","10"
"0","0","10104","0","900","2","10"
"1","0","10104","0","960","2","10"
"2","0","10104","0","1020","2","10"
"3","0","10104","0","1080","2","10"
"4","0","10104","0","1140","2","10"
"5","0","10104","0","1200","2","10"
"0","0","10104","0","1500","3","10"
"1","0","10104","0","1560","3","10"
"2","0","10104","0","1620","3","10"
"3","0","10104","0","1680","3","10"
"4","0","10104","0","1740","3","10"
"5","0","10104","0","1800","3","10"
"0","0","10104","0","2100","4","10"
"1","0","10104","0","2160","4","10"
"2","0","10104","0","2220","4","10"
"3","0","10104","0","2280","4","10"
"4","0","10104","0","2340","4","10"
"5","0","10104","0","2400","4","10"
"0","0","10104","0","2700","5","10"
"1","0","10104","0","2760","5","10"
"2","0","10104","0","2820","5","10"
"3","0","10104","0","2880","5","10"
"4","0","10104","0","2940","5","10"
"5","0","10104","0","3000","5","10"
"0","0","10201","0","300","1","2"
"1","0","10201","0","360","1","2"
"2","0","10201","0","420","1","2"
"3","0","10201","0","480","1","2"
"4","0","10201","0","540","1","2"
"5","0","10201","0","600","1","2"
"0","0","10201","0","900","2","2"
"1","0","10201","0","960","2","2"
"2","0","10201","0","1020","2","2"
"3","0","10201","0","1080","2","2"
"4","0","10201","0","1140","2","2"
"5","0","10201","0","1200","2","2"
"0","0","10201","0","1500","3","2"
"1","0","10201","0","1560","3","2"
"2","0","10201","0","1620","3","2"
"3","0","10201","0","1680","3","2"
"4","0","10201","0","1740","3","2"
"5","0","10201","0","1800","3","2"
"0","0","10201","0","2100","4","2"
"1","0","10201","0","2160","4","2"
"2","0","10201","0","2220","4","2"
"3","0","10201","0","2280","4","2"
"4","0","10201","0","2340","4","2"
"5","0","10201","0","2400","4","2"
"0","0","10201","0","2700","5","2"
"1","0","10201","0","2760","5","2"
"2","0","10201","0","2820","5","2"
"3","0","10201","0","2880","5","2"
"4","0","10201","0","2940","5","2"
"5","0","10201","0","3000","5","2"
"0","0","10202","0","150","1","5"
"1","0","10202","0","180","1","5"
"2","0","10202","0","210","1","5"
"3","0","10202","0","240","1","5"
"4","0","10202","0","270","1","5"
"5","0","10202","0","300","1","5"
"0","0","10202","0","450","2","5"
"1","0","10202","0","480","2","5"
"2","0","10202","0","510","2","5"
"3","0","10202","0","540","2","5"
"4","0","10202","0","570","2","5"
"5","0","10202","0","600","2","5"
"0","0","10202","0","750","3","5"
"1","0","10202","0","780","3","5"
"2","0","10202","0","810","3","5"
"3","0","10202","0","840","3","5"
"4","0","10202","0","870","3","5"
"5","0","10202","0","900","3","5"
"0","0","10202","0","1050","4","5"
"1","0","10202","0","1080","4","5"
"2","0","10202","0","1110","4","5"
"3","0","10202","0","1140","4","5"
"4","0","10202","0","1170","4","5"
"5","0","10202","0","1200","4","5"
"0","0","10202","0","1350","5","5"
"1","0","10202","0","1380","5","5"
"2","0","10202","0","1410","5","5"
"3","0","10202","0","1440","5","5"
"4","0","10202","0","1470","5","5"
"5","0","10202","0","1500","5","5"
"0","0","10203","0","150","1","6"
"1","0","10203","0","180","1","6"
"2","0","10203","0","210","1","6"
"3","0","10203","0","240","1","6"
"4","0","10203","0","270","1","6"
"5","0","10203","0","300","1","6"
"0","0","10203","0","450","2","6"
"1","0","10203","0","480","2","6"
"2","0","10203","0","510","2","6"
"3","0","10203","0","540","2","6"
"4","0","10203","0","570","2","6"
"5","0","10203","0","600","2","6"
"0","0","10203","0","750","3","6"
"1","0","10203","0","780","3","6"
"2","0","10203","0","810","3","6"
"3","0","10203","0","840","3","6"
"4","0","10203","0","870","3","6"
"5","0","10203","0","900","3","6"
"0","0","10203","0","1050","4","6"
"1","0","10203","0","1080","4","6"
"2","0","10203","0","1110","4","6"
"3","0","10203","0","1140","4","6"
"4","0","10203","0","1170","4","6"
"5","0","10203","0","1200","4","6"
"0","0","10203","0","1350","5","6"
"1","0","10203","0","1380","5","6"
"2","0","10203","0","1410","5","6"
"3","0","10203","0","1440","5","6"
"4","0","10203","0","1470","5","6"
"5","0","10203","0","1500","5","6"
"0","0","10204","0","300","1","10"
"1","0","10204","0","360","1","10"
"2","0","10204","0","420","1","10"
"3","0","10204","0","480","1","10"
"4","0","10204","0","540","1","10"
"5","0","10204","0","600","1","10"
"0","0","10204","0","900","2","10"
"1","0","10204","0","960","2","10"
"2","0","10204","0","1020","2","10"
"3","0","10204","0","1080","2","10"
"4","0","10204","0","1140","2","10"
"5","0","10204","0","1200","2","10"
"0","0","10204","0","1500","3","10"
"1","0","10204","0","1560","3","10"
"2","0","10204","0","1620","3","10"
"3","0","10204","0","1680","3","10"
"4","0","10204","0","1740","3","10"
"5","0","10204","0","1800","3","10"
"0","0","10204","0","2100","4","10"
"1","0","10204","0","2160","4","10"
"2","0","10204","0","2220","4","10"
"3","0","10204","0","2280","4","10"
"4","0","10204","0","2340","4","10"
"5","0","10204","0","2400","4","10"
"0","0","10204","0","2700","5","10"
"1","0","10204","0","2760","5","10"
"2","0","10204","0","2820","5","10"
"3","0","10204","0","2880","5","10"
"4","0","10204","0","2940","5","10"
"5","0","10204","0","3000","5","10"
"0","0","10301","0","150","1","1"
"1","0","10301","0","180","1","1"
"2","0","10301","0","210","1","1"
"3","0","10301","0","240","1","1"
"4","0","10301","0","270","1","1"
"5","0","10301","0","300","1","1"
"0","0","10301","0","450","2","1"
"1","0","10301","0","480","2","1"
"2","0","10301","0","510","2","1"
"3","0","10301","0","540","2","1"
"4","0","10301","0","570","2","1"
"5","0","10301","0","600","2","1"
"0","0","10301","0","750","3","1"
"1","0","10301","0","780","3","1"
"2","0","10301","0","810","3","1"
"3","0","10301","0","840","3","1"
"4","0","10301","0","870","3","1"
"5","0","10301","0","900","3","1"
"0","0","10301","0","1050","4","1"
"1","0","10301","0","1080","4","1"
"2","0","10301","0","1110","4","1"
"3","0","10301","0","1140","4","1"
"4","0","10301","0","1170","4","1"
"5","0","10301","0","1200","4","1"
"0","0","10301","0","1350","5","1"
"1","0","10301","0","1380","5","1"
"2","0","10301","0","1410","5","1"
"3","0","10301","0","1440","5","1"
"4","0","10301","0","1470","5","1"
"5","0","10301","0","1500","5","1"
"0","0","10302","0","150","1","3"
"1","0","10302","0","180","1","3"
"2","0","10302","0","210","1","3"
"3","0","10302","0","240","1","3"
"4","0","10302","0","270","1","3"
"5","0","10302","0","300","1","3"
"0","0","10302","0","450","2","3"
"1","0","10302","0","480","2","3"
"2","0","10302","0","510","2","3"
"3","0","10302","0","540","2","3"
"4","0","10302","0","570","2","3"
"5","0","10302","0","600","2","3"
"0","0","10302","0","750","3","3"
"1","0","10302","0","780","3","3"
"2","0","10302","0","810","3","3"
"3","0","10302","0","840","3","3"
"4","0","10302","0","870","3","3"
"5","0","10302","0","900","3","3"
"0","0","10302","0","1050","4","3"
"1","0","10302","0","1080","4","3"
"2","0","10302","0","1110","4","3"
"3","0","10302","0","1140","4","3"
"4","0","10302","0","1170","4","3"
"5","0","10302","0","1200","4","3"
"0","0","10302","0","1350","5","3"
"1","0","10302","0","1380","5","3"
"2","0","10302","0","1410","5","3"
"3","0","10302","0","1440","5","3"
"4","0","10302","0","1470","5","3"
"5","0","10302","0","1500","5","3"
"0","0","10303","0","150","1","4"
"1","0","10303","0","180","1","4"
"2","0","10303","0","210","1","4"
"3","0","10303","0","240","1","4"
"4","0","10303","0","270","1","4"
"5","0","10303","0","300","1","4"
"0","0","10303","0","450","2","4"
"1","0","10303","0","480","2","4"
"2","0","10303","0","510","2","4"
"3","0","10303","0","540","2","4"
"4","0","10303","0","570","2","4"
"5","0","10303","0","600","2","4"
"0","0","10303","0","750","3","4"
"1","0","10303","0","780","3","4"
"2","0","10303","0","810","3","4"
"3","0","10303","0","840","3","4"
"4","0","10303","0","870","3","4"
"5","0","10303","0","900","3","4"
"0","0","10303","0","1050","4","4"
"1","0","10303","0","1080","4","4"
"2","0","10303","0","1110","4","4"
"3","0","10303","0","1140","4","4"
"4","0","10303","0","1170","4","4"
"5","0","10303","0","1200","4","4"
"0","0","10303","0","1350","5","4"
"1","0","10303","0","1380","5","4"
"2","0","10303","0","1410","5","4"
"3","0","10303","0","1440","5","4"
"4","0","10303","0","1470","5","4"
"5","0","10303","0","1500","5","4"
"0","0","10304","0","200","1","11"
"1","0","10304","0","240","1","11"
"2","0","10304","0","280","1","11"
"3","0","10304","0","320","1","11"
"4","0","10304","0","360","1","11"
"5","0","10304","0","400","1","11"
"0","0","10304","0","600","2","11"
"1","0","10304","0","640","2","11"
"2","0","10304","0","680","2","11"
"3","0","10304","0","720","2","11"
"4","0","10304","0","760","2","11"
"5","0","10304","0","800","2","11"
"0","0","10304","0","1000","3","11"
"1","0","10304","0","1040","3","11"
"2","0","10304","0","1080","3","11"
"3","0","10304","0","1120","3","11"
"4","0","10304","0","1160","3","11"
"5","0","10304","0","1200","3","11"
"0","0","10304","0","1400","4","11"
"1","0","10304","0","1440","4","11"
"2","0","10304","0","1480","4","11"
"3","0","10304","0","1520","4","11"
"4","0","10304","0","1560","4","11"
