20bb6c58061d7f9fb61081af4a7858284a38db43e28cfd4d4e8b4fa0b9b7a44e,42382dd61c4007ef79afb7319c2f258605af44bb0fdecbd6bc0367674cc75876,c5e4a1f2ae3eef1b3c9c29878743f94ea5c181b6c186eabd54ed4ecabaf767c8,3c606a75be8122d0f4c8077d300bac79e93b0a9520e271f3e911aadc7285c8a8,cb54ca8696969483f506ee0b19051e67d7d28b15bfa93db706845aef7b847522,89e882e7a403c5aa3aafaf74d9c5e76d774e2f1a8334d73d6c07daff49be7382,29ffd74327f03f5e0342f9b2ed5fd33729099f1a0ff345eda67b946abdeac641
"1","5126700","50000","2500","94002","取得累積分數2500分","12"
"1","0","50000","5000","94002","取得累積分數5000分","12"
"1","0","50000","7500","94002","取得累積分數7500分","12"
"1","5126701","1","10000","2839","取得累積分數10000分","7"
"1","0","80000","12500","94002","取得累積分數12500分","12"
"1","0","80000","15000","94002","取得累積分數15000分","12"
"1","0","80000","17500","94002","取得累積分數17500分","12"
"1","5126702","25","20000","91002","取得累積分數20000分","8"
"1","0","100000","22500","94002","取得累積分數22500分","12"
"1","0","100000","25000","94002","取得累積分數25000分","12"
"1","0","100","27500","91002","取得累積分數27500分","8"
"1","5126703","1","30000","11001262","取得累積分數30000分","15"
"2","5126710","50000","2500","94002","取得累積分數2500分","12"
"2","0","50000","5000","94002","取得累積分數5000分","12"
"2","0","50000","7500","94002","取得累積分數7500分","12"
"2","5126711","1","10000","2840","取得累積分數10000分","7"
"2","0","80000","12500","94002","取得累積分數12500分","12"
"2","0","80000","15000","94002","取得累積分數15000分","12"
"2","0","80000","17500","94002","取得累積分數17500分","12"
"2","5126712","25","20000","91002","取得累積分數20000分","8"
"2","0","100000","22500","94002","取得累積分數22500分","12"
"2","0","100000","25000","94002","取得累積分數25000分","12"
"2","0","100","27500","91002","取得累積分數27500分","8"
"2","5126713","1","30000","11001263","取得累積分數30000分","15"
