e1e01567ad1057e7d0b176c8b03085670eb16f2f0e595c277c98c473f4641134,ed1a3fe5c89e6a89c7feab91a2a4e65c872d7a9e5e5603d13cbc1fcd5d59b4bd,32f9fd8b17f678b986e96d0fa433395db7af15526808192309469eb9e040abcc,fe842c5dc11d2c2a5d67c75f067565604dee183a7db8df4b697be2c927bd5cd3,cf2e7ab6bbd4a149eb9bcab0d9e64706c4ce9bfa019503b35e27e09074cc7d78,fc8f93c061222acb05b639d66d2a22575312e36b3c2dadb2a798105c0e439fee,32d151b162d3d9e49f52de5077e139262490fb1c743e71df68e8d31e5eb3812e,2ab73c578da476d292b498a6129d7b4b1f247727ed8d4e1b46efa41300996dbf,e10c2e8eae06e460f7cdaa3f8a711b9787bbefde33cc7115a66354c21aa7aac5,a3547e325d26e1565dc41726bafbe570382705c4ce7c25fa38c654fbd429e23b,23f246e60f30b9c669812bd759e180ffd3c29a6373d3c1285ec21e8c184904e0,b83f75df0f91717de13aa7c48418e62fc0428fd20daf77f3e501e5d8fa9aa17a,add41867b9afe09490ded54ce0c9fee385017cfd70e34c82041828de4a82a509,1c287d2708f8f8bea76e0dbc97dac7050313092da6742aa7011c2678237c2d0a
"100","惠理子","0","10142","恭喜你們，訓練成功。\n在該誇獎時，好好地誇獎，\n也是教官的職責。還是說，\n你們比較喜歡被痛罵呢？嘻嘻。","10.85","100","24","7","0","1","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"101","惠理子","0","10142","就算是嚴苛的訓練，結束後回顧，\n還是會覺得時光稍縱即逝呢。\n坦白說，我甚至鬧得不夠盡興……\n沒事，沒什麼。嘻嘻。","11.15","101","24","2","0","1","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"102","惠理子","0","10142","將擋住去路的可恨礙事者全部擊垮，\n漂亮地抵達終點……！\n簡直就是象徵我與那位大人的\n人生路途……","6.4","102","24","5","0","7","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"103","惠理子","0","10142","這結果太令人失望了。\n但是，還有挽回的機會。\n為了擺脫垃圾蟲的地位，\n你們下次要拚死努力。聽到了嗎？","0","103","24","3","0","3","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"104","惠理子","0","10142","嘻嘻……啊，您毋須擔心，\n我只是在思考要給予\n留下這種難看成績的傢伙們\n什麼樣的處罰才適合……嘻嘻嘻。","2.43","104","24","8","0","2","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"105","惠理子","0","10142","要是我沒能以教官的身分得到認可，\n就會讓那位大人感到失望……\n唯獨這件事絕對不能發生，\n你們也很清楚吧？","9.08","105","24","3","0","4","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"106","惠理子","0","10142","雖然這結果不算差，\n但要是這點程度就感到滿足，\n那可傷腦筋了。身為惠理子班的一員，\n你們還得以更高的境界為目標才行。","0","106","24","6","0","6","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"107","惠理子","0","10142","接受我的指導，卻交出這種結果……\n我得更認真思考才行呢。\n思考如要讓你們時刻不敢懈怠，\n需要什麼樣的管教……嘻嘻。","10.6","107","24","8","0","3","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"108","惠理子","0","10142","要因完成訓練而獎勵，\n還是因沒能完全發揮實力而懲罰……\n這樣的結果該如何處置各位，\n讓我有些傷腦筋呢。","7.54","108","24","4","0","6","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
"109","惠理子","0","10142","剛才的奮戰英姿值得誇讚。\n這也是你們的努力，\n與我這位優秀教官的教育結果。\n是吧？嘻嘻嘻……","11.5","109","24","7","0","2","129901","2024/08/01 16:00:00","2030/12/17 14:59:59"
