190ad51c74bff5a4e421c222890f224d5e6b5c157a80ae956e4c8051a1046265,37a6940eea2665ba19a630a70ea4317d946fb363bdc2ff96a47fe21b3a0d45b5,0b3a8c3b969331a62e7ec88277d59e9f836c99eefc4f668c493d0640b69a945e,418604a68871ff7145ebbd3fdb1fd10ad7607a566189dcb0df87bf871faf0603,a9f23d83cbfe318851d992c56a2c42a85b2259353924159ab6b9847c61cc1631,d8042c23335e8cefd53a9699b86ba74149bf14c42922ed14da39e81d57fa4a9a,61921a2af13ffbb916ab0bc547de6cbba3a880071c0bc6dcae7907b265d5a1bd,3d88c629d7387550f5d88187e6a4303257ccfc58bd4c918cab49603b44d4b91c,c8ee2cab1c78b4fde812f83ac1e3d41885fa39a2d14d9916377a73adb9075a44,8a00445b3c2ebd39392845b2f9a4dfb325d31fab15319b28486a8fdd8bddedb2,adbef0491f2a32fcb7aadec2baa4e98ad7d3c400633f12a8a145281b9232385e,aefb8ba79e4c01e20cf46dc4a356b7011badb9eb50d58a263f156343ada81f5d
"0","0","0","0","0","0","0","1","0","0","0","0"
"0","1","0","3","0","0","0","11002","1","800","2","0"
"0","1","0","1","0","0","0","12001","1","500","1","0"
"0","1","0","1","0","0","0","12002","1","700","1","0"
"0","1","0","1","0","0","0","13001","1","600","2","0"
"0","1","0","1","0","0","0","13002","1","700","2","0"
"0","1","0","1","0","0","0","14002","1","600","2","0"
"0","2","0","3","0","0","0","21001","1","900","2","0"
"0","8000","0","0","0","0","0","22001","2","0","0","0"
"0","5","1","99","0","0","0","23001","3","1","1","0"
"0","7","1","99","0","0","0","23002","3","1","1","0"
"0","0","1","0","0","0","0","25001","5","3","4","0"
"0","0","0","0","0","0","0","25002","5","0","1","1"
"0","1","1","0","0","0","0","25003","5","3","4","0"
"0","1","0","0","0","0","0","25004","5","0","1","1"
"0","76","0","0","0","0","0","26001","6","37","0","40"
"0","2","0","0","0","0","0","27001","7","1","0","1"
"0","3","0","0","0","0","0","27002","7","1","0","1"
"0","0","0","0","0","0","0","28001","8","0","0","0"
