77aa9a702319691668225bd337ed8b4cdd139e17e4f9d964bfd3ff7532d9c067,f5c8412935a25e2722a1fbed9dbee3c92935999c7e2b0f8d33756fbeecf22213,6f17a5a95bfec6839bc43d97a6e3ae8291e87c41ece8d716d0940cbc66d4b099,b0e4bb1b4222a9fa5b693e99bb45a42df48e93d8fd76b6c720362cd68736a037,baabf187134a1946d23ecb7cf96d49a4993beea98c0011354134cf90d717323a,e06f3a2c3f553e41e57ae8592c73501ed5e1d28fbffde7762aef73812f6ac08b,541dd569bf9e8c96cfdcedd49aed1070220ae276fc1790c91a9727ac0a83ef67,72acf1dd00a898a7892e3d77ce5b3fb32c8f6ece47a1626646d40f29a74f0672,8aef1f93fa2398d948dcb83c89308ac4b1afaa88d84536799588f921d9d241c5,036b3b21c1801a659a1f7ddf0639f969fce98dcc69132f40e0b9043dbd0b5ef7,09d4ac16343a9ba15e5d2b78b59a8718d11361f852be2fc80d5012de85659a0c,5b299cd817122616ecb153639ce643d1d47622f002ca15386a59d8d9bf5386f2,9085f74474390391a2cac7d09f5cdfe83e5f93cd6cd857f87cc2dd8009685c0f,1a1fef4f695b35cb27f10ef5b7a643902c12238e2efd950058dd548409cb6297,17fd531dada7f3eaf781ee0789b7c06a57d4bd7830e87ef2305ee6a35ec78647,52724d659083053b99e0f5abda36fdd55ef71afc9dd33238f63aef39ba39c827,9c12d8ea74b868f8d8711aca7777a9c3d645e903909bc5db91b3901675e60e14,5dc56c8e2d7ec7fae55b82bcd24bd77e14fc9803e4b6cc536c503a698c445aed,d5f4c8acce9e8bec47f415e2fa85b486f28b8975f49636b1029446b6634868e2,dd6dbb6981fccb37b4c8ad67a62be6da6ecd693263569611ef4decf880d2748e,3034c0cb87f4060afb822f9185a6ec41a46fa7c5b02d3aca5b7f4c8dbdb973c6,ae3ea532a8ba40ad5bb451b0cf0736bc6965a7cdb8b16771c1fee045591e1add,023b9a952b2a7f05f3b75f43c5c1aa809b1c767103ce366b85fd4d44573facce,fe987de483b20e842c5351f6999a2e23ff68283076910bc5e6b74e45939f0af9,612bfb95239e41bcd7746196d6b26f7da3262c5c5de762217a0e295361656261,df38edfe03d2e25654183d12d843c5a91bc66d10f2b9f668ad439a2f7a4672e2,fc1730cd278e8ddd274fe683115a46266a3141af30c76a002b7e99ab5c416c20,c39d04012cb319aa7f217c4587e14c757dcd39389908ad4377aadd000b9f0665,13eed53b75c530e9c318c01831899ffda000c1dd462dd7703f11138ef6dd476b,9ed28f662c84550da907ca1ef37e3be3de578f23ab33969781023d2a9857c4ac,08f10fcb3a0937e7a9e29b8ca66fe9960306499f25bba6895658794ff6d0efad
"33","0","0","0","1","0","0","1000110103","1000110103","0","1","100","100","0","1","100","10001101","0","0","1000110102","0","0","1","34","0","0","1000110101","1","0","0","1000110103"
"100","34","1000120105","100","1","33","1","1000120105","1000120102","1","1","100","100","1000120105","1","100","10001201","100","1","1000120105","1000120104","100","1","100","1000120105","1","1000120101","1","1","1000120105","1000120103"
"33","0","0","0","1","0","0","1000210103","1000210103","0","1","100","100","0","1","100","10002101","0","0","1000210102","0","0","1","34","0","0","1000210101","1","0","0","1000210103"
"100","34","1000220105","100","1","33","1","1000220105","1000220102","1","1","100","100","1000220105","1","100","10002201","100","1","1000220105","1000220104","100","1","100","1000220105","1","1000220101","1","1","1000220105","1000220103"
"33","0","0","0","1","0","0","1000310103","1000310103","0","1","100","100","0","1","100","10003101","0","0","1000310102","0","0","1","34","0","0","1000310101","1","0","0","1000310103"
"100","34","1000320105","100","6","33","1","1000320105","1000320102","1","1","3","100","1000320105","1","3","10003201","100","1","1000320105","1000320104","100","1","100","1000320105","1","1000320101","6","1","1000320105","1000320103"
"33","0","0","0","1","0","0","1000410103","1000410103","0","1","100","100","0","1","100","10004101","0","0","1000410102","0","0","1","34","0","0","1000410101","1","0","0","1000410103"
"100","34","1000420105","100","6","33","1","1000420105","1000420102","1","1","3","100","1000420105","1","3","10004201","100","1","1000420105","1000420104","100","1","100","1000420105","1","1000420101","6","1","1000420105","1000420103"
"100","33","1000430104","0","1","100","1","1000430104","1000430102","1","1","100","100","1000430104","1","100","10004301","34","1","1000430104","0","100","1","100","1000430104","0","1000430101","6","1","1000430103","1000430104"
"33","0","0","0","1","0","0","1000510103","1000510103","0","1","100","100","0","1","100","10005101","0","0","1000510102","0","0","1","34","0","0","1000510101","1","0","0","1000510103"
"100","34","1000520105","100","6","33","1","1000520105","1000520102","1","1","3","100","1000520105","1","3","10005201","100","1","1000520105","1000520104","100","1","100","1000520105","1","1000520101","6","1","1000520105","1000520103"
"100","33","1000530104","0","1","100","1","1000530104","1000530102","1","1","100","100","1000530104","1","100","10005301","34","1","1000530104","0","100","1","100","1000530104","0","1000530101","6","1","1000530103","1000530104"
"33","0","0","0","1","0","0","1000610103","1000610103","0","1","100","100","0","1","100","10006101","0","0","1000610102","0","0","1","34","0","0","1000610101","1","0","0","1000610103"
"100","34","1000620105","100","6","33","1","1000620105","1000620102","1","1","3","100","1000620105","1","3","10006201","100","1","1000620105","1000620104","100","1","100","1000620105","1","1000620101","6","1","1000620105","1000620103"
"100","33","1000630104","0","1","100","1","1000630104","1000630102","1","1","100","100","1000630104","1","100","10006301","34","1","1000630104","0","100","1","100","1000630104","0","1000630101","6","1","1000630103","1000630104"
"33","0","0","0","1","0","0","1000710103","1000710103","0","1","100","100","0","1","100","10007101","0","0","1000710102","0","0","1","34","0","0","1000710101","1","0","0","1000710103"
"100","34","1000720105","100","6","33","1","1000720105","1000720102","1","1","3","100","1000720105","1","3","10007201","100","1","1000720105","1000720104","100","1","100","1000720105","1","1000720101","6","1","1000720105","1000720103"
