197f3d80dc1ee28f52ba0c8f37beb3d4e9a9f0b4f84cf85f018778d3f6aef6a0,1b79545752b590235d6d6853ae6c7dd5d1dcecf7a5055266236c8312e9a460d8,96bd5282599fbc69e9b5a1cce906f7f8a98c9e8e817428548c0421648042514b,8dc5889f54f1f7ba5cfd4c3c60f373d26386d2d4b8ac64afb19cb652382f0f46,408d21d02de09dbd9c6a05372e7144737cda9f38f89d0bac4cb8180ec119de91,009f4a45ee18d3aa6c7ae8497e0580559d09066c9f8fa04dcfa67db5e6095103,6684491849e24ef118615777c0be65d23d4b24344343c552a7fec1a27447400c
"7001000","1001","1","2019/02/13 16:00:00","2019/02/18 15:59:59","2019/02/19 05:00:00","2019/02/19 15:59:59"
"7002000","1002","2","2019/03/15 16:00:00","2019/03/19 15:59:59","2019/03/20 05:00:00","2019/03/20 15:59:59"
"7003000","1003","3","2019/04/17 16:00:00","2019/04/21 15:59:59","2019/04/22 05:00:00","2019/04/22 15:59:59"
"7003003","1004","4","2019/05/17 16:00:00","2019/05/21 09:59:59","2019/05/22 05:00:00","2019/05/22 09:59:59"
"7004000","1005","5","2019/06/17 16:00:00","2019/06/20 15:59:59","2019/06/21 05:00:00","2019/06/21 15:59:59"
"7004003","1006","6","2019/07/17 16:00:00","2019/07/21 15:59:59","2019/07/22 05:00:00","2019/07/22 15:59:59"
"7005000","1007","7","2019/08/16 16:00:00","2019/08/21 15:59:59","2019/08/22 05:00:00","2019/08/22 15:59:59"
"7005003","1008","8","2019/09/17 16:00:00","2019/09/21 15:59:59","2019/09/22 05:00:00","2019/09/22 15:59:59"
"7006000","1009","9","2019/10/18 16:00:00","2019/10/22 15:59:59","2019/10/23 05:00:00","2019/10/23 15:59:59"
"7006003","1010","10","2019/11/18 16:00:00","2019/11/21 15:59:59","2019/11/22 05:00:00","2019/11/22 15:59:59"
"7007000","1011","11","2019/12/17 16:00:00","2019/12/21 15:59:59","2019/12/22 05:00:00","2019/12/22 15:59:59"
"7007003","1012","12","2020/01/16 16:00:00","2020/01/21 15:59:59","2020/01/22 00:00:00","2020/01/22 15:59:59"
"7008000","1013","13","2020/02/17 16:00:00","2020/02/20 15:59:59","2020/02/21 00:00:00","2020/02/21 15:59:59"
"7008003","1014","14","2020/03/17 16:00:00","2020/03/23 15:59:59","2020/03/24 00:00:00","2020/03/24 15:59:59"
"7009000","1015","15","2020/04/14 16:00:00","2020/04/20 15:59:59","2020/04/21 00:00:00","2020/04/21 15:59:59"
"7009003","1016","16","2020/05/15 16:00:00","2020/05/21 15:59:59","2020/05/22 05:00:00","2020/05/22 15:59:59"
"7010000","1017","17","2020/06/12 16:00:00","2020/06/18 15:59:59","2020/06/19 00:00:00","2020/06/19 15:59:59"
"7010003","1018","18","2020/07/13 16:00:00","2020/07/19 15:59:59","2020/07/20 00:00:00","2020/07/20 15:59:59"
"7011000","1019","19","2020/08/14 16:00:00","2020/08/20 15:59:59","2020/08/21 00:00:00","2020/08/21 15:59:59"
"7011003","1020","20","2020/09/11 16:00:00","2020/09/15 15:59:59","2020/09/16 00:00:00","2020/09/16 15:59:59"
"7012000","1021","21","2020/10/13 16:00:00","2020/10/17 15:59:59","2020/10/18 00:00:00","2020/10/18 15:59:59"
"7012003","1022","22","2020/11/10 16:00:00","2020/11/14 15:59:59","2020/11/15 00:00:00","2020/11/15 15:59:59"
"7013000","1023","23","2020/12/10 16:00:00","2020/12/14 15:59:59","2020/12/15 00:00:00","2020/12/15 15:59:59"
"7013003","1024","24","2021/01/06 16:00:00","2021/01/10 15:59:59","2021/01/11 00:00:00","2021/01/11 15:59:59"
"7014000","1025","25","2021/02/09 16:00:00","2021/02/13 15:59:59","2021/02/14 00:00:00","2021/02/14 15:59:59"
"7014003","1026","26","2021/03/09 16:00:00","2021/03/13 15:59:59","2021/03/14 00:00:00","2021/03/14 15:59:59"
"7015000","1027","27","2021/04/08 16:00:00","2021/04/13 15:59:59","2021/04/14 00:00:00","2021/04/14 15:59:59"
"7015003","1028","28","2021/05/12 16:00:00","2021/05/16 15:59:59","2021/05/17 00:00:00","2021/05/17 15:59:59"
"7016000","1029","29","2021/06/11 16:00:00","2021/06/15 15:59:59","2021/06/16 00:00:00","2021/06/16 15:59:59"
"7016003","1030","30","2021/07/13 16:00:00","2021/07/17 15:59:59","2021/07/18 00:00:00","2021/07/18 15:59:59"
"7017000","1031","31","2021/08/13 16:00:00","2021/08/17 15:59:59","2021/08/18 00:00:00","2021/08/18 15:59:59"
"7017003","1032","32","2021/09/10 16:00:00","2021/09/14 15:59:59","2021/09/15 00:00:00","2021/09/15 15:59:59"
"7018000","1033","33","2021/10/08 16:00:00","2021/10/12 15:59:59","2021/10/13 00:00:00","2021/10/13 15:59:59"
"7018003","1034","34","2021/11/12 16:00:00","2021/11/16 15:59:59","2021/11/17 00:00:00","2021/11/17 15:59:59"
"7019000","1035","35","2021/12/10 16:00:00","2021/12/14 15:59:59","2021/12/15 00:00:00","2021/12/15 15:59:59"
"7019003","1036","36","2022/01/10 16:00:00","2022/01/14 15:59:59","2022/01/15 00:00:00","2022/01/15 15:59:59"
"7020000","1037","37","2022/02/10 16:00:00","2022/02/14 15:59:59","2022/02/15 00:00:00","2022/02/15 15:59:59"
"7020003","1038","38","2022/03/10 16:00:00","2022/03/14 15:59:59","2022/03/15 00:00:00","2022/03/15 15:59:59"
"7021000","1039","39","2022/04/08 16:00:00","2022/04/12 15:59:59","2022/04/13 00:00:00","2022/04/13 15:59:59"
"7021003","1040","40","2022/05/10 16:00:00","2022/05/14 15:59:59","2022/05/15 00:00:00","2022/05/15 15:59:59"
"7022000","1041","41","2022/06/10 16:00:00","2022/06/14 15:59:59","2022/06/15 00:00:00","2022/06/15 15:59:59"
"7022003","1042","42","2022/07/08 16:00:00","2022/07/12 15:59:59","2022/07/13 00:00:00","2022/07/13 15:59:59"
"7023000","1043","43","2022/08/09 16:00:00","2022/08/13 15:59:59","2022/08/14 00:00:00","2022/08/14 15:59:59"
"7023003","1044","44","2022/10/07 16:00:00","2022/10/11 15:59:59","2022/10/12 00:00:00","2022/10/12 15:59:59"
"7024000","1045","45","2022/12/09 16:00:00","2022/12/13 15:59:59","2022/12/14 00:00:00","2022/12/14 15:59:59"
"7024003","1046","46","2023/02/10 16:00:00","2023/02/14 15:59:59","2023/02/15 00:00:00","2023/02/15 15:59:59"
"7025000","1047","47","2023/04/07 16:00:00","2023/04/11 15:59:59","2023/04/12 00:00:00","2023/04/12 15:59:59"
"7025003","1048","48","2023/07/07 16:00:00","2023/07/11 15:59:59","2023/07/12 00:00:00","2023/07/12 15:59:59"
"7026000","1049","49","2023/10/09 16:00:00","2023/10/13 15:59:59","2023/10/14 00:00:00","2023/10/14 15:59:59"
"7026003","1050","50","2024/01/05 16:00:00","2024/01/09 15:59:59","2024/01/10 00:00:00","2024/01/10 15:59:59"
"7027000","1051","51","2024/04/09 16:00:00","2024/04/13 15:59:59","2024/04/14 00:00:00","2024/04/14 15:59:59"
"7027003","1052","52","2024/08/09 16:00:00","2024/08/13 15:59:59","2024/08/14 00:00:00","2024/08/14 15:59:59"
"7028000","1053","53","2024/11/10 16:00:00","2024/11/14 15:59:59","2024/11/15 00:00:00","2024/11/15 15:59:59"
