b0cd4096fdeaa7bef2009b32d98b691dd63645abc2c4003ce4fcedb77be0fd92,d5ecfa1cef5a2e918870a7dd03de1b90ec1dda1aaa25623bd20d7089ef175401,2231890bd03941c77dfa992251ef7c82ca8424d413dac475791fa6d7b465a858,be8b748252c0ff839bd4c449f82ee3f974444150602143bc1a6d6a0bf5334748,bb40b0ba54d894b592cd7e56dbaa0a6767906d4f2755f280d239c7e8d4468861,d992359c11bb078e84bcd2ae4cc815670436b926abce6b26fc7ff7c75b806e55,9f3f1c78b281d0200dc60645e30720371bab3d276f637cd6a93a3f751a514c8c,fa337bc1e452a310e1314654680e230528e8e87cb3704584925a569142a371c3,ee4a959b431a86688f0d60919f830f39cbf279bb3699220b0cfe56a721df5a60,409ca9b948c6ae35824a1f79f7e0e7b8718c3041150f28cdc0dd5adc5d09029f
"Pug","Hug","1","2110001","0","0","0","0","Mug","Bug"
"Technical","Techie","1","2110003","0","0","0","0","Technician","Technology"
"樹冰","冰瀑","1","2110005","0","0","0","0","暴風雪","雪崩"
"大理石","黑曜石","1","2110006","0","0","0","0","化石","磁鐵"
"Oceania","Bay","1","2110007","0","0","0","0","River","Ocean"
"Dash","Slash","1","2110008","0","0","0","0","Hashtag","At"
"建築物裡面","總是很涼快的地方","1","2110010","0","0","0","0","不會曬到太陽的地方","會曬到太陽的地方"
"更正","更動","1","2110011","0","0","0","0","更替","更新"
"虹村雪","六月雪","1","2110012","0","0","0","0","風吹雪","暴風雪"
"Orange","Banana","1","2110014","0","0","0","0","Apple","Grape"
"新幹線","電話線","1","2110016","0","0","0","0","拋物線","地平線"
"藍歷史","紅歷史","1","2110018","0","0","0","0","白歷史","黑歷史"
"味噌","醋","1","2110019","0","0","0","0","味醂","醬油"
"Truck","Train","1","2110021","0","0","0","0","Bus","Track"
"愈描愈黑","加油添醋","1","2110022","0","0","0","0","難上加難","火上加油"
"Heart","Stomach","1","2110023","0","0","0","0","Brain","Liver"
"啟動","開場","1","2110024","0","0","0","0","開演","啟用"
"line","cane","1","2110025","0","0","0","0","loin","coin"
"常服","便服","1","2110026","0","0","0","0","服侍","服裝"
"流水號","水章","1","2110028","0","0","0","0","水標","水印"
"Owl","Cockroach","1","2110031","0","0","0","0","Spider","Elephant"
"啷","朗","1","2110032","0","0","0","0","浪","狼"
"雪上加霜","雪中送炭","1","2110034","0","0","0","0","錦上添花","如虎添翼"
