f3aa4b7eae0866012d8fd82e1cc4ebef6eddbd9305d7b1d576350534e3d398bf,081a83c992da04e2f203df4fbba2e4bf550fc106e20a8fba3cab8bcbe65ee10d,85bc66180087545c89be1af9beeb5c895452fd2d21589eb5942c32214de8825b,5f987c8fbf1d0179f3eb54898086cb161dde22c1b1c9eab2ed6b72be5ef4d1be,a66957d17720719f8e78c47a5a0b1098d9c3c05e1f6179a1744d461840c2201c,f259ed679ec14da65ce5c05d2d21a29e4e07459d2639fc0aacf4bacce6b4072f,75cd808e6b023a9ac09db4d4550a821441c5f70a3cd8ac782cafbb453daf33e9,73ba4a507e538324ee3dec15e7b18d858b7bcf877c399ccee4a90f00a9520106,736982f23a8e04f795f89e579527999fda778e39c70abe00e7ec4402cd2d8481,f762aa8f59d22e838b87ec5675ed5390745894a22c9d1b9a333badab9016a7bc,bee895d88a5c906f3189d478b9235bcc037d2efc5e91d8e986c3fff00f331760,9614107f2bc071853bc942a7dc5e8f1904f184bb1031c85d5c90ac9d2c1c5d66,79e03a4fe37360763a359e24de4294fa71ae6802715222e9a9738fc9a5fe75d7,7047c9c4d088686d0da5a34e2f8dff0d49e55a5172b9e1968f6144bc53e1216c,25376953c031461c9b27add16bd44fa00b1ad7f0da8aee23f3efbed333d1d9e1,5118996934ec5e018eaed01d8355a73805136faf01f6c1de25b859b191ff6f41
"70","101","201","1008201","2","2","455","1","980","1","501","401","3","-110","215","301"
"70","102","202","1008202","2","2","230","1","515","2","502","402","3","-110","215","302"
"70","103","203","1008203","1","2","230","1","515","3","503","403","3","-110","215","303"
"70","104","204","1008204","1","2","230","1","515","4","504","404","3","-110","215","304"
"78","105","205","1008205","2","2","355","1","787","5","505","405","3","-110","233","305"
"78","106","206","1008206","3","2","355","1","787","6","506","406","3","-110","233","306"
"88","107","207","1008207","3","2","345","1","777","7","507","407","3","-110","233","307"
"88","108","208","1008208","1","2","345","1","777","8","508","408","3","-110","233","308"
"88","109","209","1008209","1","2","345","1","777","9","509","409","3","-110","233","309"
"88","110","210","1008210","3","2","355","1","810","10","510","410","3","-110","233","310"
"88","111","211","1008211","2","2","345","1","777","11","511","411","3","-110","233","311"
"70","112","212","1008212","2","2","230","1","515","12","512","412","3","-110","215","312"
"78","113","213","1008213","1","2","355","1","810","13","513","413","3","-110","233","313"
"70","114","214","1008214","1","2","230","1","515","14","514","414","3","-110","215","314"
"70","115","215","1008215","3","2","230","1","515","15","515","415","3","-110","215","315"
"70","116","216","1008216","2","2","275","1","655","16","516","416","3","-110","215","316"
"70","117","217","1008217","3","2","230","1","515","17","517","417","3","-110","215","317"
"88","118","218","1008218","3","2","345","1","777","18","518","418","3","-110","233","318"
