0e3d769bc350db5555430a2a3919c3f5f8a36cba37283b64a0980a4c4fe2f507,59815b25461aada7535bbe07e0074ace57ab8b7072433bb2e02ba648b9781db2,54d30547011e4607a0af87f0a2ad177c797f13076de1d341664eb56a10490b04,f36a4b46b46e5803aec4a24d4ed05c32539a15b490742696626db227a3f66241,77aeca741f79c5b9ed6124d342e947d935228ba452a16b5fd950dcd6f8c30fdf,933c61e61193d527e4e1dfd6f435608d306a06ac246161cf526dbe3a80d03511,e6128389f488c4435b4bed71e1a4ee86edba1a15b11ae3c898a207eb724de860
"2","3","1","105","1","105","105"
"2","3","1","105","2","120","120"
"2","3","1","100","3","100","120"
"2","3","1","105","4","120","120"
"2","3","1","105","5","105","120"
"2","3","1","100","6","100","105"
"2","3","1","120","7","100","105"
"2","3","1","100","8","100","105"
"2","3","1","105","9","120","120"
"2","3","1","120","10","100","105"
"2","3","1","100","11","105","100"
"2","3","1","105","12","120","120"
"2","3","1","105","13","105","105"
"2","3","1","105","14","120","105"
"2","3","1","120","15","120","120"
"2","3","1","100","16","100","100"
"2","3","1","120","17","105","120"
"2","3","1","120","18","120","105"
"2","3","1","105","19","105","100"
"2","3","1","100","20","105","105"
"2","3","1","100","21","105","100"
"2","3","1","120","22","120","120"
"2","3","1","105","23","100","100"
"2","3","1","120","24","120","120"
"2","3","1","105","25","105","120"
"2","3","1","100","26","100","100"
"2","3","1","100","27","100","100"
"2","3","1","100","28","100","100"
"2","3","1","120","29","120","120"
"2","3","1","105","30","120","105"
