6d41a67e7928b5c1a7134ea2b1d921803651b9d3983d0ca25d2758d6f8873ddf,89197c020c451c1b2c277bc7ba9ecda5bd45192f464fc2e3c6fc5406ef4e0378,9ce2ac002ee1a43dbdf98475f123522c5a615e92df550040ba99292048460c34,df1a35667ecd8ff5f9a27b84a8a4de231b581d4f6389de9f65e6900c255c72f8,59826b7ba550a6e81fe99ae99abe21ae3df6e6b5da0188e322fc3e98726f1048,e6d99908d87534826330691e564a162ca544814e82e4edd05df4cf6998ea4f35,2715e7e24b42b6ccf4b29611dd80424e2746568159bc45e1a558f480fa938120,33ee8a5b36e8c9827c1a9b0a0c5f138b3597022c62f85710c6640c83820af8cc,1d869ed30d295f5ace246ad4e263ecf58147a00357a03fa9308a1a7e0da24ddc,dd672eff2c827606a82809f3d81f77f94e5353e1a904bf4d600fbd79b96d1e61,1bd9f05aad542f49cc7d090f6bee1d992cecaca60ed0c39c8e214ef4505bf2a7,a9ad96ad11bad8291d2ed81696393f9456b77089941f6a67355f0087c816fbd3,6fd4b93b90ef16e71e9e5cf593155860d89aedabe10751286b9094d5ba8150b1,74116bf5b750b6e9e75e8172f5b328222d096f69e596b8583cf56113f08421f5,d0a57a5021f41856903c7c93a57468cce90199774e943449b9c5cc98aa70bf65,36d28a0e1b8f0ca6093e126e61e1a57c0edf2aa72af5c758468fc357d9c07f6d
"3","401","2","70","201","2","101","455","-110","980","501","1","215","301","1","1008201"
"3","402","2","70","202","2","102","230","-110","515","502","2","215","302","1","1008202"
"3","403","2","70","203","1","103","230","-110","515","503","3","215","303","1","1008203"
"3","404","2","70","204","1","104","230","-110","515","504","4","215","304","1","1008204"
"3","405","2","78","205","2","105","355","-110","787","505","5","233","305","1","1008205"
"3","406","2","78","206","3","106","355","-110","787","506","6","233","306","1","1008206"
"3","407","2","88","207","3","107","345","-110","777","507","7","233","307","1","1008207"
"3","408","2","88","208","1","108","345","-110","777","508","8","233","308","1","1008208"
"3","409","2","88","209","1","109","345","-110","777","509","9","233","309","1","1008209"
"3","410","2","88","210","3","110","355","-110","810","510","10","233","310","1","1008210"
"3","411","2","88","211","2","111","345","-110","777","511","11","233","311","1","1008211"
"3","412","2","70","212","2","112","230","-110","515","512","12","215","312","1","1008212"
"3","413","2","78","213","1","113","355","-110","810","513","13","233","313","1","1008213"
"3","414","2","70","214","1","114","230","-110","515","514","14","215","314","1","1008214"
"3","415","2","70","215","3","115","230","-110","515","515","15","215","315","1","1008215"
"3","416","2","70","216","2","116","275","-110","655","516","16","215","316","1","1008216"
"3","417","2","70","217","3","117","230","-110","515","517","17","215","317","1","1008217"
"3","418","2","88","218","3","118","345","-110","777","518","18","233","318","1","1008218"
