25a63a3873d1a387b79feb9e02fc1f19a5921cfcb990c483611762d6d1b1cf34,0aaf99b2c25bd1d5f848b0360f70288351364554854e550adafdb8885bf19b06,ff0c9106f8de6ba6c6911ff1fd3d75d2317f81682f66f455aa4da55ff9636c3e,7ec13f38f872400bf263c3d52221a3588374377c63017c3acee8262c1750caea,3a8412aa155c817968d92fe9846e497e5f630f0b7698cc69d2312a37a49a3738,00e36ff3b327a8af38f96c5ec6ad54d3d272854afb59be2f1aa9dc0e26859c94
"802100290","1005","211","212","2114001","1"
"802100290","1006","211","212","2114002","1"
"802100290","1007","211","212","2114003","1"
"802100290","1008","211","212","2114004","1"
"802100266","100501","104","100","2113061","0"
"802100266","100502","104","100","2113062","0"
"802100266","100503","105","102","2113063","0"
"802100266","100504","106","103","2113064","0"
"802100266","100505","104","100","2113065","0"
"802100266","100506","104","100","2113066","0"
"802100266","100507","105","102","2113067","0"
"802100266","100508","106","103","2113068","0"
"802100266","100509","104","100","2113069","0"
"802100266","100510","104","100","2113070","0"
"802100267","100511","104","100","2113071","0"
"802100267","100512","104","100","2113072","0"
"802100267","100513","105","102","2113073","0"
"802100267","100514","106","103","2113074","0"
"802100267","100515","104","100","2113075","0"
"802100267","100516","104","100","2113076","0"
"802100267","100517","105","102","2113077","0"
"802100267","100518","106","103","2113078","0"
"802100267","100519","104","100","2113079","0"
"802100267","100520","104","100","2113080","0"
"802100268","100521","104","100","2113081","0"
"802100268","100522","104","100","2113082","0"
"802100268","100523","105","102","2113083","0"
"802100268","100524","106","103","2113084","0"
"802100268","100525","104","100","2113085","0"
"802100268","100526","208","112","2113086","1"
"802100268","100527","201","110","2113087","1"
"802100268","100528","104","100","2113088","0"
"802100268","100529","105","102","2113089","0"
"802100268","100530","106","103","2113090","0"
"802100263","100601","203","114","2113031","1"
"802100263","100602","202","113","2113032","1"
"802100263","100603","105","102","2113033","0"
"802100263","100604","106","103","2113034","0"
"802100263","100605","203","114","2113035","1"
"802100263","100606","202","113","2113036","1"
"802100263","100607","204","111","2113037","1"
"802100263","100608","202","113","2113038","1"
"802100263","100609","202","113","2113039","1"
"802100263","100610","106","103","2113040","0"
"802100264","100611","203","114","2113041","1"
"802100264","100612","202","113","2113042","1"
"802100264","100613","105","102","2113043","0"
"802100264","100614","106","103","2113044","0"
"802100264","100615","203","114","2113045","1"
"802100264","100616","202","113","2113046","1"
"802100264","100617","204","111","2113047","1"
"802100264","100618","202","113","2113048","1"
"802100264","100619","202","113","2113049","1"
"802100264","100620","106","103","2113050","0"
"802100265","100621","105","102","2113051","0"
"802100265","100622","203","114","2113052","1"
"802100265","100623","202","113","2113053","1"
"802100265","100624","204","111","2113054","1"
"802100265","100625","106","103","2113055","0"
"802100265","100626","208","112","2113056","1"
"802100265","100627","201","110","2113057","1"
"802100265","100628","203","114","2113058","1"
"802100265","100629","202","113","2113059","1"
"802100265","100630","106","103","2113060","0"
"802100269","100701","205","112","2113091","1"
"802100269","100702","206","112","2113092","1"
"802100269","100703","102","117","2113093","0"
"802100269","100704","105","102","2113094","0"
"802100269","100705","105","102","2113095","0"
"802100269","100706","202","113","2113096","1"
"802100269","100707","203","114","2113097","1"
"802100269","100708","102","117","2113098","0"
"802100269","100709","105","102","2113099","0"
"802100269","100710","202","113","2113100","1"
"802100270","100711","205","112","2115001","1"
"802100270","100712","102","117","2115002","0"
"802100270","100713","105","102","2115003","0"
"802100270","100714","106","103","2115004","0"
"802100270","100715","203","114","2115005","1"
"802100270","100716","202","113","2115006","1"
"802100270","100717","207","112","2115007","1"
"802100270","100718","105","102","2115008","0"
"802100270","100719","106","103","2115009","0"
"802100270","100720","202","113","2115010","1"
"802100271","100721","205","112","2115011","1"
"802100271","100722","208","112","2115012","1"
"802100271","100723","102","117","2115013","0"
"802100271","100724","105","102","2115014","0"
"802100271","100725","106","103","2115015","0"
"802100271","100726","208","112","2115016","1"
"802100271","100727","201","110","2115017","1"
"802100271","100728","102","117","2115018","0"
"802100271","100729","105","102","2115019","0"
"802100271","100730","106","103","2115020","0"
"802100260","100801","103","104","2113001","0"
"802100260","100802","104","100","2113002","0"
"802100260","100803","104","100","2113003","0"
"802100260","100804","105","102","2113004","0"
"802100260","100805","105","102","2113005","0"
"802100260","100806","104","100","2113006","0"
"802100260","100807","104","100","2113007","0"
"802100260","100808","105","102","2113008","0"
"802100260","100809","105","102","2113009","0"
"802100260","100810","107","101","2113010","0"
"802100261","100811","103","104","2113011","0"
"802100261","100812","104","100","2113012","0"
"802100261","100813","104","100","2113013","0"
"802100261","100814","105","102","2113014","0"
"802100261","100815","106","103","2113015","0"
"802100261","100816","104","100","2113016","0"
"802100261","100817","104","100","2113017","0"
"802100261","100818","105","102","2113018","0"
"802100261","100819","106","103","2113019","0"
"802100261","100820","104","100","2113020","0"
"802100262","100821","103","104","2113021","0"
"802100262","100822","104","100","2113022","0"
"802100262","100823","104","100","2113023","0"
"802100262","100824","105","102","2113024","0"
"802100262","100825","105","102","2113025","0"
"802100262","100826","208","112","2113026","1"
"802100262","100827","201","110","2113027","1"
"802100262","100828","105","102","2113028","0"
"802100262","100829","106","103","2113029","0"
"802100262","100830","103","104","2113030","0"
