a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"105831","1","100","0","1","-157","1","1.3","-496","01_uek_cmn_idol_def_N","1010001"
"105931","1","110","0","1","-178","1","1.3","-355","01_uek_cmn_idol_def_N","1010002"
"112631","1","100","1","1","-124","1","1.3","410","01_uek_cmn_idol_def_N","1010003"
"112531","1","110","1","1","-258","1","1.3","389","01_uek_cmn_idol_def_N","1010004"
"106031","1","120","0","1","-234","1","1.3","-415","01_uek_cmn_idol_def_N","1010005"
"112431","1","120","1","1","-235","1","1.3","262","01_uek_cmn_idol_def_N","1010006"
"01_uek_01_peko","3","0","0.2","105831","1","1","0","01_uek_cmn_pose03","","1010007"
"01_uek_01_kokkoro","3","0","0.2","105931","1","1","0","01_uek_talk_normal","","1010008"
"01_uek_01_kyaru","3","0","0.2","106031","1","1","0","01_uek_cmn_pose02","","1010009"
"01_uek_01_mio","3","0","0.2","112631","1","1","0","01_uek_cmn_pose03","","1010010"
"01_uek_01_rin","3","0","0.2","112531","1","1","0","01_uek_cmn_pose02","","1010011"
"01_uek_01_uduki","3","0","0.2","112431","1","1","0","01_uek_cmn_pose01","","1010012"
"","93","","","3","","1","","","","1010013"
"01_uek_cmn_pose03","3","1","","112631","0","1","0.2","","","1010014"
"01_uek_cmn_pose01","3","1","","112431","0","1","0.2","","","1010015"
"01_uek_cmn_pose03","3","1","","105831","0","1","0.2","","","1010016"
"01_uek_talk_normal","3","0","0.1","105931","1","1","0.2","01_uek_cmn_idol_def_N","","1010017"
"01_uek_cmn_pose02","3","0","0.1","106031","1","1","0.2","01_uek_cmn_idol_def_N","","1010018"
"01_uek_cmn_pose02","3","0","0.1","112531","1","1","0.2","01_uek_cmn_idol_def_N","","1010019"
"唔哇……！\n變得超大的，\n太讚了吧☆","11","10","","105831","","1","","","","1010020"
"","91","","","0","","1","","","","1010021"
"盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","11","10","","105931","","1","","","","1010022"
"","91","","","0","","1","","","","1010023"
"這種情況下，\n就讓人想看看\n上面是怎樣呢！","11","10","","112631","","1","","","","1010024"
"","91","","","0","","1","","","","1010025"
"確實是呢……而且\n說不定還能知道\n變成這樣的原因。","11","10","","112531","","1","","","","1010026"
"","91","","","0","","1","","","","1010027"
"反正我也挺感興趣，\n就陪陪妳們吧。","11","10","","106031","","1","","","","1010028"
"","91","","","0","","1","","","","1010029"
"好♪大家一起\n加油以登頂\n為目標吧！","11","10","","112431","","1","","","","1010030"
"","91","","","0","","1","","","","1010031"
"104431","1","100","0","1","0","2","1.3","0","02_uek_cmn_idol_def_N","1020001"
"02_uek_02_ilya","3","0","","104431","0","2","","02_uek_02_ilya_loop","","1020002"
"哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","11","10","","104431","","2","","0","","1020003"
"","91","","","0","0","2","","","","1020004"
"105831","1","100","0","1","-10","3","1.3","-140","01_uek_cmn_idol_def_N","1030001"
"105931","1","100","1","1","10","3","1.3","120","01_uek_cmn_idol_def_N","1030002"
"106031","1","100","1","1","0","3","1.3","0","01_uek_cmn_idol_def_N","1030003"
"01_uek_03_peko","3","0","","105831","0","3","","01_uek_03_peko_loop","","1030004"
"01_uek_03_kyaru","3","0","","106031","0","3","","01_uek_03_kyaru_loop","","1030005"
"小凱留！\n妳快看，\n景色很棒哦☆","11","10","","105831","","3","","0","","1030006"
"","91","","","0","","3","","","","1030007"
"喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","11","10","","106031","","3","","0","","1030008"
"","91","","","0","","3","","","","1030009"
"01_uek_03_kokkoro","3","0","","105931","1","3","","01_uek_cmn_idol_def_N","","1030010"
"呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","11","10","","105931","","3","","0","","1030011"
"101131","1","100","0","1","-30","4","1.3","-120","02_uek_cmn_idol_def_N","1040001"
"104931","1","100","1","1","-5","4","1.3","20","02_uek_cmn_idol_def_N","1040002"
