8292db861c588237caa82f6c455ca1cf39d92982c46a9969bd935e680f78f3b4,b0d7e120fa041602d7135985f5a7e143c8045c67d36dc72e5cb38be29512b2fa,c989225c1b5de3292fd07ae48348c3d262b7202894f2e09bf8522ae0eb1f393e,96cd2ad31fe8cc947f2aa9fe355da4282619b3a6e698ee72dea0e4746f2dbba1,2700e8a5d9b1c8fa4f7614784f04df86dda510da40d97484ec14251b4d4308e0,f76b706117a253bc41c22017b637e49f8659ed4386e20f516b88bc5170eae37e,fefe0cd0860bd2712c11cd0becc45c10b7bf10e1f44d3a38a8a7f68d4184fd4d,5a7942e8202b6d6c655b8ab8c716c42de2e83ee3c02a8483c91e4b9f2a4a4a7e,30bf7d4e359e339ca2a180e4646e9a56e107f242bdf38d702265ab63519505eb,9dcf379c6f387c6abace8b973ee287f865ab8060b5f273e63c2fc46584acfd63,b7883b4788d6ff052398e610c21fd9456e6a503a5be1796864462f5d427f6615,181e0e805a21ac13443d6190d1a845ab2f3430d245ae13999948d1871df68ece,0b364a0719a7cd0124dba48504a85ee85b69ceb57824f1150672e922d8214c97
"0","1","11120101","0","vo_minigame_1012_correct_107","0","這樣子就好！","1","0","0","8","8","1201"
"0","1","11120102","0","vo_minigame_1012_correct_108","0","嗯，OK！","1","0","0","8","8","1201"
"0","1","11120103","0","vo_minigame_1012_correct_109","0","狀況不錯喔！","1","0","0","1","1","1201"
"0","1","11120201","0","vo_minigame_1012_correct_115","-1","慢慢來沒關係！","1","0","13333","1","1","1202"
"0","1","11120202","0","vo_minigame_1012_correct_117","-1","答對就可以了！","1","0","13333","9","9","1202"
"0","1","11120301","0","vo_minigame_1012_correct_118","0","好厲害喔！","1","0","0","1","1","1203"
"8","1","11120302","0","vo_minigame_1012_correct_119","0","你知道這個啊！？","1","0.01","0","5","5","1203"
"0","1","11120401","0","vo_minigame_1012_correct_125","0","看來沒問題吧！","1","0","0","1","1","1204"
"4","1","11120501","0","vo_minigame_1012_correct_123","0","複習得很完美呢！","1","0.01","0","7","7","1205"
"0","1","11120601","0","vo_minigame_1012_correct_128","-1","連續答對了！","1","0","3","8","8","1206"
"0","1","11120701","0","vo_minigame_1012_correct_131","-1","挽回劣勢！","1","0","3","2","2","1207"
"0","1","11130101","0","vo_minigame_1012_incorrect_107","0","重整心情！","1","0","0","2","2","1301"
"0","1","11130102","0","vo_minigame_1012_incorrect_108","0","也會有這種事啊！","1","0","0","9","9","1301"
"0","1","11130103","0","vo_minigame_1012_incorrect_109","0","那樣子不行喔！","1","0","0","4","4","1301"
"0","1","11130201","0","vo_minigame_1012_incorrect_116","-1","時間到了！","1","0","20000","4","4","1302"
"0","1","11130202","0","vo_minigame_1012_incorrect_117","-1","不是，你回答啊！","1","0","20000","5","5","1302"
"6","1","11130301","0","vo_minigame_1012_incorrect_118","0","好難啊……","1","0.01","0","3","3","1303"
"0","1","11130302","0","vo_minigame_1012_incorrect_119","0","難度真高……","1","0","0","4","4","1303"
"0","1","11130401","0","vo_minigame_1012_incorrect_123","0","不能忘記喔！","1","0","0","2","2","1304"
"0","1","11130501","0","vo_minigame_1012_incorrect_126","0","不是全錯呢！","1","0","0","1","1","1305"
"4","1","11300101","1","vo_minigame_1012_result_1000","10","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","1","3.18","10","7","8","3001"
"10","1","11300102","1","vo_minigame_1012_result_1001","10","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","1","3.33","10","8","7","3001"
"10","1","11300103","1","vo_minigame_1012_result_1002","10","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","1","5.41","10","8","1","3001"
"10","1","11300104","2","vo_minigame_1012_result_1003","10","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","1","8.11","10","5","8","3001"
"0","1","11300105","2","vo_minigame_1012_result_1004","10","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","1","1.31","10","10","5","3001"
"0","1","11300106","2","vo_minigame_1012_result_1005","10","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","1","4.93","10","9","8","3001"
"4","1","11300107","3","vo_minigame_1012_result_1006","10","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","1","2.99","10","5","8","3001"
"4","1","11300108","3","vo_minigame_1012_result_1007","10","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","1","8.37","10","8","7","3001"
"8","1","11300109","3","vo_minigame_1012_result_1008","10","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","1","5.32","10","7","5","3001"
"4","1","11300110","1","vo_minigame_1012_result_1009","9","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","1","4.77","7","7","1","3001"
"4","1","11300111","1","vo_minigame_1012_result_1010","9","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","1","2.97","7","8","7","3001"
"0","1","11300112","1","vo_minigame_1012_result_1011","9","啊～好可惜！\n差一點就滿分了！\n下次一定可以很完美的！\n加油吧！","1","3.47","7","5","1","3001"
"4","1","11300113","2","vo_minigame_1012_result_1012","9","好厲害，你答對了很多喔！\n題目這麼難，你很行嘛！\n之後就以滿分為目標吧！","1","5.32","7","8","7","3001"
