f33626a05c6667381e87d17fb97ad01ca825e4421ce96014ecc8a7495a3cbc44,437ccd3910723c7edc516fdab40b87ff81a82487be37ccd81410adfe1721816b,84275b47d4e28ba2af3e052d5fd9b9aa378c740db454ad90016194486218b3d8,8296503cb4dc787dca27cb6354f5a7142459bbf3cdfa7d67eb51b09f78a22afd,8b349654e5632e0715459815df70ed85f0db9c46e423520533a3764e6bd86522,f92af8a29a4d4a34693df09d26ac6b83f6eceb083ef9cb035e1233d035d3a5ac,244892b3725b0b918675c96f8126365cbac6ba079a5bff0b240080ad4d36c657,c6ce44cfbd31356e1be6515a8f097aff1e7f2a05dd0e5835d7e6f5ab285ccb16,58a913dea310756ddc10f4d171175e7eb43ddc61ffca97628ff4c2d95ec6a246,189836b612b95c58374d981e9877bf7b4ff8fcb1b79f131688260fe542013f8d,b7c7c8045a9e85c08a3e9ebc49c15c8461ab6e3111de818875c446b5d0717ec7
"5","0","1007001","svd_idle_normal","113511","-300","100","1007001001","2.08","2","-750"
"5","1","1007001","svd_idle_normal","113411","-300","100","1007001002","2.08","1","750"
"5","0","1007001","svd_white_loop","333","0","0","1007001003","1","3","0"
"6","0","1007001","","1","0","1","1007001004","0","333","1"
"7","","1007001","","2","","0","1007001005","","113511","0"
"2","","1007001","","-750","0","-300","1007001006","","113511","0.5"
"6","0","1007001","","1","0","1","1007001007","0","113411","1"
"31","","1007001","","11","0.8","-140","1007001008","0","1","-40"
"34","","1007001","","2","","0","1007001009","","11","0"
"7","","1007001","","6","","0","1007001010","","113411","0"
"2","","1007001","","750","0","-300","1007001011","","113411","0.5"
"31","","1007001","","14","1","-250","1007001012","0","4","-40"
"31","","1007001","","15","1","250","1007001013","0","5","-40"
"93","","1007001","","","","","1007001014","","1",""
"6","0","1007001","","1","0.4","1","1007001015","0.8","333","1"
"3","0","1007001","","svd_idle_see_pre","1","0","1007001016","0.2","113511","svd_idle_see"
"2","","1007001","","640","0","-300","1007001017","","113411","1.1"
"2","","1007001","","-600","0","-300","1007001018","","113511","1.1"
"93","","1007001","","","","","1007001019","","1",""
"32","","1007001","","1","","","1007001020","","11",""
"91","","1007001","","","","","1007001021","","0",""
"94","","1007001","","240","80","260","1007001022","","113511","0"
"32","","1007001","","0","","","1007001023","","11",""
"3","","1007001","","svd_run","","1","1007001024","0.2","113511",""
"7","","1007001","","0","","1.2","1007001025","","113511","0"
"2","","1007001","","-250","0","-300","1007001026","","113511","1.2"
"3","","1007001","","svd_run","","1","1007001027","0.2","113411",""
"7","","1007001","","0","","1.2","1007001028","","113411","0"
"2","","1007001","","250","0","-300","1007001029","","113411","1.2"
"6","0","1007001","","1","1","1","1007001030","0.2","113411","1"
"93","","1007001","","","","","1007001031","","1.2",""
"91","","1007001","","","","","1007001032","","0",""
"3","","1007001","","svd_kime_eriko","","0","1007001033","0.2","113511",""
"3","","1007001","","svd_kime_shizuru","","0","1007001034","0.2","113411",""
"93","","1007001","","","","","1007001035","","1.4",""
"32","","1007001","","1","","","1007001036","","14",""
"32","","1007001","","1","","","1007001037","","15",""
"93","","1007001","","","","","1007001038","","0.6",""
"3","","1007001","","svd_idle_joy1","","1","1007001039","0.2","113411",""
"3","","1007001","","svd_talk_wish","","1","1007001040","0.2","113511",""
"21","","1007001","","vo_svd_0121","","0","1007001041","","vo_svd","0"
"11","0","1007001","1","我一定會為大人\n獻上永生難忘的\n最棒的暑假……","0","6","1007001042","0","113511","0"
"91","","1007001","","","","","1007001043","","0",""
"3","","1007001","","svd_idle_wish","","1","1007001044","0.2","113511",""
"3","","1007001","","svd_talk_joy1","","1","1007001045","0.2","113411",""
"21","","1007001","","vo_svd_0122","","0","1007001046","","vo_svd","0"
"11","0","1007001","1","來制定一個每到夏天\n都能回味無窮的\n夏日計畫吧！","0","8","1007001047","0","113411","0"
"91","","1007001","","","","","1007001048","","0",""
"3","","1007001","","svd_idle_joy1","","1","1007001049","0.2","113411",""
"3","","1007001","","svd_talk_thinking","","1","1007001050","0.2","113511",""
"21","","1007001","","vo_svd_0123","","0","1007001051","","vo_svd","0"
"11","0","1007001","1","咦……？但我明年夏天\n也會和大人一起過。\n不需要特別留下回憶呢……","0","6","1007001052","0","113511","0"
"91","","1007001","","","","","1007001053","","0",""
"3","","1007001","","svd_idle_thinking","","1","1007001054","0.2","113511",""
"3","0.2","1007001","","svd_surprise","1","0","1007001055","0.2","113411","svd_talk_anger"
"21","","1007001","","vo_svd_0124","","0","1007001056","","vo_svd","0"
