2ff4ac320839b1fb34b67f246ffd3f74e139153bb1e74bf1a1b9e77004416b0a,4fd5ee6b510fbc25be66ab1f6ea8d316c349fa6b154efeebcd8f8c31b4fe36b4,e35f4f7c3ecb9d57f5627fce0e6905c9f62e977570a33818e3945ddca02c11f1,1fe3e3f65a08aee7fac7f37fff01f4e7ffd6a98b8d2e534affbf9dfd9b795a84,04b8c0260af31ea90d83c5f12a838e6996e50f6fdd2ffb50feaccc7ac4041bed,a68917c5837a94cd4e426e57782d6fb282fd1ace6179e79b7940386d88925954,42c8f1e79ef3ef33e2c42ac2af6763cfb5352655dc41aefe5801d1ac8ffe13d4,79b52b5049156caa78ce5a6dcff90b6168c1ab7963268169bce53e44bcf8d441,a1a8fe9e3492b49d547f488b43e11973a9611200eacec3167c7fbb59e9a17a19,8ccf3da504c46c343bd1599d961232a0abcdef4961a16e5c514826eda5513703,5255d3a02d52c2bb6456807c3291979f6690fb035d0af6bcf529b97034a0ad91
"1","2","0","-273","1","-345","202","118511","111","111001","wac_215_karin_idle_normal"
"1","2","1","170","1","-355","205","105811","111","111002","wac_215_idle_joy1"
"1","2","1","50","1","-325","202","105911","111","111003","wac_215_idle_normal_joy"
"1","2","1","300","1","-330","203","106011","111","111004","wac_215_idle_arm_crossed"
"1","2","1","450","1","-360","204","106431","111","111005","wac_215_idle_normal2"
"1","","","","131","","","","111","111006",""
"1","","","","93","","","0","112","112001",""
"118511","0.2","","","3","","1","wac_215_karin_talk_normal","112","112002",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_000","112","112003",""
"118511","0","0","1","11","1","10","【美食殿堂】的各位，\n謝謝你們過來！","112","112004","0.5"
"112004","","","","91","","","","112","112005",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112006",""
"105811","0.2","0.2","wac_215_talk_normal","3","1","0","wac_215_peko_oissu","112","112007",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_001","112","112008",""
"105811","0","0","1","11","1","10","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","112","112009","0.5"
"112009","","","","91","","","","112","112010",""
"105811","0.2","","","3","","1","wac_215_idle_normal","112","112011",""
"118511","0.2","","","3","","1","wac_215_karin_talk_normal","112","112012",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_002","112","112013",""
"118511","0","0","1","11","1","10","我今天有個重要的委託\n想要拜託各位。","112","112014","0.5"
"112014","","","","91","","","","112","112015",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112016",""
"106011","0.2","0","wac_215_talk_arm_crossed_loop","3","1","0","wac_215_talk_arm_crossed","112","112017",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_003","112","112018",""
"106011","0","0","1","11","1","10","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","112","112019","0.5"
"112019","","","","91","","","","112","112020",""
"106011","0.2","","","3","","1","wac_215_idle_arm_crossed","112","112021",""
"118511","0.2","","","3","","1","wac_215_karin_talk_normal","112","112022",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_004","112","112023",""
"118511","0","0","1","11","1","10","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","112","112024","0.5"
"112024","","","","91","","","","112","112025",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112026",""
"106431","0.2","0.2","wac_215_talk_normal","3","1","0","wac_215_shefy_humu","112","112027",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_005","112","112028",""
"106431","0","0","1","11","1","10","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","112","112029","0.5"
"112029","","","","91","","","","112","112030",""
"106431","0.2","","","3","","1","wac_215_idle_normal2_joy","112","112031",""
"118511","0.2","","","3","","1","wac_215_karin_talk_normal","112","112032",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_006","112","112033",""
"118511","0","0","1","11","1","10","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","112","112034","0.5"
"112034","","","","91","","","","112","112035",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112036",""
"106431","0.2","","","3","","1","wac_215_talk_sad","112","112037",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_007","112","112038",""
"106431","0","0","1","11","1","10","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","112","112039","0.5"
"112039","","","","91","","","","112","112040",""
"106431","0.2","","","3","","1","wac_215_idle_sad","112","112041",""
"118511","0.2","","","3","","1","wac_215_karin_talk_wish","112","112042",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_008","112","112043",""
"118511","0","0","1","11","1","10","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","112","112044","0.5"
"112044","","","","91","","","","112","112045",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112046",""
"105911","0.2","","","3","","1","wac_215_coccoro_talk_wish","112","112047",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_009","112","112048",""
"105911","0","0","1","11","1","10","這個計畫……還真是壯闊啊。\n花凜小姐。","112","112049","0.5"
"112049","","","","91","","","","112","112050",""
"105911","0.2","","","3","","1","wac_215_coccoro_idle_wish","112","112051",""
"105811","0.2","0","wac_215_peko_talk_guts2_loop","3","1","0","wac_215_peko_talk_guts2","112","112052",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_010","112","112053",""
"105811","0","0","1","11","1","10","好興奮喔！太讚了吧☆\n那就去請在王宮工作的畫家\n教我們怎麼畫畫吧♪","112","112054","0.5"
"112054","","","","91","","","","112","112055",""
"105811","0.2","","","3","","1","wac_215_peko_idle_guts2","112","112056",""
"105811","","","","4","","","0","112","112057",""
"105911","","","","4","","","0","112","112058",""
"105811","0.2","","","3","","1","wac_215_idle_joy1","112","112059",""
"105911","0.2","","","3","","1","wac_215_idle_normal","112","112060",""
"106431","0.2","","","3","","1","wac_215_idle_surprise1","112","112061",""
"106011","0.2","0.2","wac_215_talk_anger2","3","1","1","wac_215_kyaru_anger","112","112062",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_011","112","112063",""
"106011","0","0","1","11","1","10","慢著慢著慢著！！\n就要妳等一下了啊！？\n你們以為繞蘭德索爾的牆壁\n走整整一圈的距離有多遠啊！","112","112064","0.5"
"112064","","","","91","","","","112","112065",""
"106011","0.2","","","3","","1","wac_215_idle_anger2","112","112066",""
"106011","0.2","","","3","","1","wac_215_talk_sad","112","112067",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_012","112","112068",""
"106011","0","0","1","11","1","10","那可是連正常地走過去\n都會令人厭煩的距離耶？\n如果只有我們，再怎麼樣都……","112","112069","0.5"
"112069","","","","91","","","","112","112070",""
"106011","0.2","","","3","","1","wac_215_idle_sad","112","112071",""
"105911","0.2","","","3","","1","wac_215_coccoro_talk_wish2","112","112072",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_013","112","112073",""
"105911","0","0","1","11","1","10","凱留小姐，那麼，要不要\n請其他公會也來幫忙呢？\n只要和各位同心協力……","112","112074","0.5"
"112074","","","","91","","","","112","112075",""
"105911","0.2","","","3","","1","wac_215_coccoro_idle_wish2","112","112076",""
"106011","0.2","0","wac_215_kyaru_talk_doya_loop","3","1","0","wac_215_kyaru_talk_doya","112","112077",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_014","112","112078",""
"106011","0","0","1","11","1","10","可蘿仔，妳這不是超有幹勁的嗎……\n啊～受不了，拿你們沒辦法耶。\n花凜，你很擅長這種事情吧？\n就是那個叫什麼呼喚的東西。","112","112079","0.5"
"112079","","","","91","","","","112","112080",""
"106011","0.2","","","3","","1","wac_215_idle_arm_crossed","112","112081",""
"105811","","","","4","","","1","112","112082",""
"105911","","","","4","","","1","112","112083",""
"105911","0.2","","","3","","1","wac_215_idle_normal_joy","112","112084",""
"106431","0.2","","","3","","1","wac_215_idle_normal2_joy","112","112085",""
"118511","0.2","","","3","","1","wac_215_karin_talk_wish","112","112086",""
"vo_wac_220215","","","0","21","","0","vo_wac_220215_015","112","112087",""
"118511","0","0","1","11","1","10","我明白了，\n那我來彙整發給各個公會的委託書。\n公會呼喚……！","112","112088","0.5"
"112088","","","","91","","","","112","112089",""
"118511","0.2","","","3","","1","wac_215_karin_idle_normal","112","112090",""
